Phase,Item.Type,Block,Item.Number,Version,Attended.Talker,Attended.Talker_Materials,Attended.Talker_Sound,Attended.Talker_Gender,Attended.Talker_Ear,Unattended.Talker,Unattended.Talker_Materials,Unattended.Talker_Sound,Unattended.Talker_Gender,Unattended.Talker_Ear,reps,feedback,filename
Exposure,Filler,1,12,02,Lingering,Set A,Word,Female,Left,Inpaki,Set A,Nonword,Male,Right,1,FALSE,Critical_W.Lingering.F.L_N.Inpaki.M.R.wav
Exposure,Filler,1,12,01,Aknid,Set B,Nonword,Female,Right,Membrane,Set B,Word,Male,Left,1,FALSE,Critical_W.Membrane.M.L_N.Aknid.F.R.wav
Exposure,Filler,1,12,04,Halomimoc,Set C,Nonword,Female,Left,Metrical,Set C,Word,Male,Right,1,FALSE,Critical_N.Halomimoc.F.L_W.Metrical.M.R.wav
Exposure,Filler,1,13,02,Melancholy,Set A,Word,Female,Left,Hintarber,Set A,Nonword,Male,Right,1,FALSE,Critical_W.Melancholy.F.L_N.Hintarber.M.R.wav
Exposure,Filler,1,13,01,Ibirak,Set B,Nonword,Female,Right,Negate,Set B,Word,Male,Left,1,FALSE,Critical_W.Negate.M.L_N.Ibirak.F.R.wav
Exposure,Filler,1,13,04,Gerbualo,Set C,Nonword,Female,Left,Nightmare,Set C,Word,Male,Right,1,FALSE,Critical_N.Gerbualo.F.L_W.Nightmare.M.R.wav
Exposure,Filler,1,14,02,Napkin,Set A,Word,Female,Left,Gardimuallay,Set A,Nonword,Male,Right,1,FALSE,Critical_W.Napkin.F.L_N.Gardimuallay.M.R.wav
Exposure,Filler,1,14,01,Halken,Set B,Nonword,Female,Right,Outnumber,Set B,Word,Male,Left,1,FALSE,Critical_W.Outnumber.M.L_N.Halken.F.R.wav
Exposure,Filler,1,14,04,Galliwinou,Set C,Nonword,Female,Left,Panicking,Set C,Word,Male,Right,1,FALSE,Critical_N.Galliwinou.F.L_W.Panicking.M.R.wav
Exposure,Filler,1,15,02,Ornament,Set A,Word,Female,Left,Gairelom,Set A,Nonword,Male,Right,1,FALSE,Critical_W.Ornament.F.L_N.Gairelom.M.R.wav
Exposure,Filler,1,15,01,Ganla,Set B,Nonword,Female,Right,Parakeet,Set B,Word,Male,Left,1,FALSE,Critical_W.Parakeet.M.L_N.Ganla.F.R.wav
Exposure,Filler,1,15,04,Emhoutic,Set C,Nonword,Female,Left,Pilgrim,Set C,Word,Male,Right,1,FALSE,Critical_N.Emhoutic.F.L_W.Pilgrim.M.R.wav
Exposure,Filler,1,16,02,Pineapple,Set A,Word,Female,Left,Bikanian,Set A,Nonword,Male,Right,1,FALSE,Critical_W.Pineapple.F.L_N.Bikanian.M.R.wav
Exposure,Filler,1,16,01,Dadigal,Set B,Nonword,Female,Right,Platonic,Set B,Word,Male,Left,1,FALSE,Critical_W.Platonic.M.L_N.Dadigal.F.R.wav
Exposure,Filler,1,16,04,Dilkuaund,Set C,Nonword,Female,Left,Predict,Set C,Word,Male,Right,1,FALSE,Critical_N.Dilkuaund.F.L_W.Predict.M.R.wav
Exposure,Filler,1,17,02,Purgatory,Set A,Word,Female,Left,Baliber,Set A,Nonword,Male,Right,1,FALSE,Critical_W.Purgatory.F.L_N.Baliber.M.R.wav
Exposure,Filler,1,17,01,Bamtell,Set B,Nonword,Female,Right,Tactical,Set B,Word,Male,Left,1,FALSE,Critical_W.Tactical.M.L_N.Bamtell.F.R.wav
Exposure,Filler,1,17,04,Bowidai,Set C,Nonword,Female,Left,Terminal,Set C,Word,Male,Right,1,FALSE,Critical_N.Bowidai.F.L_W.Terminal.M.R.wav
Exposure,Filler,1,18,02,Therapeutic,Set A,Word,Female,Left,Amalar,Set A,Nonword,Male,Right,1,FALSE,Critical_W.Therapeutic.F.L_N.Amalar.M.R.wav
Exposure,Filler,1,18,01,Anemer,Set B,Nonword,Female,Right,Titanium,Set B,Word,Male,Left,1,FALSE,Critical_W.Titanium.M.L_N.Anemer.F.R.wav
Exposure,Filler,1,18,04,Anolipa,Set C,Nonword,Female,Left,Turbulent,Set C,Word,Male,Right,1,FALSE,Critical_N.Anolipa.F.L_W.Turbulent.M.R.wav
Exposure,Filler,1,19,02,Tutorial,Set A,Word,Female,Left,Ailounam,Set A,Nonword,Male,Right,1,FALSE,Critical_W.Tutorial.F.L_N.Ailounam.M.R.wav
Exposure,Filler,1,19,01,Lilgrai,Set B,Nonword,Female,Right,Umbrella,Set B,Word,Male,Left,1,FALSE,Critical_W.Umbrella.M.L_N.Lilgrai.F.R.wav
Exposure,Filler,1,19,04,Alnadiro,Set C,Nonword,Female,Left,Undermine,Set C,Word,Male,Right,1,FALSE,Critical_N.Alnadiro.F.L_W.Undermine.M.R.wav
Exposure,Filler,1,20,02,Wealthy,Set A,Word,Female,Left,Acomining,Set A,Nonword,Male,Right,1,FALSE,Critical_W.Wealthy.F.L_N.Acomining.M.R.wav
Exposure,Filler,1,20,01,Admunker,Set B,Nonword,Female,Right,Worldly,Set B,Word,Male,Left,1,FALSE,Critical_W.Worldly.M.L_N.Admunker.F.R.wav
Exposure,Filler,1,20,04,Aigi,Set C,Nonword,Female,Left,Wrinkle,Set C,Word,Male,Right,1,FALSE,Critical_N.Aigi.F.L_W.Wrinkle.M.R.wav
