Phase,Item.Type,Block,Item.Number,Version,Attended.Talker,Attended.Talker_Materials,Attended.Talker_Sound,Attended.Talker_Gender,Attended.Talker_Ear,Unattended.Talker,Unattended.Talker_Materials,Unattended.Talker_Sound,Unattended.Talker_Gender,Unattended.Talker_Ear,reps,feedback,filename
Exposure,Filler,1,12,01,Lingering,Set A,Word,Male,Left,Inpaki,Set A,Nonword,Female,Right,1,FALSE,Critical_W.Lingering.M.L_N.Inpaki.F.R.wav
Exposure,Filler,1,12,02,Aknid,Set B,Nonword,Male,Right,Membrane,Set B,Word,Female,Left,1,FALSE,Critical_W.Membrane.F.L_N.Aknid.M.R.wav
Exposure,Filler,1,12,03,Halomimoc,Set C,Nonword,Male,Left,Metrical,Set C,Word,Female,Right,1,FALSE,Critical_N.Halomimoc.M.L_W.Metrical.F.R.wav
Exposure,Filler,1,13,01,Melancholy,Set A,Word,Male,Left,Hintarber,Set A,Nonword,Female,Right,1,FALSE,Critical_W.Melancholy.M.L_N.Hintarber.F.R.wav
Exposure,Filler,1,13,02,Ibirak,Set B,Nonword,Male,Right,Negate,Set B,Word,Female,Left,1,FALSE,Critical_W.Negate.F.L_N.Ibirak.M.R.wav
Exposure,Filler,1,13,03,Gerbualo,Set C,Nonword,Male,Left,Nightmare,Set C,Word,Female,Right,1,FALSE,Critical_N.Gerbualo.M.L_W.Nightmare.F.R.wav
Exposure,Filler,1,14,01,Napkin,Set A,Word,Male,Left,Gardimuallay,Set A,Nonword,Female,Right,1,FALSE,Critical_W.Napkin.M.L_N.Gardimuallay.F.R.wav
Exposure,Filler,1,14,02,Halken,Set B,Nonword,Male,Right,Outnumber,Set B,Word,Female,Left,1,FALSE,Critical_W.Outnumber.F.L_N.Halken.M.R.wav
Exposure,Filler,1,14,03,Galliwinou,Set C,Nonword,Male,Left,Panicking,Set C,Word,Female,Right,1,FALSE,Critical_N.Galliwinou.M.L_W.Panicking.F.R.wav
Exposure,Filler,1,15,01,Ornament,Set A,Word,Male,Left,Gairelom,Set A,Nonword,Female,Right,1,FALSE,Critical_W.Ornament.M.L_N.Gairelom.F.R.wav
Exposure,Filler,1,15,02,Ganla,Set B,Nonword,Male,Right,Parakeet,Set B,Word,Female,Left,1,FALSE,Critical_W.Parakeet.F.L_N.Ganla.M.R.wav
Exposure,Filler,1,15,03,Emhoutic,Set C,Nonword,Male,Left,Pilgrim,Set C,Word,Female,Right,1,FALSE,Critical_N.Emhoutic.M.L_W.Pilgrim.F.R.wav
Exposure,Filler,1,16,01,Pineapple,Set A,Word,Male,Left,Bikanian,Set A,Nonword,Female,Right,1,FALSE,Critical_W.Pineapple.M.L_N.Bikanian.F.R.wav
Exposure,Filler,1,16,02,Dadigal,Set B,Nonword,Male,Right,Platonic,Set B,Word,Female,Left,1,FALSE,Critical_W.Platonic.F.L_N.Dadigal.M.R.wav
Exposure,Filler,1,16,03,Dilkuaund,Set C,Nonword,Male,Left,Predict,Set C,Word,Female,Right,1,FALSE,Critical_N.Dilkuaund.M.L_W.Predict.F.R.wav
Exposure,Filler,1,17,01,Purgatory,Set A,Word,Male,Left,Baliber,Set A,Nonword,Female,Right,1,FALSE,Critical_W.Purgatory.M.L_N.Baliber.F.R.wav
Exposure,Filler,1,17,02,Bamtell,Set B,Nonword,Male,Right,Tactical,Set B,Word,Female,Left,1,FALSE,Critical_W.Tactical.F.L_N.Bamtell.M.R.wav
Exposure,Filler,1,17,03,Bowidai,Set C,Nonword,Male,Left,Terminal,Set C,Word,Female,Right,1,FALSE,Critical_N.Bowidai.M.L_W.Terminal.F.R.wav
Exposure,Filler,1,18,01,Therapeutic,Set A,Word,Male,Left,Amalar,Set A,Nonword,Female,Right,1,FALSE,Critical_W.Therapeutic.M.L_N.Amalar.F.R.wav
Exposure,Filler,1,18,02,Anemer,Set B,Nonword,Male,Right,Titanium,Set B,Word,Female,Left,1,FALSE,Critical_W.Titanium.F.L_N.Anemer.M.R.wav
Exposure,Filler,1,18,03,Anolipa,Set C,Nonword,Male,Left,Turbulent,Set C,Word,Female,Right,1,FALSE,Critical_N.Anolipa.M.L_W.Turbulent.F.R.wav
Exposure,Filler,1,19,01,Tutorial,Set A,Word,Male,Left,Ailounam,Set A,Nonword,Female,Right,1,FALSE,Critical_W.Tutorial.M.L_N.Ailounam.F.R.wav
Exposure,Filler,1,19,02,Lilgrai,Set B,Nonword,Male,Right,Umbrella,Set B,Word,Female,Left,1,FALSE,Critical_W.Umbrella.F.L_N.Lilgrai.M.R.wav
Exposure,Filler,1,19,03,Alnadiro,Set C,Nonword,Male,Left,Undermine,Set C,Word,Female,Right,1,FALSE,Critical_N.Alnadiro.M.L_W.Undermine.F.R.wav
Exposure,Filler,1,20,01,Wealthy,Set A,Word,Male,Left,Acomining,Set A,Nonword,Female,Right,1,FALSE,Critical_W.Wealthy.M.L_N.Acomining.F.R.wav
Exposure,Filler,1,20,02,Admunker,Set B,Nonword,Male,Right,Worldly,Set B,Word,Female,Left,1,FALSE,Critical_W.Worldly.F.L_N.Admunker.M.R.wav
Exposure,Filler,1,20,03,Aigi,Set C,Nonword,Male,Left,Wrinkle,Set C,Word,Female,Right,1,FALSE,Critical_N.Aigi.M.L_W.Wrinkle.F.R.wav
