Phase,Item.Type,Block,Item.Number,Version,Attended.Talker,Attended.Talker_Materials,Attended.Talker_Sound,Attended.Talker_Gender,Attended.Talker_Ear,Unattended.Talker,Unattended.Talker_Materials,Unattended.Talker_Sound,Unattended.Talker_Gender,Unattended.Talker_Ear,reps,feedback,filename
Exposure,Filler,1,12,03,Lingering,Set A,Word,Female,Right,Inpaki,Set A,Nonword,Male,Left,1,FALSE,Critical_N.Inpaki.M.L_W.Lingering.F.R.wav
Exposure,Filler,1,12,04,Aknid,Set B,Nonword,Female,Left,Membrane,Set B,Word,Male,Right,1,FALSE,Critical_N.Aknid.F.L_W.Membrane.M.R.wav
Exposure,Filler,1,12,01,Halomimoc,Set C,Nonword,Female,Right,Metrical,Set C,Word,Male,Left,1,FALSE,Critical_W.Metrical.M.L_N.Halomimoc.F.R.wav
Exposure,Filler,1,13,03,Melancholy,Set A,Word,Female,Right,Hintarber,Set A,Nonword,Male,Left,1,FALSE,Critical_N.Hintarber.M.L_W.Melancholy.F.R.wav
Exposure,Filler,1,13,04,Ibirak,Set B,Nonword,Female,Left,Negate,Set B,Word,Male,Right,1,FALSE,Critical_N.Ibirak.F.L_W.Negate.M.R.wav
Exposure,Filler,1,13,01,Gerbualo,Set C,Nonword,Female,Right,Nightmare,Set C,Word,Male,Left,1,FALSE,Critical_W.Nightmare.M.L_N.Gerbualo.F.R.wav
Exposure,Filler,1,14,03,Napkin,Set A,Word,Female,Right,Gardimuallay,Set A,Nonword,Male,Left,1,FALSE,Critical_N.Gardimuallay.M.L_W.Napkin.F.R.wav
Exposure,Filler,1,14,04,Halken,Set B,Nonword,Female,Left,Outnumber,Set B,Word,Male,Right,1,FALSE,Critical_N.Halken.F.L_W.Outnumber.M.R.wav
Exposure,Filler,1,14,01,Galliwinou,Set C,Nonword,Female,Right,Panicking,Set C,Word,Male,Left,1,FALSE,Critical_W.Panicking.M.L_N.Galliwinou.F.R.wav
Exposure,Filler,1,15,03,Ornament,Set A,Word,Female,Right,Gairelom,Set A,Nonword,Male,Left,1,FALSE,Critical_N.Gairelom.M.L_W.Ornament.F.R.wav
Exposure,Filler,1,15,04,Ganla,Set B,Nonword,Female,Left,Parakeet,Set B,Word,Male,Right,1,FALSE,Critical_N.Ganla.F.L_W.Parakeet.M.R.wav
Exposure,Filler,1,15,01,Emhoutic,Set C,Nonword,Female,Right,Pilgrim,Set C,Word,Male,Left,1,FALSE,Critical_W.Pilgrim.M.L_N.Emhoutic.F.R.wav
Exposure,Filler,1,16,03,Pineapple,Set A,Word,Female,Right,Bikanian,Set A,Nonword,Male,Left,1,FALSE,Critical_N.Bikanian.M.L_W.Pineapple.F.R.wav
Exposure,Filler,1,16,04,Dadigal,Set B,Nonword,Female,Left,Platonic,Set B,Word,Male,Right,1,FALSE,Critical_N.Dadigal.F.L_W.Platonic.M.R.wav
Exposure,Filler,1,16,01,Dilkuaund,Set C,Nonword,Female,Right,Predict,Set C,Word,Male,Left,1,FALSE,Critical_W.Predict.M.L_N.Dilkuaund.F.R.wav
Exposure,Filler,1,17,03,Purgatory,Set A,Word,Female,Right,Baliber,Set A,Nonword,Male,Left,1,FALSE,Critical_N.Baliber.M.L_W.Purgatory.F.R.wav
Exposure,Filler,1,17,04,Bamtell,Set B,Nonword,Female,Left,Tactical,Set B,Word,Male,Right,1,FALSE,Critical_N.Bamtell.F.L_W.Tactical.M.R.wav
Exposure,Filler,1,17,01,Bowidai,Set C,Nonword,Female,Right,Terminal,Set C,Word,Male,Left,1,FALSE,Critical_W.Terminal.M.L_N.Bowidai.F.R.wav
Exposure,Filler,1,18,03,Therapeutic,Set A,Word,Female,Right,Amalar,Set A,Nonword,Male,Left,1,FALSE,Critical_N.Amalar.M.L_W.Therapeutic.F.R.wav
Exposure,Filler,1,18,04,Anemer,Set B,Nonword,Female,Left,Titanium,Set B,Word,Male,Right,1,FALSE,Critical_N.Anemer.F.L_W.Titanium.M.R.wav
Exposure,Filler,1,18,01,Anolipa,Set C,Nonword,Female,Right,Turbulent,Set C,Word,Male,Left,1,FALSE,Critical_W.Turbulent.M.L_N.Anolipa.F.R.wav
Exposure,Filler,1,19,03,Tutorial,Set A,Word,Female,Right,Ailounam,Set A,Nonword,Male,Left,1,FALSE,Critical_N.Ailounam.M.L_W.Tutorial.F.R.wav
Exposure,Filler,1,19,04,Lilgrai,Set B,Nonword,Female,Left,Umbrella,Set B,Word,Male,Right,1,FALSE,Critical_N.Lilgrai.F.L_W.Umbrella.M.R.wav
Exposure,Filler,1,19,01,Alnadiro,Set C,Nonword,Female,Right,Undermine,Set C,Word,Male,Left,1,FALSE,Critical_W.Undermine.M.L_N.Alnadiro.F.R.wav
Exposure,Filler,1,20,03,Wealthy,Set A,Word,Female,Right,Acomining,Set A,Nonword,Male,Left,1,FALSE,Critical_N.Acomining.M.L_W.Wealthy.F.R.wav
Exposure,Filler,1,20,04,Admunker,Set B,Nonword,Female,Left,Worldly,Set B,Word,Male,Right,1,FALSE,Critical_N.Admunker.F.L_W.Worldly.M.R.wav
Exposure,Filler,1,20,01,Aigi,Set C,Nonword,Female,Right,Wrinkle,Set C,Word,Male,Left,1,FALSE,Critical_W.Wrinkle.M.L_N.Aigi.F.R.wav
