"","Phase","Item.Type","Block","Item.Number","Version","Attended.Talker","Attended.Talker_Materials","Attended.Talker_Sound","Attended.Talker_Gender","Attended.Talker_Ear","Unattended.Talker","Unattended.Talker_Materials","Unattended.Talker_Sound","Unattended.Talker_Gender","Unattended.Talker_Ear","Correct.Response","reps","feedback","filename"
"28","Exposure","Filler",1,3,"4","Ryligal","Set B","Nonword","Female","Left","Continually","Set B","Word","Male","Right","Nonword",1,FALSE,"Filler_N.Ryligal.F.L_W.Continually.M.R.wav"
"29","Exposure","Filler",1,3,"1","Tamical","Set C","Nonword","Female","Right","Domineering","Set C","Word","Male","Left","Nonword",1,FALSE,"Filler_W.Domineering.M.L_N.Tamical.F.R.wav"
"30","Exposure","Filler",1,4,"3","Directory","Set A","Word","Female","Right","Rimkeluwar","Set A","Nonword","Male","Left","Word",1,FALSE,"Filler_N.Rimkeluwar.M.L_W.Directory.F.R.wav"
"31","Exposure","Filler",1,4,"4","Rawamtee","Set B","Nonword","Female","Left","Document","Set B","Word","Male","Right","Nonword",1,FALSE,"Filler_N.Rawamtee.F.L_W.Document.M.R.wav"
"32","Exposure","Filler",1,4,"1","Rengime","Set C","Nonword","Female","Right","Embody","Set C","Word","Male","Left","Nonword",1,FALSE,"Filler_W.Embody.M.L_N.Rengime.F.R.wav"
"33","Exposure","Filler",1,5,"3","Dynamite","Set A","Word","Female","Right","Rakil","Set A","Nonword","Male","Left","Word",1,FALSE,"Filler_N.Rakil.M.L_W.Dynamite.F.R.wav"
"34","Exposure","Filler",1,5,"4","Ploupelai","Set B","Nonword","Female","Left","Eighty","Set B","Word","Male","Right","Nonword",1,FALSE,"Filler_N.Ploupelai.F.L_W.Eighty.M.R.wav"
"35","Exposure","Filler",1,5,"1","Pourilar","Set C","Nonword","Female","Right","Gullible","Set C","Word","Male","Left","Nonword",1,FALSE,"Filler_W.Gullible.M.L_N.Pourilar.F.R.wav"
"36","Exposure","Filler",1,6,"3","Gardenia","Set A","Word","Female","Right","Perkum","Set A","Nonword","Male","Left","Word",1,FALSE,"Filler_N.Perkum.M.L_W.Gardenia.F.R.wav"
"37","Exposure","Filler",1,6,"4","Omperoge","Set B","Nonword","Female","Left","Grammatical","Set B","Word","Male","Right","Nonword",1,FALSE,"Filler_N.Omperoge.F.L_W.Grammatical.M.R.wav"
"38","Exposure","Filler",1,6,"1","Almikquary","Set C","Nonword","Female","Right","Honeymoon","Set C","Word","Male","Left","Nonword",1,FALSE,"Filler_W.Honeymoon.M.L_N.Almikquary.F.R.wav"
"39","Exposure","Filler",1,7,"3","Hamburger","Set A","Word","Female","Right","Nomerae","Set A","Nonword","Male","Left","Word",1,FALSE,"Filler_N.Nomerae.M.L_W.Hamburger.F.R.wav"
"40","Exposure","Filler",1,7,"4","Nempring","Set B","Nonword","Female","Left","Identical","Set B","Word","Male","Right","Nonword",1,FALSE,"Filler_N.Nempring.F.L_W.Identical.M.R.wav"
"41","Exposure","Filler",1,7,"1","Niritaly","Set C","Nonword","Female","Right","Illuminate","Set C","Word","Male","Left","Nonword",1,FALSE,"Filler_W.Illuminate.M.L_N.Niritaly.F.R.wav"
"42","Exposure","Filler",1,8,"3","Hurdle","Set A","Word","Female","Right","Namuary","Set A","Nonword","Male","Left","Word",1,FALSE,"Filler_N.Namuary.M.L_W.Hurdle.F.R.wav"
"43","Exposure","Filler",1,8,"4","Mibgem","Set B","Nonword","Female","Left","Interior","Set B","Word","Male","Right","Nonword",1,FALSE,"Filler_N.Mibgem.F.L_W.Interior.M.R.wav"
"44","Exposure","Filler",1,8,"1","Makid","Set C","Nonword","Female","Right","Ironic","Set C","Word","Male","Left","Nonword",1,FALSE,"Filler_W.Ironic.M.L_N.Makid.F.R.wav"
