"","Phase","Item.Type","Block","Item.Number","Version","Attended.Talker","Attended.Talker_Materials","Attended.Talker_Sound","Attended.Talker_Gender","Attended.Talker_Ear","Unattended.Talker","Unattended.Talker_Materials","Unattended.Talker_Sound","Unattended.Talker_Gender","Unattended.Talker_Ear","reps","feedback","filename"
"31","Exposure","Filler",1,4,"1","Rawamtee","Set B","Nonword","Female","Right","Document","Set B","Word","Male","Left",1,FALSE,"Filler_W.Document.M.L_N.Rawamtee.F.R.wav"
"32","Exposure","Filler",1,4,"4","Rengime","Set C","Nonword","Female","Left","Embody","Set C","Word","Male","Right",1,FALSE,"Filler_N.Rengime.F.L_W.Embody.M.R.wav"
"33","Exposure","Filler",1,5,"2","Dynamite","Set A","Word","Female","Left","Rakil","Set A","Nonword","Male","Right",1,FALSE,"Filler_W.Dynamite.F.L_N.Rakil.M.R.wav"
"34","Exposure","Filler",1,5,"1","Ploupelai","Set B","Nonword","Female","Right","Eighty","Set B","Word","Male","Left",1,FALSE,"Filler_W.Eighty.M.L_N.Ploupelai.F.R.wav"
"35","Exposure","Filler",1,5,"4","Pourilar","Set C","Nonword","Female","Left","Gullible","Set C","Word","Male","Right",1,FALSE,"Filler_N.Pourilar.F.L_W.Gullible.M.R.wav"
"36","Exposure","Filler",1,6,"2","Gardenia","Set A","Word","Female","Left","Perkum","Set A","Nonword","Male","Right",1,FALSE,"Filler_W.Gardenia.F.L_N.Perkum.M.R.wav"
"37","Exposure","Filler",1,6,"1","Omperoge","Set B","Nonword","Female","Right","Grammatical","Set B","Word","Male","Left",1,FALSE,"Filler_W.Grammatical.M.L_N.Omperoge.F.R.wav"
"38","Exposure","Filler",1,6,"4","Almikquary","Set C","Nonword","Female","Left","Honeymoon","Set C","Word","Male","Right",1,FALSE,"Filler_N.Almikquary.F.L_W.Honeymoon.M.R.wav"
"39","Exposure","Filler",1,7,"2","Hamburger","Set A","Word","Female","Left","Nomerae","Set A","Nonword","Male","Right",1,FALSE,"Filler_W.Hamburger.F.L_N.Nomerae.M.R.wav"
"40","Exposure","Filler",1,7,"1","Nempring","Set B","Nonword","Female","Right","Identical","Set B","Word","Male","Left",1,FALSE,"Filler_W.Identical.M.L_N.Nempring.F.R.wav"
"41","Exposure","Filler",1,7,"4","Niritaly","Set C","Nonword","Female","Left","Illuminate","Set C","Word","Male","Right",1,FALSE,"Filler_N.Niritaly.F.L_W.Illuminate.M.R.wav"
"42","Exposure","Filler",1,8,"2","Hurdle","Set A","Word","Female","Left","Namuary","Set A","Nonword","Male","Right",1,FALSE,"Filler_W.Hurdle.F.L_N.Namuary.M.R.wav"
"43","Exposure","Filler",1,8,"1","Mibgem","Set B","Nonword","Female","Right","Interior","Set B","Word","Male","Left",1,FALSE,"Filler_W.Interior.M.L_N.Mibgem.F.R.wav"
"44","Exposure","Filler",1,8,"4","Makid","Set C","Nonword","Female","Left","Ironic","Set C","Word","Male","Right",1,FALSE,"Filler_N.Makid.F.L_W.Ironic.M.R.wav"
"45","Exposure","Filler",1,9,"2","Inhabit","Set A","Word","Female","Left","Logelai","Set A","Nonword","Male","Right",1,FALSE,"Filler_W.Inhabit.F.L_N.Logelai.M.R.wav"
"46","Exposure","Filler",1,9,"1","Meidnow","Set B","Nonword","Female","Right","Knowingly","Set B","Word","Male","Left",1,FALSE,"Filler_W.Knowingly.M.L_N.Meidnow.F.R.wav"
"47","Exposure","Filler",1,9,"4","Kaldemia","Set C","Nonword","Female","Left","Laminate","Set C","Word","Male","Right",1,FALSE,"Filler_N.Kaldemia.F.L_W.Laminate.M.R.wav"
"48","Exposure","Filler",1,10,"2","Keyboard","Set A","Word","Female","Left","Lenediaw","Set A","Nonword","Male","Right",1,FALSE,"Filler_W.Keyboard.F.L_N.Lenediaw.M.R.wav"
"49","Exposure","Filler",1,10,"1","Kermimer","Set B","Nonword","Female","Right","Lethal","Set B","Word","Male","Left",1,FALSE,"Filler_W.Lethal.M.L_N.Kermimer.F.R.wav"
"50","Exposure","Filler",1,10,"4","Imdalier","Set C","Nonword","Female","Left","Liability","Set C","Word","Male","Right",1,FALSE,"Filler_N.Imdalier.F.L_W.Liability.M.R.wav"
"51","Exposure","Filler",1,11,"2","Lengthen","Set A","Word","Female","Left","Kelabidel","Set A","Nonword","Male","Right",1,FALSE,"Filler_W.Lengthen.F.L_N.Kelabidel.M.R.wav"
"52","Exposure","Filler",1,11,"1","Itempider","Set B","Nonword","Female","Right","Lobbying","Set B","Word","Male","Left",1,FALSE,"Filler_W.Lobbying.M.L_N.Itempider.F.R.wav"
"53","Exposure","Filler",1,11,"4","Kloumidiger","Set C","Nonword","Female","Left","Marina","Set C","Word","Male","Right",1,FALSE,"Filler_N.Kloumidiger.F.L_W.Marina.M.R.wav"
"54","Exposure","Filler",1,12,"2","Lingering","Set A","Word","Female","Left","Inpaki","Set A","Nonword","Male","Right",1,FALSE,"Filler_W.Lingering.F.L_N.Inpaki.M.R.wav"
"55","Exposure","Filler",1,12,"1","Aknid","Set B","Nonword","Female","Right","Membrane","Set B","Word","Male","Left",1,FALSE,"Filler_W.Membrane.M.L_N.Aknid.F.R.wav"
"56","Exposure","Filler",1,12,"4","Halomimoc","Set C","Nonword","Female","Left","Metrical","Set C","Word","Male","Right",1,FALSE,"Filler_N.Halomimoc.F.L_W.Metrical.M.R.wav"
"57","Exposure","Filler",1,13,"2","Melancholy","Set A","Word","Female","Left","Hintarber","Set A","Nonword","Male","Right",1,FALSE,"Filler_W.Melancholy.F.L_N.Hintarber.M.R.wav"
"58","Exposure","Filler",1,13,"1","Ibirak","Set B","Nonword","Female","Right","Negate","Set B","Word","Male","Left",1,FALSE,"Filler_W.Negate.M.L_N.Ibirak.F.R.wav"
"59","Exposure","Filler",1,13,"4","Gerbualo","Set C","Nonword","Female","Left","Nightmare","Set C","Word","Male","Right",1,FALSE,"Filler_N.Gerbualo.F.L_W.Nightmare.M.R.wav"
"60","Exposure","Filler",1,14,"2","Napkin","Set A","Word","Female","Left","Gardimuallay","Set A","Nonword","Male","Right",1,FALSE,"Filler_W.Napkin.F.L_N.Gardimuallay.M.R.wav"
