"","Phase","Item.Type","Block","Item.Number","Version","Attended.Talker","Attended.Talker_Materials","Attended.Talker_Sound","Attended.Talker_Gender","Attended.Talker_Ear","Unattended.Talker","Unattended.Talker_Materials","Unattended.Talker_Sound","Unattended.Talker_Gender","Unattended.Talker_Ear","Correct.Response","reps","feedback","filename"
"30","Exposure","Filler",1,4,"4","Directory","Set A","Word","Male","Right","Rimkeluwar","Set A","Nonword","Female","Left","Word",1,FALSE,"Filler_N.Rimkeluwar.F.L_W.Directory.M.R.wav"
"31","Exposure","Filler",1,4,"3","Rawamtee","Set B","Nonword","Male","Left","Document","Set B","Word","Female","Right","Nonword",1,FALSE,"Filler_N.Rawamtee.M.L_W.Document.F.R.wav"
"32","Exposure","Filler",1,4,"2","Rengime","Set C","Nonword","Male","Right","Embody","Set C","Word","Female","Left","Nonword",1,FALSE,"Filler_W.Embody.F.L_N.Rengime.M.R.wav"
"33","Exposure","Filler",1,5,"4","Dynamite","Set A","Word","Male","Right","Rakil","Set A","Nonword","Female","Left","Word",1,FALSE,"Filler_N.Rakil.F.L_W.Dynamite.M.R.wav"
"34","Exposure","Filler",1,5,"3","Ploupelai","Set B","Nonword","Male","Left","Eighty","Set B","Word","Female","Right","Nonword",1,FALSE,"Filler_N.Ploupelai.M.L_W.Eighty.F.R.wav"
"35","Exposure","Filler",1,5,"2","Pourilar","Set C","Nonword","Male","Right","Gullible","Set C","Word","Female","Left","Nonword",1,FALSE,"Filler_W.Gullible.F.L_N.Pourilar.M.R.wav"
"36","Exposure","Filler",1,6,"4","Gardenia","Set A","Word","Male","Right","Perkum","Set A","Nonword","Female","Left","Word",1,FALSE,"Filler_N.Perkum.F.L_W.Gardenia.M.R.wav"
"37","Exposure","Filler",1,6,"3","Omperoge","Set B","Nonword","Male","Left","Grammatical","Set B","Word","Female","Right","Nonword",1,FALSE,"Filler_N.Omperoge.M.L_W.Grammatical.F.R.wav"
"38","Exposure","Filler",1,6,"2","Almikquary","Set C","Nonword","Male","Right","Honeymoon","Set C","Word","Female","Left","Nonword",1,FALSE,"Filler_W.Honeymoon.F.L_N.Almikquary.M.R.wav"
"39","Exposure","Filler",1,7,"4","Hamburger","Set A","Word","Male","Right","Nomerae","Set A","Nonword","Female","Left","Word",1,FALSE,"Filler_N.Nomerae.F.L_W.Hamburger.M.R.wav"
"40","Exposure","Filler",1,7,"3","Nempring","Set B","Nonword","Male","Left","Identical","Set B","Word","Female","Right","Nonword",1,FALSE,"Filler_N.Nempring.M.L_W.Identical.F.R.wav"
