"","Phase","Item.Type","Block","Item.Number","Version","Attended.Talker","Attended.Talker_Materials","Attended.Talker_Sound","Attended.Talker_Gender","Attended.Talker_Ear","Unattended.Talker","Unattended.Talker_Materials","Unattended.Talker_Sound","Unattended.Talker_Gender","Unattended.Talker_Ear","reps","feedback","filename"
"31","Exposure","Filler",1,4,"4","Rawamtee","Set B","Nonword","Female","Left","Document","Set B","Word","Male","Right",1,FALSE,"Filler_N.Rawamtee.F.L_W.Document.M.R.wav"
"32","Exposure","Filler",1,4,"1","Rengime","Set C","Nonword","Female","Right","Embody","Set C","Word","Male","Left",1,FALSE,"Filler_W.Embody.M.L_N.Rengime.F.R.wav"
"33","Exposure","Filler",1,5,"3","Dynamite","Set A","Word","Female","Right","Rakil","Set A","Nonword","Male","Left",1,FALSE,"Filler_N.Rakil.M.L_W.Dynamite.F.R.wav"
"34","Exposure","Filler",1,5,"4","Ploupelai","Set B","Nonword","Female","Left","Eighty","Set B","Word","Male","Right",1,FALSE,"Filler_N.Ploupelai.F.L_W.Eighty.M.R.wav"
"35","Exposure","Filler",1,5,"1","Pourilar","Set C","Nonword","Female","Right","Gullible","Set C","Word","Male","Left",1,FALSE,"Filler_W.Gullible.M.L_N.Pourilar.F.R.wav"
"36","Exposure","Filler",1,6,"3","Gardenia","Set A","Word","Female","Right","Perkum","Set A","Nonword","Male","Left",1,FALSE,"Filler_N.Perkum.M.L_W.Gardenia.F.R.wav"
"37","Exposure","Filler",1,6,"4","Omperoge","Set B","Nonword","Female","Left","Grammatical","Set B","Word","Male","Right",1,FALSE,"Filler_N.Omperoge.F.L_W.Grammatical.M.R.wav"
"38","Exposure","Filler",1,6,"1","Almikquary","Set C","Nonword","Female","Right","Honeymoon","Set C","Word","Male","Left",1,FALSE,"Filler_W.Honeymoon.M.L_N.Almikquary.F.R.wav"
"39","Exposure","Filler",1,7,"3","Hamburger","Set A","Word","Female","Right","Nomerae","Set A","Nonword","Male","Left",1,FALSE,"Filler_N.Nomerae.M.L_W.Hamburger.F.R.wav"
"40","Exposure","Filler",1,7,"4","Nempring","Set B","Nonword","Female","Left","Identical","Set B","Word","Male","Right",1,FALSE,"Filler_N.Nempring.F.L_W.Identical.M.R.wav"
"41","Exposure","Filler",1,7,"1","Niritaly","Set C","Nonword","Female","Right","Illuminate","Set C","Word","Male","Left",1,FALSE,"Filler_W.Illuminate.M.L_N.Niritaly.F.R.wav"
"42","Exposure","Filler",1,8,"3","Hurdle","Set A","Word","Female","Right","Namuary","Set A","Nonword","Male","Left",1,FALSE,"Filler_N.Namuary.M.L_W.Hurdle.F.R.wav"
"43","Exposure","Filler",1,8,"4","Mibgem","Set B","Nonword","Female","Left","Interior","Set B","Word","Male","Right",1,FALSE,"Filler_N.Mibgem.F.L_W.Interior.M.R.wav"
"44","Exposure","Filler",1,8,"1","Makid","Set C","Nonword","Female","Right","Ironic","Set C","Word","Male","Left",1,FALSE,"Filler_W.Ironic.M.L_N.Makid.F.R.wav"
"45","Exposure","Filler",1,9,"3","Inhabit","Set A","Word","Female","Right","Logelai","Set A","Nonword","Male","Left",1,FALSE,"Filler_N.Logelai.M.L_W.Inhabit.F.R.wav"
"46","Exposure","Filler",1,9,"4","Meidnow","Set B","Nonword","Female","Left","Knowingly","Set B","Word","Male","Right",1,FALSE,"Filler_N.Meidnow.F.L_W.Knowingly.M.R.wav"
"47","Exposure","Filler",1,9,"1","Kaldemia","Set C","Nonword","Female","Right","Laminate","Set C","Word","Male","Left",1,FALSE,"Filler_W.Laminate.M.L_N.Kaldemia.F.R.wav"
"48","Exposure","Filler",1,10,"3","Keyboard","Set A","Word","Female","Right","Lenediaw","Set A","Nonword","Male","Left",1,FALSE,"Filler_N.Lenediaw.M.L_W.Keyboard.F.R.wav"
"49","Exposure","Filler",1,10,"4","Kermimer","Set B","Nonword","Female","Left","Lethal","Set B","Word","Male","Right",1,FALSE,"Filler_N.Kermimer.F.L_W.Lethal.M.R.wav"
"50","Exposure","Filler",1,10,"1","Imdalier","Set C","Nonword","Female","Right","Liability","Set C","Word","Male","Left",1,FALSE,"Filler_W.Liability.M.L_N.Imdalier.F.R.wav"
"51","Exposure","Filler",1,11,"3","Lengthen","Set A","Word","Female","Right","Kelabidel","Set A","Nonword","Male","Left",1,FALSE,"Filler_N.Kelabidel.M.L_W.Lengthen.F.R.wav"
"52","Exposure","Filler",1,11,"4","Itempider","Set B","Nonword","Female","Left","Lobbying","Set B","Word","Male","Right",1,FALSE,"Filler_N.Itempider.F.L_W.Lobbying.M.R.wav"
"53","Exposure","Filler",1,11,"1","Kloumidiger","Set C","Nonword","Female","Right","Marina","Set C","Word","Male","Left",1,FALSE,"Filler_W.Marina.M.L_N.Kloumidiger.F.R.wav"
"54","Exposure","Filler",1,12,"3","Lingering","Set A","Word","Female","Right","Inpaki","Set A","Nonword","Male","Left",1,FALSE,"Filler_N.Inpaki.M.L_W.Lingering.F.R.wav"
"55","Exposure","Filler",1,12,"4","Aknid","Set B","Nonword","Female","Left","Membrane","Set B","Word","Male","Right",1,FALSE,"Filler_N.Aknid.F.L_W.Membrane.M.R.wav"
"56","Exposure","Filler",1,12,"1","Halomimoc","Set C","Nonword","Female","Right","Metrical","Set C","Word","Male","Left",1,FALSE,"Filler_W.Metrical.M.L_N.Halomimoc.F.R.wav"
"57","Exposure","Filler",1,13,"3","Melancholy","Set A","Word","Female","Right","Hintarber","Set A","Nonword","Male","Left",1,FALSE,"Filler_N.Hintarber.M.L_W.Melancholy.F.R.wav"
"58","Exposure","Filler",1,13,"4","Ibirak","Set B","Nonword","Female","Left","Negate","Set B","Word","Male","Right",1,FALSE,"Filler_N.Ibirak.F.L_W.Negate.M.R.wav"
"59","Exposure","Filler",1,13,"1","Gerbualo","Set C","Nonword","Female","Right","Nightmare","Set C","Word","Male","Left",1,FALSE,"Filler_W.Nightmare.M.L_N.Gerbualo.F.R.wav"
"60","Exposure","Filler",1,14,"3","Napkin","Set A","Word","Female","Right","Gardimuallay","Set A","Nonword","Male","Left",1,FALSE,"Filler_N.Gardimuallay.M.L_W.Napkin.F.R.wav"
"61","Exposure","Filler",1,14,"4","Halken","Set B","Nonword","Female","Left","Outnumber","Set B","Word","Male","Right",1,FALSE,"Filler_N.Halken.F.L_W.Outnumber.M.R.wav"
"62","Exposure","Filler",1,14,"1","Galliwinou","Set C","Nonword","Female","Right","Panicking","Set C","Word","Male","Left",1,FALSE,"Filler_W.Panicking.M.L_N.Galliwinou.F.R.wav"
"63","Exposure","Filler",1,15,"3","Ornament","Set A","Word","Female","Right","Gairelom","Set A","Nonword","Male","Left",1,FALSE,"Filler_N.Gairelom.M.L_W.Ornament.F.R.wav"
"64","Exposure","Filler",1,15,"4","Ganla","Set B","Nonword","Female","Left","Parakeet","Set B","Word","Male","Right",1,FALSE,"Filler_N.Ganla.F.L_W.Parakeet.M.R.wav"
"65","Exposure","Filler",1,15,"1","Emhoutic","Set C","Nonword","Female","Right","Pilgrim","Set C","Word","Male","Left",1,FALSE,"Filler_W.Pilgrim.M.L_N.Emhoutic.F.R.wav"
"66","Exposure","Filler",1,16,"3","Pineapple","Set A","Word","Female","Right","Bikanian","Set A","Nonword","Male","Left",1,FALSE,"Filler_N.Bikanian.M.L_W.Pineapple.F.R.wav"
"67","Exposure","Filler",1,16,"4","Dadigal","Set B","Nonword","Female","Left","Platonic","Set B","Word","Male","Right",1,FALSE,"Filler_N.Dadigal.F.L_W.Platonic.M.R.wav"
"68","Exposure","Filler",1,16,"1","Dilkuaund","Set C","Nonword","Female","Right","Predict","Set C","Word","Male","Left",1,FALSE,"Filler_W.Predict.M.L_N.Dilkuaund.F.R.wav"
"69","Exposure","Filler",1,17,"3","Purgatory","Set A","Word","Female","Right","Baliber","Set A","Nonword","Male","Left",1,FALSE,"Filler_N.Baliber.M.L_W.Purgatory.F.R.wav"
"70","Exposure","Filler",1,17,"4","Bamtell","Set B","Nonword","Female","Left","Tactical","Set B","Word","Male","Right",1,FALSE,"Filler_N.Bamtell.F.L_W.Tactical.M.R.wav"
