"","Phase","Item.Type","Block","Item.Number","Version","Attended.Talker","Attended.Talker_Materials","Attended.Talker_Sound","Attended.Talker_Gender","Attended.Talker_Ear","Unattended.Talker","Unattended.Talker_Materials","Unattended.Talker_Sound","Unattended.Talker_Gender","Unattended.Talker_Ear","Correct.Response","reps","feedback","filename"
"50","Exposure","Filler",1,10,"4","Imdalier","Set C","Nonword","Female","Left","Liability","Set C","Word","Male","Right","Nonword",1,FALSE,"Filler_N.Imdalier.F.L_W.Liability.M.R.wav"
"51","Exposure","Filler",1,11,"2","Lengthen","Set A","Word","Female","Left","Kelabidel","Set A","Nonword","Male","Right","Word",1,FALSE,"Filler_W.Lengthen.F.L_N.Kelabidel.M.R.wav"
"52","Exposure","Filler",1,11,"1","Itempider","Set B","Nonword","Female","Right","Lobbying","Set B","Word","Male","Left","Nonword",1,FALSE,"Filler_W.Lobbying.M.L_N.Itempider.F.R.wav"
"53","Exposure","Filler",1,11,"4","Kloumidiger","Set C","Nonword","Female","Left","Marina","Set C","Word","Male","Right","Nonword",1,FALSE,"Filler_N.Kloumidiger.F.L_W.Marina.M.R.wav"
"54","Exposure","Filler",1,12,"2","Lingering","Set A","Word","Female","Left","Inpaki","Set A","Nonword","Male","Right","Word",1,FALSE,"Filler_W.Lingering.F.L_N.Inpaki.M.R.wav"
"55","Exposure","Filler",1,12,"1","Aknid","Set B","Nonword","Female","Right","Membrane","Set B","Word","Male","Left","Nonword",1,FALSE,"Filler_W.Membrane.M.L_N.Aknid.F.R.wav"
"56","Exposure","Filler",1,12,"4","Halomimoc","Set C","Nonword","Female","Left","Metrical","Set C","Word","Male","Right","Nonword",1,FALSE,"Filler_N.Halomimoc.F.L_W.Metrical.M.R.wav"
"57","Exposure","Filler",1,13,"2","Melancholy","Set A","Word","Female","Left","Hintarber","Set A","Nonword","Male","Right","Word",1,FALSE,"Filler_W.Melancholy.F.L_N.Hintarber.M.R.wav"
"58","Exposure","Filler",1,13,"1","Ibirak","Set B","Nonword","Female","Right","Negate","Set B","Word","Male","Left","Nonword",1,FALSE,"Filler_W.Negate.M.L_N.Ibirak.F.R.wav"
"59","Exposure","Filler",1,13,"4","Gerbualo","Set C","Nonword","Female","Left","Nightmare","Set C","Word","Male","Right","Nonword",1,FALSE,"Filler_N.Gerbualo.F.L_W.Nightmare.M.R.wav"
"60","Exposure","Filler",1,14,"2","Napkin","Set A","Word","Female","Left","Gardimuallay","Set A","Nonword","Male","Right","Word",1,FALSE,"Filler_W.Napkin.F.L_N.Gardimuallay.M.R.wav"
"61","Exposure","Filler",1,14,"1","Halken","Set B","Nonword","Female","Right","Outnumber","Set B","Word","Male","Left","Nonword",1,FALSE,"Filler_W.Outnumber.M.L_N.Halken.F.R.wav"
"62","Exposure","Filler",1,14,"4","Galliwinou","Set C","Nonword","Female","Left","Panicking","Set C","Word","Male","Right","Nonword",1,FALSE,"Filler_N.Galliwinou.F.L_W.Panicking.M.R.wav"
"63","Exposure","Filler",1,15,"2","Ornament","Set A","Word","Female","Left","Gairelom","Set A","Nonword","Male","Right","Word",1,FALSE,"Filler_W.Ornament.F.L_N.Gairelom.M.R.wav"
"64","Exposure","Filler",1,15,"1","Ganla","Set B","Nonword","Female","Right","Parakeet","Set B","Word","Male","Left","Nonword",1,FALSE,"Filler_W.Parakeet.M.L_N.Ganla.F.R.wav"
"65","Exposure","Filler",1,15,"4","Emhoutic","Set C","Nonword","Female","Left","Pilgrim","Set C","Word","Male","Right","Nonword",1,FALSE,"Filler_N.Emhoutic.F.L_W.Pilgrim.M.R.wav"
"66","Exposure","Filler",1,16,"2","Pineapple","Set A","Word","Female","Left","Bikanian","Set A","Nonword","Male","Right","Word",1,FALSE,"Filler_W.Pineapple.F.L_N.Bikanian.M.R.wav"
"67","Exposure","Filler",1,16,"1","Dadigal","Set B","Nonword","Female","Right","Platonic","Set B","Word","Male","Left","Nonword",1,FALSE,"Filler_W.Platonic.M.L_N.Dadigal.F.R.wav"
