workerid,proliferate.condition,exposure10Resp,error
401,Condition.10_F_L_A_S_05_A_0_1,"exposure10,0,5,Filler_N.Gairelom.M.L_W.Ornament.F.R.wav,88,word,1677788944648,1677788946326,1678,,false;exposure10,1,7,Filler_W.Pilgrim.M.L_N.Emhoutic.F.R.wav,77,non-word,1677788947350,1677788949217,1867,,false;exposure10,2,4,Filler_W.Gullible.M.L_N.Pourilar.F.R.wav,77,non-word,1677788950230,1677788951946,1716,,false;exposure10,3,2,Filler_N.Rakil.M.L_W.Dynamite.F.R.wav,88,word,1677788952952,1677788954744,1792,,false;exposure10,4,1,Critical_Sh.Parachute.F.L_S.Reconcile.M.R.wav,88,word,1677788955764,1677788957389,1625,,false;exposure10,5,0,Critical_As.Peninsula.F.L_Ash.Crucial.M.R.wav,88,word,1677788958414,1677788960052,1638,,false;exposure10,6,6,Filler_N.Ganla.F.L_W.Parakeet.M.R.wav,77,non-word,1677788961078,1677788962703,1625,,false;exposure10,7,3,Filler_N.Ploupelai.F.L_W.Eighty.M.R.wav,77,non-word,1677788963718,1677788965248,1530,,false;",
399,Condition.26_F_L_A_Sh_05_A_0_1,"exposure10,0,5,Filler_N.Gairelom.M.L_W.Ornament.F.R.wav,77,non-word,1677787710516,1677787712216,1700,,false;exposure10,1,0,Critical_Ash.Crucial.F.L_As.Peninsula.M.R.wav,77,non-word,1677787713230,1677787714951,1721,,false;exposure10,2,4,Filler_W.Gullible.M.L_N.Pourilar.F.R.wav,77,non-word,1677787715966,1677787717568,1602,,false;exposure10,3,7,Filler_W.Pilgrim.M.L_N.Emhoutic.F.R.wav,77,non-word,1677787718585,1677787720301,1716,,false;exposure10,4,1,Critical_S.Reconcile.F.L_Sh.Parachute.M.R.wav,88,word,1677787721311,1677787723094,1783,,false;exposure10,5,3,Filler_N.Ploupelai.F.L_W.Eighty.M.R.wav,77,non-word,1677787724102,1677787726374,2272,,false;exposure10,6,2,Filler_N.Rakil.M.L_W.Dynamite.F.R.wav,88,word,1677787727383,1677787728981,1598,,false;exposure10,7,6,Filler_N.Ganla.F.L_W.Parakeet.M.R.wav,77,non-word,1677787729997,1677787731556,1559,,false;",
