workerid,proliferate.condition,userDateTimeAtInitialization,error
401,Condition.10_F_L_A_S_05_A_0_1,2023-03-02T20:22:09.161Z,
399,Condition.26_F_L_A_Sh_05_A_0_1,2023-03-02T20:02:52.375Z,
