workerid,proliferate.condition,exposure7Resp,error
394,Condition.56_M_L_A_Sh_01_B_1_1,"exposure7,0,7,Filler_W.Predict.F.L_N.Dilkuaund.M.R.wav,88,non-word,1677457218646,1677457220334,1688,,false;exposure7,1,2,Filler_N.Perkum.F.L_W.Gardenia.M.R.wav,77,word,1677457221351,1677457222879,1528,,false;exposure7,2,0,Critical_Ash.Pediatrician.M.L_As.Hallucinate.F.R.wav,77,word,1677457223895,1677457225638,1743,,false;exposure7,3,1,Critical_S.Personal.M.L_Sh.Efficient.F.R.wav,77,word,1677457226651,1677457228409,1758,,false;exposure7,4,3,Filler_N.Omperoge.M.L_W.Grammatical.F.R.wav,88,non-word,1677457229420,1677457231460,2040,,false;exposure7,5,6,Filler_N.Dadigal.M.L_W.Platonic.F.R.wav,88,non-word,1677457232471,1677457234255,1784,,false;exposure7,6,5,Filler_N.Bikanian.F.L_W.Pineapple.M.R.wav,77,word,1677457235270,1677457236875,1605,,false;exposure7,7,4,Filler_W.Honeymoon.F.L_N.Almikquary.M.R.wav,88,non-word,1677457237883,1677457239588,1705,,false;",
391,Condition.62_M_L_A_Sh_05_B_0_1,"exposure7,0,2,Filler_N.Ungelnin.F.L_W.Blueberry.M.R.wav,88,word,1677435642044,1677435643675,1631,,false;exposure7,1,6,Filler_N.Aknid.M.L_W.Membrane.F.R.wav,77,non-word,1677435644684,1677435646257,1573,,false;exposure7,2,0,Critical_Ash.Machinery.M.L_As.Obscene.F.R.wav,88,word,1677435647281,1677435649262,1981,,false;exposure7,3,7,Filler_W.Metrical.F.L_N.Halomimoc.M.R.wav,77,non-word,1677435650270,1677435652050,1780,,false;exposure7,4,1,Critical_S.Democracy.M.L_Sh.Beneficial.F.R.wav,88,word,1677435653062,1677435654781,1719,,false;exposure7,5,3,Filler_N.Tounamplem.M.L_W.Bullying.F.R.wav,77,non-word,1677435655792,1677435657595,1803,,false;exposure7,6,5,Filler_N.Inpaki.F.L_W.Lingering.M.R.wav,88,word,1677435658617,1677435661373,2756,,false;exposure7,7,4,Filler_W.Burglary.F.L_N.Tymolape.M.R.wav,77,non-word,1677435662388,1677435663893,1505,,false;",
