workerid,proliferate.condition,exposure6Resp,error
394,Condition.56_M_L_A_Sh_01_B_1_1,"exposure6,0,0,Critical_Ash.Crucial.M.L_As.Peninsula.F.R.wav,88,non-word,1677457196825,1677457198573,1748,,false;exposure6,1,4,Filler_W.Gullible.F.L_N.Pourilar.M.R.wav,88,non-word,1677457199582,1677457201086,1504,,false;exposure6,2,3,Filler_N.Ploupelai.M.L_W.Eighty.F.R.wav,88,non-word,1677457202103,1677457203829,1726,,false;exposure6,3,7,Filler_W.Pilgrim.F.L_N.Emhoutic.M.R.wav,88,non-word,1677457204839,1677457206605,1766,,false;exposure6,4,6,Filler_N.Ganla.M.L_W.Parakeet.F.R.wav,88,non-word,1677457207616,1677457209805,2189,,false;exposure6,5,2,Filler_N.Rakil.F.L_W.Dynamite.M.R.wav,77,word,1677457210819,1677457212408,1589,,false;exposure6,6,1,Critical_S.Reconcile.M.L_Sh.Parachute.F.R.wav,77,word,1677457213423,1677457215180,1757,,false;exposure6,7,5,Filler_N.Gairelom.F.L_W.Ornament.M.R.wav,77,word,1677457216187,1677457217640,1453,,false;",
391,Condition.62_M_L_A_Sh_05_B_0_1,"exposure6,0,2,Filler_N.Wominid.F.L_W.America.M.R.wav,88,word,1677435618945,1677435620814,1869,,false;exposure6,1,6,Filler_N.Itempider.M.L_W.Lobbying.F.R.wav,77,non-word,1677435621827,1677435623392,1565,,false;exposure6,2,7,Filler_W.Marina.F.L_N.Kloumidiger.M.R.wav,77,non-word,1677435624395,1677435626402,2007,,false;exposure6,3,3,Filler_N.Wojalto.M.L_W.Bakery.F.R.wav,77,non-word,1677435627422,1677435629218,1796,,false;exposure6,4,1,Critical_S.Pregnancy.M.L_Sh.Initial.F.R.wav,88,word,1677435630236,1677435632028,1792,,false;exposure6,5,0,Critical_Ash.Ambition.M.L_As.Parasite.F.R.wav,88,word,1677435633040,1677435635708,2668,,false;exposure6,6,5,Filler_N.Kelabidel.F.L_W.Lengthen.M.R.wav,88,word,1677435636717,1677435638497,1780,,false;exposure6,7,4,Filler_W.Ballerina.F.L_N.Youmgel.M.R.wav,77,non-word,1677435639518,1677435641035,1517,,false;",
