workerid,proliferate.condition,exposure1Resp,error
394,Condition.56_M_L_A_Sh_01_B_1_1,"exposure1,0,7,Filler_W.Wrinkle.F.L_N.Aigi.M.R.wav,77,word,1677457082936,1677457086098,3162,,false;exposure1,1,3,Filler_N.Kermimer.M.L_W.Lethal.F.R.wav,88,non-word,1677457087115,1677457088840,1725,,false;exposure1,2,0,Critical_Ash.Vacation.M.L_As.Rehearsal.F.R.wav,77,word,1677457089853,1677457092230,2377,,false;exposure1,3,4,Filler_W.Liability.F.L_N.Imdalier.M.R.wav,88,non-word,1677457093246,1677457095187,1941,,false;exposure1,4,1,Critical_S.Coliseum.M.L_Sh.Impatient.F.R.wav,77,word,1677457096201,1677457097934,1733,,false;exposure1,5,6,Filler_N.Admunker.M.L_W.Worldly.F.R.wav,88,non-word,1677457098942,1677457100573,1631,,false;exposure1,6,5,Filler_N.Acomining.F.L_W.Wealthy.M.R.wav,77,word,1677457101582,1677457103064,1482,,false;exposure1,7,2,Filler_N.Lenediaw.F.L_W.Keyboard.M.R.wav,77,word,1677457104082,1677457105775,1693,,false;",
391,Condition.62_M_L_A_Sh_05_B_0_1,"exposure1,0,3,Filler_N.Omperoge.M.L_W.Grammatical.F.R.wav,77,non-word,1677435501910,1677435504359,2449,,false;exposure1,1,7,Filler_W.Predict.F.L_N.Dilkuaund.M.R.wav,77,non-word,1677435505372,1677435507005,1633,,false;exposure1,2,2,Filler_N.Perkum.F.L_W.Gardenia.M.R.wav,77,non-word,1677435508013,1677435509690,1677,,false;exposure1,3,0,Critical_Ash.Pediatrician.M.L_As.Hallucinate.F.R.wav,88,word,1677435510707,1677435512384,1677,,false;exposure1,4,5,Filler_N.Bikanian.F.L_W.Pineapple.M.R.wav,88,word,1677435513394,1677435515668,2274,,false;exposure1,5,1,Critical_S.Personal.M.L_Sh.Efficient.F.R.wav,88,word,1677435516684,1677435518719,2035,,false;exposure1,6,6,Filler_N.Dadigal.M.L_W.Platonic.F.R.wav,77,non-word,1677435519733,1677435521964,2231,,false;exposure1,7,4,Filler_W.Honeymoon.F.L_N.Almikquary.M.R.wav,77,non-word,1677435522980,1677435524877,1897,,false;",
