workerid,proliferate.condition,userDateTimeAtSubmit,error
439,Condition.35_M_L_A_S_01_A_1_0,2023-03-06T19:36:01.078Z,
433,Condition.2_F_L_A_S_01_A_0_1,2023-03-06T18:20:44.297Z,
