workerid,proliferate.condition,exposure4Resp,error
439,Condition.35_M_L_A_S_01_A_1_0,"exposure4,0,2,Filler_N.Tilegkalo.F.L_W.Camera.M.R.wav,77,word,1678130919693,1678130921948,2255,,false;exposure4,1,1,Critical_Sh.Negotiate.M.L_S.Embassy.F.R.wav,77,word,1678130922964,1678130924599,1635,,false;exposure4,2,5,Filler_N.Hintarber.F.L_W.Melancholy.M.R.wav,77,word,1678130925607,1678130927016,1409,,false;exposure4,3,4,Filler_W.Domineering.F.L_N.Tamical.M.R.wav,88,non-word,1678130928026,1678130929558,1532,,false;exposure4,4,3,Filler_N.Ryligal.M.L_W.Continually.F.R.wav,88,non-word,1678130930567,1678130932382,1815,,false;exposure4,5,6,Filler_N.Ibirak.M.L_W.Negate.F.R.wav,88,non-word,1678130933387,1678130934917,1530,,false;exposure4,6,0,Critical_As.Medicine.M.L_Ash.Brochure.F.R.wav,77,word,1678130935930,1678130937507,1577,,false;exposure4,7,7,Filler_W.Nightmare.F.L_N.Gerbualo.M.R.wav,88,non-word,1678130938517,1678130940118,1601,,false;",
433,Condition.2_F_L_A_S_01_A_0_1,"exposure4,0,7,Filler_W.Nightmare.M.L_N.Gerbualo.F.R.wav,88,word,1678126475718,1678126477276,1558,,false;exposure4,1,2,Filler_N.Tilegkalo.M.L_W.Camera.F.R.wav,88,word,1678126478283,1678126480703,2420,,false;exposure4,2,1,Critical_Sh.Negotiate.F.L_S.Embassy.M.R.wav,88,word,1678126481716,1678126484282,2566,,false;exposure4,3,0,Critical_As.Medicine.F.L_Ash.Brochure.M.R.wav,88,word,1678126485296,1678126486882,1586,,false;exposure4,4,3,Filler_N.Ryligal.F.L_W.Continually.M.R.wav,77,non-word,1678126487895,1678126489607,1712,,false;exposure4,5,6,Filler_N.Ibirak.F.L_W.Negate.M.R.wav,77,non-word,1678126490613,1678126493291,2678,,false;exposure4,6,4,Filler_W.Domineering.M.L_N.Tamical.F.R.wav,77,non-word,1678126494312,1678126495950,1638,,false;exposure4,7,5,Filler_N.Hintarber.M.L_W.Melancholy.F.R.wav,88,word,1678126496971,1678126498667,1696,,false;",
