workerid,proliferate.condition,userDateTimeAtInitialization,error
410,Condition.34_M_L_A_S_01_A_0_1,2023-02-28T22:20:16.650Z,
394,Condition.56_M_L_A_Sh_01_B_1_1,2023-02-27T00:14:36.488Z,
391,Condition.62_M_L_A_Sh_05_B_0_1,2023-02-26T18:15:34.769Z,
411,Condition.28_F_L_A_Sh_05_A_1_1,2023-02-28T22:20:17.130Z,
