workerid,proliferate.condition,exposure4Resp,error
410,Condition.34_M_L_A_S_01_A_0_1,"exposure4,0,5,Filler_N.Hintarber.F.L_W.Melancholy.M.R.wav,88,word,1677623072170,1677623073754,1584,,false;exposure4,1,6,Filler_N.Ibirak.M.L_W.Negate.F.R.wav,77,non-word,1677623074759,1677623076212,1453,,false;exposure4,2,4,Filler_W.Domineering.F.L_N.Tamical.M.R.wav,77,non-word,1677623077230,1677623078871,1641,,false;exposure4,3,7,Filler_W.Nightmare.F.L_N.Gerbualo.M.R.wav,77,non-word,1677623079883,1677623081404,1521,,false;exposure4,4,0,Critical_As.Medicine.M.L_Ash.Brochure.F.R.wav,88,word,1677623082416,1677623083970,1554,,false;exposure4,5,3,Filler_N.Ryligal.M.L_W.Continually.F.R.wav,77,non-word,1677623084990,1677623087305,2315,,false;exposure4,6,2,Filler_N.Tilegkalo.F.L_W.Camera.M.R.wav,88,word,1677623088325,1677623090214,1889,,false;exposure4,7,1,Critical_Sh.Negotiate.M.L_S.Embassy.F.R.wav,88,word,1677623091234,1677623092906,1672,,false;",
394,Condition.56_M_L_A_Sh_01_B_1_1,"exposure4,0,3,Filler_N.Ryligal.M.L_W.Continually.F.R.wav,88,non-word,1677457151118,1677457152777,1659,,false;exposure4,1,5,Filler_N.Hintarber.F.L_W.Melancholy.M.R.wav,77,word,1677457153796,1677457156318,2522,,false;exposure4,2,1,Critical_S.Embassy.M.L_Sh.Negotiate.F.R.wav,77,word,1677457157326,1677457159357,2031,,false;exposure4,3,6,Filler_N.Ibirak.M.L_W.Negate.F.R.wav,88,non-word,1677457160373,1677457162154,1781,,false;exposure4,4,4,Filler_W.Domineering.F.L_N.Tamical.M.R.wav,88,non-word,1677457163163,1677457164885,1722,,false;exposure4,5,2,Filler_N.Tilegkalo.F.L_W.Camera.M.R.wav,77,word,1677457165891,1677457168369,2478,,false;exposure4,6,7,Filler_W.Nightmare.F.L_N.Gerbualo.M.R.wav,88,non-word,1677457169387,1677457171100,1713,,false;exposure4,7,0,Critical_Ash.Brochure.M.L_As.Medicine.F.R.wav,88,non-word,1677457172110,1677457173766,1656,,false;",
391,Condition.62_M_L_A_Sh_05_B_0_1,"exposure4,0,5,Filler_N.Ailounam.F.L_W.Tutorial.M.R.wav,88,word,1677435575734,1677435577401,1667,,false;exposure4,1,2,Filler_N.Logelai.F.L_W.Inhabit.M.R.wav,88,word,1677435578418,1677435580219,1801,,false;exposure4,2,1,Critical_S.Literacy.M.L_Sh.Refreshing.F.R.wav,88,word,1677435581234,1677435582817,1583,,false;exposure4,3,3,Filler_N.Meidnow.M.L_W.Knowingly.F.R.wav,77,non-word,1677435583830,1677435585522,1692,,false;exposure4,4,7,Filler_W.Undermine.F.L_N.Alnadiro.M.R.wav,77,non-word,1677435586547,1677435588208,1661,,false;exposure4,5,0,Critical_Ash.Graduation.M.L_As.Dinosaur.F.R.wav,88,word,1677435589213,1677435590865,1652,,false;exposure4,6,4,Filler_W.Laminate.F.L_N.Kaldemia.M.R.wav,77,non-word,1677435591879,1677435593415,1536,,false;exposure4,7,6,Filler_N.Lilgrai.M.L_W.Umbrella.F.R.wav,77,non-word,1677435594424,1677435596056,1632,,false;",
411,Condition.28_F_L_A_Sh_05_A_1_1,"exposure4,0,7,Filler_W.Undermine.M.L_N.Alnadiro.F.R.wav,88,non-word,1677623072741,1677623074522,1781,,false;exposure4,1,0,Critical_Ash.Graduation.F.L_As.Dinosaur.M.R.wav,77,word,1677623075540,1677623077468,1928,,false;exposure4,2,2,Filler_N.Logelai.M.L_W.Inhabit.F.R.wav,77,word,1677623078473,1677623080199,1726,,false;exposure4,3,5,Filler_N.Ailounam.M.L_W.Tutorial.F.R.wav,77,word,1677623081217,1677623082904,1687,,false;exposure4,4,1,Critical_S.Literacy.F.L_Sh.Refreshing.M.R.wav,77,word,1677623083922,1677623085940,2018,,false;exposure4,5,6,Filler_N.Lilgrai.F.L_W.Umbrella.M.R.wav,88,non-word,1677623086950,1677623088705,1755,,false;exposure4,6,3,Filler_N.Meidnow.F.L_W.Knowingly.M.R.wav,88,non-word,1677623089719,1677623091440,1721,,false;exposure4,7,4,Filler_W.Laminate.M.L_N.Kaldemia.F.R.wav,88,non-word,1677623092444,1677623094354,1910,,false;",
