Phase,Item.Type,Block,Item.Number,Version,Attended.Talker,Attended.Talker_Materials,Attended.Talker_Sound,Attended.Talker_Gender,Attended.Talker_Ear,Unattended.Talker,Unattended.Talker_Materials,Unattended.Talker_Sound,Unattended.Talker_Gender,Unattended.Talker_Ear,Correct.Response,reps,feedback,filename
Exposure,Critical,1,1,Shifted,Ambition,Materials A,Sh,Female,Right,Parasite,Materials A,S,Male,Left,word,1,FALSE,Critical_As.Parasite.M.L_Ash.Ambition.F.R.wav
Exposure,Critical,1,2,Shifted,Machinery,Materials A,Sh,Female,Right,Obscene,Materials A,S,Male,Left,word,1,FALSE,Critical_As.Obscene.M.L_Ash.Machinery.F.R.wav
Exposure,Critical,1,3,Shifted,Brochure,Materials A,Sh,Female,Right,Medicine,Materials A,S,Male,Left,word,1,FALSE,Critical_As.Medicine.M.L_Ash.Brochure.F.R.wav
Exposure,Critical,1,4,Shifted,Official,Materials A,Sh,Female,Right,Tennessee,Materials A,S,Male,Left,word,1,FALSE,Critical_As.Tennessee.M.L_Ash.Official.F.R.wav
Exposure,Critical,1,5,Shifted,Crucial,Materials A,Sh,Female,Right,Peninsula,Materials A,S,Male,Left,word,1,FALSE,Critical_As.Peninsula.M.L_Ash.Crucial.F.R.wav
Exposure,Critical,1,6,Shifted,Pediatrician,Materials A,Sh,Female,Right,Hallucinate,Materials A,S,Male,Left,word,1,FALSE,Critical_As.Hallucinate.M.L_Ash.Pediatrician.F.R.wav
Exposure,Critical,1,7,Shifted,Flourishing,Materials A,Sh,Female,Right,Arkansas,Materials A,S,Male,Left,word,1,FALSE,Critical_As.Arkansas.M.L_Ash.Flourishing.F.R.wav
Exposure,Critical,1,8,Shifted,Reassure,Materials A,Sh,Female,Right,Compensate,Materials A,S,Male,Left,word,1,FALSE,Critical_As.Compensate.M.L_Ash.Reassure.F.R.wav
Exposure,Critical,1,9,Shifted,Graduation,Materials A,Sh,Female,Right,Dinosaur,Materials A,S,Male,Left,word,1,FALSE,Critical_As.Dinosaur.M.L_Ash.Graduation.F.R.wav
Exposure,Critical,1,10,Shifted,Vacation,Materials A,Sh,Female,Right,Rehearsal,Materials A,S,Male,Left,word,1,FALSE,Critical_As.Rehearsal.M.L_Ash.Vacation.F.R.wav
Exposure,Critical,1,11,Unshifted,Pregnancy,Materials B,S,Female,Right,Initial,Materials B,Sh,Male,Left,word,1,FALSE,Critical_Sh.Initial.M.L_S.Pregnancy.F.R.wav
Exposure,Critical,1,12,Unshifted,Democracy,Materials B,S,Female,Right,Beneficial,Materials B,Sh,Male,Left,word,1,FALSE,Critical_Sh.Beneficial.M.L_S.Democracy.F.R.wav
Exposure,Critical,1,13,Unshifted,Embassy,Materials B,S,Female,Right,Negotiate,Materials B,Sh,Male,Left,word,1,FALSE,Critical_Sh.Negotiate.M.L_S.Embassy.F.R.wav
Exposure,Critical,1,14,Unshifted,Legacy,Materials B,S,Female,Right,Commercial,Materials B,Sh,Male,Left,word,1,FALSE,Critical_Sh.Commercial.M.L_S.Legacy.F.R.wav
Exposure,Critical,1,15,Unshifted,Reconcile,Materials B,S,Female,Right,Parachute,Materials B,Sh,Male,Left,word,1,FALSE,Critical_Sh.Parachute.M.L_S.Reconcile.F.R.wav
Exposure,Critical,1,16,Unshifted,Personal,Materials B,S,Female,Right,Efficient,Materials B,Sh,Male,Left,word,1,FALSE,Critical_Sh.Efficient.M.L_S.Personal.F.R.wav
Exposure,Critical,1,17,Unshifted,Eraser,Materials B,S,Female,Right,Publisher,Materials B,Sh,Male,Left,word,1,FALSE,Critical_Sh.Publisher.M.L_S.Eraser.F.R.wav
Exposure,Critical,1,18,Unshifted,Episode,Materials B,S,Female,Right,Glacier,Materials B,Sh,Male,Left,word,1,FALSE,Critical_Sh.Glacier.M.L_S.Episode.F.R.wav
Exposure,Critical,1,19,Unshifted,Literacy,Materials B,S,Female,Right,Refreshing,Materials B,Sh,Male,Left,word,1,FALSE,Critical_Sh.Refreshing.M.L_S.Literacy.F.R.wav
Exposure,Critical,1,20,Unshifted,Coliseum,Materials B,S,Female,Right,Impatient,Materials B,Sh,Male,Left,word,1,FALSE,Critical_Sh.Impatient.M.L_S.Coliseum.F.R.wav
