Phase,Item.Type,Block,Item.Number,Version,Attended.Talker,Attended.Talker_Materials,Attended.Talker_Sound,Attended.Talker_Gender,Attended.Talker_Ear,Unattended.Talker,Unattended.Talker_Materials,Unattended.Talker_Sound,Unattended.Talker_Gender,Unattended.Talker_Ear,reps,feedback,filename
Exposure,Critical,1,1,Shifted,Parasite,Materials A,S,Male,Left,Ambition,Materials A,Sh,Female,Right,1,FALSE,Critical_As.Parasite.M.L_Ash.Ambition.F.R.wav
Exposure,Critical,1,2,Shifted,Obscene,Materials A,S,Male,Left,Machinery,Materials A,Sh,Female,Right,1,FALSE,Critical_As.Obscene.M.L_Ash.Machinery.F.R.wav
Exposure,Critical,1,3,Shifted,Medicine,Materials A,S,Male,Left,Brochure,Materials A,Sh,Female,Right,1,FALSE,Critical_As.Medicine.M.L_Ash.Brochure.F.R.wav
Exposure,Critical,1,4,Shifted,Tennessee,Materials A,S,Male,Left,Official,Materials A,Sh,Female,Right,1,FALSE,Critical_As.Tennessee.M.L_Ash.Official.F.R.wav
Exposure,Critical,1,5,Shifted,Peninsula,Materials A,S,Male,Left,Crucial,Materials A,Sh,Female,Right,1,FALSE,Critical_As.Peninsula.M.L_Ash.Crucial.F.R.wav
Exposure,Critical,1,6,Shifted,Hallucinate,Materials A,S,Male,Left,Pediatrician,Materials A,Sh,Female,Right,1,FALSE,Critical_As.Hallucinate.M.L_Ash.Pediatrician.F.R.wav
Exposure,Critical,1,7,Shifted,Arkansas,Materials A,S,Male,Left,Flourishing,Materials A,Sh,Female,Right,1,FALSE,Critical_As.Arkansas.M.L_Ash.Flourishing.F.R.wav
Exposure,Critical,1,8,Shifted,Compensate,Materials A,S,Male,Left,Reassure,Materials A,Sh,Female,Right,1,FALSE,Critical_As.Compensate.M.L_Ash.Reassure.F.R.wav
Exposure,Critical,1,9,Shifted,Dinosaur,Materials A,S,Male,Left,Graduation,Materials A,Sh,Female,Right,1,FALSE,Critical_As.Dinosaur.M.L_Ash.Graduation.F.R.wav
Exposure,Critical,1,10,Shifted,Rehearsal,Materials A,S,Male,Left,Vacation,Materials A,Sh,Female,Right,1,FALSE,Critical_As.Rehearsal.M.L_Ash.Vacation.F.R.wav
Exposure,Critical,1,11,Unshifted,Initial,Materials B,Sh,Male,Left,Pregnancy,Materials B,S,Female,Right,1,FALSE,Critical_Sh.Initial.M.L_S.Pregnancy.F.R.wav
Exposure,Critical,1,12,Unshifted,Beneficial,Materials B,Sh,Male,Left,Democracy,Materials B,S,Female,Right,1,FALSE,Critical_Sh.Beneficial.M.L_S.Democracy.F.R.wav
Exposure,Critical,1,13,Unshifted,Negotiate,Materials B,Sh,Male,Left,Embassy,Materials B,S,Female,Right,1,FALSE,Critical_Sh.Negotiate.M.L_S.Embassy.F.R.wav
Exposure,Critical,1,14,Unshifted,Commercial,Materials B,Sh,Male,Left,Legacy,Materials B,S,Female,Right,1,FALSE,Critical_Sh.Commercial.M.L_S.Legacy.F.R.wav
Exposure,Critical,1,15,Unshifted,Parachute,Materials B,Sh,Male,Left,Reconcile,Materials B,S,Female,Right,1,FALSE,Critical_Sh.Parachute.M.L_S.Reconcile.F.R.wav
Exposure,Critical,1,16,Unshifted,Efficient,Materials B,Sh,Male,Left,Personal,Materials B,S,Female,Right,1,FALSE,Critical_Sh.Efficient.M.L_S.Personal.F.R.wav
Exposure,Critical,1,17,Unshifted,Publisher,Materials B,Sh,Male,Left,Eraser,Materials B,S,Female,Right,1,FALSE,Critical_Sh.Publisher.M.L_S.Eraser.F.R.wav
Exposure,Critical,1,18,Unshifted,Glacier,Materials B,Sh,Male,Left,Episode,Materials B,S,Female,Right,1,FALSE,Critical_Sh.Glacier.M.L_S.Episode.F.R.wav
Exposure,Critical,1,19,Unshifted,Refreshing,Materials B,Sh,Male,Left,Literacy,Materials B,S,Female,Right,1,FALSE,Critical_Sh.Refreshing.M.L_S.Literacy.F.R.wav
Exposure,Critical,1,20,Unshifted,Impatient,Materials B,Sh,Male,Left,Coliseum,Materials B,S,Female,Right,1,FALSE,Critical_Sh.Impatient.M.L_S.Coliseum.F.R.wav
