Phase,Item.Type,Block,Item.Number,Version,Attended.Talker,Attended.Talker_Materials,Attended.Talker_Sound,Attended.Talker_Gender,Attended.Talker_Ear,Unattended.Talker,Unattended.Talker_Materials,Unattended.Talker_Sound,Unattended.Talker_Gender,Unattended.Talker_Ear,Correct.Response,reps,feedback,filename
Exposure,Critical,1,1,Shifted,Parasite,Materials A,S,Female,Right,Ambition,Materials A,Sh,Male,Left,Word,1,FALSE,Critical_Ash.Ambition.M.L_As.Parasite.F.R.wav
Exposure,Critical,1,2,Shifted,Obscene,Materials A,S,Female,Right,Machinery,Materials A,Sh,Male,Left,Word,1,FALSE,Critical_Ash.Machinery.M.L_As.Obscene.F.R.wav
Exposure,Critical,1,3,Shifted,Medicine,Materials A,S,Female,Right,Brochure,Materials A,Sh,Male,Left,Word,1,FALSE,Critical_Ash.Brochure.M.L_As.Medicine.F.R.wav
Exposure,Critical,1,4,Shifted,Tennessee,Materials A,S,Female,Right,Official,Materials A,Sh,Male,Left,Word,1,FALSE,Critical_Ash.Official.M.L_As.Tennessee.F.R.wav
Exposure,Critical,1,5,Shifted,Peninsula,Materials A,S,Female,Right,Crucial,Materials A,Sh,Male,Left,Word,1,FALSE,Critical_Ash.Crucial.M.L_As.Peninsula.F.R.wav
Exposure,Critical,1,6,Shifted,Hallucinate,Materials A,S,Female,Right,Pediatrician,Materials A,Sh,Male,Left,Word,1,FALSE,Critical_Ash.Pediatrician.M.L_As.Hallucinate.F.R.wav
Exposure,Critical,1,7,Shifted,Arkansas,Materials A,S,Female,Right,Flourishing,Materials A,Sh,Male,Left,Word,1,FALSE,Critical_Ash.Flourishing.M.L_As.Arkansas.F.R.wav
Exposure,Critical,1,8,Shifted,Compensate,Materials A,S,Female,Right,Reassure,Materials A,Sh,Male,Left,Word,1,FALSE,Critical_Ash.Reassure.M.L_As.Compensate.F.R.wav
Exposure,Critical,1,9,Shifted,Dinosaur,Materials A,S,Female,Right,Graduation,Materials A,Sh,Male,Left,Word,1,FALSE,Critical_Ash.Graduation.M.L_As.Dinosaur.F.R.wav
Exposure,Critical,1,10,Shifted,Rehearsal,Materials A,S,Female,Right,Vacation,Materials A,Sh,Male,Left,Word,1,FALSE,Critical_Ash.Vacation.M.L_As.Rehearsal.F.R.wav
Exposure,Critical,1,11,Unshifted,Initial,Materials B,Sh,Female,Right,Pregnancy,Materials B,S,Male,Left,Word,1,FALSE,Critical_S.Pregnancy.M.L_Sh.Initial.F.R.wav
Exposure,Critical,1,12,Unshifted,Beneficial,Materials B,Sh,Female,Right,Democracy,Materials B,S,Male,Left,Word,1,FALSE,Critical_S.Democracy.M.L_Sh.Beneficial.F.R.wav
Exposure,Critical,1,13,Unshifted,Negotiate,Materials B,Sh,Female,Right,Embassy,Materials B,S,Male,Left,Word,1,FALSE,Critical_S.Embassy.M.L_Sh.Negotiate.F.R.wav
Exposure,Critical,1,14,Unshifted,Commercial,Materials B,Sh,Female,Right,Legacy,Materials B,S,Male,Left,Word,1,FALSE,Critical_S.Legacy.M.L_Sh.Commercial.F.R.wav
Exposure,Critical,1,15,Unshifted,Parachute,Materials B,Sh,Female,Right,Reconcile,Materials B,S,Male,Left,Word,1,FALSE,Critical_S.Reconcile.M.L_Sh.Parachute.F.R.wav
Exposure,Critical,1,16,Unshifted,Efficient,Materials B,Sh,Female,Right,Personal,Materials B,S,Male,Left,Word,1,FALSE,Critical_S.Personal.M.L_Sh.Efficient.F.R.wav
Exposure,Critical,1,17,Unshifted,Publisher,Materials B,Sh,Female,Right,Eraser,Materials B,S,Male,Left,Word,1,FALSE,Critical_S.Eraser.M.L_Sh.Publisher.F.R.wav
Exposure,Critical,1,18,Unshifted,Glacier,Materials B,Sh,Female,Right,Episode,Materials B,S,Male,Left,Word,1,FALSE,Critical_S.Episode.M.L_Sh.Glacier.F.R.wav
Exposure,Critical,1,19,Unshifted,Refreshing,Materials B,Sh,Female,Right,Literacy,Materials B,S,Male,Left,Word,1,FALSE,Critical_S.Literacy.M.L_Sh.Refreshing.F.R.wav
Exposure,Critical,1,20,Unshifted,Impatient,Materials B,Sh,Female,Right,Coliseum,Materials B,S,Male,Left,Word,1,FALSE,Critical_S.Coliseum.M.L_Sh.Impatient.F.R.wav
