Phase,Item.Type,Block,Item.Number,Version,Attended.Talker,Attended.Talker_Materials,Attended.Talker_Sound,Attended.Talker_Gender,Attended.Talker_Ear,Unattended.Talker,Unattended.Talker_Materials,Unattended.Talker_Sound,Unattended.Talker_Gender,Unattended.Talker_Ear,Correct.Response,reps,feedback,filename
Exposure,Critical,1,1,Shifted,Parasite,Materials A,S,Female,Left,Ambition,Materials A,Sh,Male,Right,word,1,FALSE,Critical_As.Parasite.F.L_Ash.Ambition.M.R.wav
Exposure,Critical,1,2,Shifted,Obscene,Materials A,S,Female,Left,Machinery,Materials A,Sh,Male,Right,word,1,FALSE,Critical_As.Obscene.F.L_Ash.Machinery.M.R.wav
Exposure,Critical,1,3,Shifted,Medicine,Materials A,S,Female,Left,Brochure,Materials A,Sh,Male,Right,word,1,FALSE,Critical_As.Medicine.F.L_Ash.Brochure.M.R.wav
Exposure,Critical,1,4,Shifted,Tennessee,Materials A,S,Female,Left,Official,Materials A,Sh,Male,Right,word,1,FALSE,Critical_As.Tennessee.F.L_Ash.Official.M.R.wav
Exposure,Critical,1,5,Shifted,Peninsula,Materials A,S,Female,Left,Crucial,Materials A,Sh,Male,Right,word,1,FALSE,Critical_As.Peninsula.F.L_Ash.Crucial.M.R.wav
Exposure,Critical,1,6,Shifted,Hallucinate,Materials A,S,Female,Left,Pediatrician,Materials A,Sh,Male,Right,word,1,FALSE,Critical_As.Hallucinate.F.L_Ash.Pediatrician.M.R.wav
Exposure,Critical,1,7,Shifted,Arkansas,Materials A,S,Female,Left,Flourishing,Materials A,Sh,Male,Right,word,1,FALSE,Critical_As.Arkansas.F.L_Ash.Flourishing.M.R.wav
Exposure,Critical,1,8,Shifted,Compensate,Materials A,S,Female,Left,Reassure,Materials A,Sh,Male,Right,word,1,FALSE,Critical_As.Compensate.F.L_Ash.Reassure.M.R.wav
Exposure,Critical,1,9,Shifted,Dinosaur,Materials A,S,Female,Left,Graduation,Materials A,Sh,Male,Right,word,1,FALSE,Critical_As.Dinosaur.F.L_Ash.Graduation.M.R.wav
Exposure,Critical,1,10,Shifted,Rehearsal,Materials A,S,Female,Left,Vacation,Materials A,Sh,Male,Right,word,1,FALSE,Critical_As.Rehearsal.F.L_Ash.Vacation.M.R.wav
Exposure,Critical,1,11,Unshifted,Initial,Materials B,Sh,Female,Left,Pregnancy,Materials B,S,Male,Right,word,1,FALSE,Critical_Sh.Initial.F.L_S.Pregnancy.M.R.wav
Exposure,Critical,1,12,Unshifted,Beneficial,Materials B,Sh,Female,Left,Democracy,Materials B,S,Male,Right,word,1,FALSE,Critical_Sh.Beneficial.F.L_S.Democracy.M.R.wav
Exposure,Critical,1,13,Unshifted,Negotiate,Materials B,Sh,Female,Left,Embassy,Materials B,S,Male,Right,word,1,FALSE,Critical_Sh.Negotiate.F.L_S.Embassy.M.R.wav
Exposure,Critical,1,14,Unshifted,Commercial,Materials B,Sh,Female,Left,Legacy,Materials B,S,Male,Right,word,1,FALSE,Critical_Sh.Commercial.F.L_S.Legacy.M.R.wav
Exposure,Critical,1,15,Unshifted,Parachute,Materials B,Sh,Female,Left,Reconcile,Materials B,S,Male,Right,word,1,FALSE,Critical_Sh.Parachute.F.L_S.Reconcile.M.R.wav
Exposure,Critical,1,16,Unshifted,Efficient,Materials B,Sh,Female,Left,Personal,Materials B,S,Male,Right,word,1,FALSE,Critical_Sh.Efficient.F.L_S.Personal.M.R.wav
Exposure,Critical,1,17,Unshifted,Publisher,Materials B,Sh,Female,Left,Eraser,Materials B,S,Male,Right,word,1,FALSE,Critical_Sh.Publisher.F.L_S.Eraser.M.R.wav
Exposure,Critical,1,18,Unshifted,Glacier,Materials B,Sh,Female,Left,Episode,Materials B,S,Male,Right,word,1,FALSE,Critical_Sh.Glacier.F.L_S.Episode.M.R.wav
Exposure,Critical,1,19,Unshifted,Refreshing,Materials B,Sh,Female,Left,Literacy,Materials B,S,Male,Right,word,1,FALSE,Critical_Sh.Refreshing.F.L_S.Literacy.M.R.wav
Exposure,Critical,1,20,Unshifted,Impatient,Materials B,Sh,Female,Left,Coliseum,Materials B,S,Male,Right,word,1,FALSE,Critical_Sh.Impatient.F.L_S.Coliseum.M.R.wav
