Phase,Item.Type,Block,Item.Number,Version,Attended.Talker,Attended.Talker_Materials,Attended.Talker_Sound,Attended.Talker_Gender,Attended.Talker_Ear,Unattended.Talker,Unattended.Talker_Materials,Unattended.Talker_Sound,Unattended.Talker_Gender,Unattended.Talker_Ear,Correct.Response,reps,feedback,filename
Exposure,Critical,1,1,Unshifted,Parasite,Materials A,S,Male,Left,Ambition,Materials A,Sh,Female,Right,Word,1,FALSE,Critical_S.Parasite.M.L_Sh.Ambition.F.R.wav
Exposure,Critical,1,2,Unshifted,Obscene,Materials A,S,Male,Left,Machinery,Materials A,Sh,Female,Right,Word,1,FALSE,Critical_S.Obscene.M.L_Sh.Machinery.F.R.wav
Exposure,Critical,1,3,Unshifted,Medicine,Materials A,S,Male,Left,Brochure,Materials A,Sh,Female,Right,Word,1,FALSE,Critical_S.Medicine.M.L_Sh.Brochure.F.R.wav
Exposure,Critical,1,4,Unshifted,Tennessee,Materials A,S,Male,Left,Official,Materials A,Sh,Female,Right,Word,1,FALSE,Critical_S.Tennessee.M.L_Sh.Official.F.R.wav
Exposure,Critical,1,5,Unshifted,Peninsula,Materials A,S,Male,Left,Crucial,Materials A,Sh,Female,Right,Word,1,FALSE,Critical_S.Peninsula.M.L_Sh.Crucial.F.R.wav
Exposure,Critical,1,6,Unshifted,Hallucinate,Materials A,S,Male,Left,Pediatrician,Materials A,Sh,Female,Right,Word,1,FALSE,Critical_S.Hallucinate.M.L_Sh.Pediatrician.F.R.wav
Exposure,Critical,1,7,Unshifted,Arkansas,Materials A,S,Male,Left,Flourishing,Materials A,Sh,Female,Right,Word,1,FALSE,Critical_S.Arkansas.M.L_Sh.Flourishing.F.R.wav
Exposure,Critical,1,8,Unshifted,Compensate,Materials A,S,Male,Left,Reassure,Materials A,Sh,Female,Right,Word,1,FALSE,Critical_S.Compensate.M.L_Sh.Reassure.F.R.wav
Exposure,Critical,1,9,Unshifted,Dinosaur,Materials A,S,Male,Left,Graduation,Materials A,Sh,Female,Right,Word,1,FALSE,Critical_S.Dinosaur.M.L_Sh.Graduation.F.R.wav
Exposure,Critical,1,10,Unshifted,Rehearsal,Materials A,S,Male,Left,Vacation,Materials A,Sh,Female,Right,Word,1,FALSE,Critical_S.Rehearsal.M.L_Sh.Vacation.F.R.wav
Exposure,Critical,1,11,Shifted,Initial,Materials B,Sh,Male,Left,Pregnancy,Materials B,S,Female,Right,Word,1,FALSE,Critical_Ash.Initial.M.L_As.Pregnancy.F.R.wav
Exposure,Critical,1,12,Shifted,Beneficial,Materials B,Sh,Male,Left,Democracy,Materials B,S,Female,Right,Word,1,FALSE,Critical_Ash.Beneficial.M.L_As.Democracy.F.R.wav
Exposure,Critical,1,13,Shifted,Negotiate,Materials B,Sh,Male,Left,Embassy,Materials B,S,Female,Right,Word,1,FALSE,Critical_Ash.Negotiate.M.L_As.Embassy.F.R.wav
Exposure,Critical,1,14,Shifted,Commercial,Materials B,Sh,Male,Left,Legacy,Materials B,S,Female,Right,Word,1,FALSE,Critical_Ash.Commercial.M.L_As.Legacy.F.R.wav
Exposure,Critical,1,15,Shifted,Parachute,Materials B,Sh,Male,Left,Reconcile,Materials B,S,Female,Right,Word,1,FALSE,Critical_Ash.Parachute.M.L_As.Reconcile.F.R.wav
Exposure,Critical,1,16,Shifted,Efficient,Materials B,Sh,Male,Left,Personal,Materials B,S,Female,Right,Word,1,FALSE,Critical_Ash.Efficient.M.L_As.Personal.F.R.wav
Exposure,Critical,1,17,Shifted,Publisher,Materials B,Sh,Male,Left,Eraser,Materials B,S,Female,Right,Word,1,FALSE,Critical_Ash.Publisher.M.L_As.Eraser.F.R.wav
Exposure,Critical,1,18,Shifted,Glacier,Materials B,Sh,Male,Left,Episode,Materials B,S,Female,Right,Word,1,FALSE,Critical_Ash.Glacier.M.L_As.Episode.F.R.wav
Exposure,Critical,1,19,Shifted,Refreshing,Materials B,Sh,Male,Left,Literacy,Materials B,S,Female,Right,Word,1,FALSE,Critical_Ash.Refreshing.M.L_As.Literacy.F.R.wav
Exposure,Critical,1,20,Shifted,Impatient,Materials B,Sh,Male,Left,Coliseum,Materials B,S,Female,Right,Word,1,FALSE,Critical_Ash.Impatient.M.L_As.Coliseum.F.R.wav
