Phase,Item.Type,Block,Item.Number,Version,Attended.Talker,Attended.Talker_Materials,Attended.Talker_Sound,Attended.Talker_Gender,Attended.Talker_Ear,Unattended.Talker,Unattended.Talker_Materials,Unattended.Talker_Sound,Unattended.Talker_Gender,Unattended.Talker_Ear,reps,feedback,filename
Exposure,Critical,1,1,Unshifted,Ambition,Materials A,Sh,Male,Right,Parasite,Materials A,S,Female,Left,1,FALSE,Critical_S.Parasite.F.L_Sh.Ambition.M.R.wav
Exposure,Critical,1,2,Unshifted,Machinery,Materials A,Sh,Male,Right,Obscene,Materials A,S,Female,Left,1,FALSE,Critical_S.Obscene.F.L_Sh.Machinery.M.R.wav
Exposure,Critical,1,3,Unshifted,Brochure,Materials A,Sh,Male,Right,Medicine,Materials A,S,Female,Left,1,FALSE,Critical_S.Medicine.F.L_Sh.Brochure.M.R.wav
Exposure,Critical,1,4,Unshifted,Official,Materials A,Sh,Male,Right,Tennessee,Materials A,S,Female,Left,1,FALSE,Critical_S.Tennessee.F.L_Sh.Official.M.R.wav
Exposure,Critical,1,5,Unshifted,Crucial,Materials A,Sh,Male,Right,Peninsula,Materials A,S,Female,Left,1,FALSE,Critical_S.Peninsula.F.L_Sh.Crucial.M.R.wav
Exposure,Critical,1,6,Unshifted,Pediatrician,Materials A,Sh,Male,Right,Hallucinate,Materials A,S,Female,Left,1,FALSE,Critical_S.Hallucinate.F.L_Sh.Pediatrician.M.R.wav
Exposure,Critical,1,7,Unshifted,Flourishing,Materials A,Sh,Male,Right,Arkansas,Materials A,S,Female,Left,1,FALSE,Critical_S.Arkansas.F.L_Sh.Flourishing.M.R.wav
Exposure,Critical,1,8,Unshifted,Reassure,Materials A,Sh,Male,Right,Compensate,Materials A,S,Female,Left,1,FALSE,Critical_S.Compensate.F.L_Sh.Reassure.M.R.wav
Exposure,Critical,1,9,Unshifted,Graduation,Materials A,Sh,Male,Right,Dinosaur,Materials A,S,Female,Left,1,FALSE,Critical_S.Dinosaur.F.L_Sh.Graduation.M.R.wav
Exposure,Critical,1,10,Unshifted,Vacation,Materials A,Sh,Male,Right,Rehersal,Materials A,S,Female,Left,1,FALSE,Critical_S.Rehersal.F.L_Sh.Vacation.M.R.wav
Exposure,Critical,1,11,Shifted,Pregnancy,Materials B,S,Male,Right,Initial,Materials B,Sh,Female,Left,1,FALSE,Critical_Ash.Initial.F.L_As.Pregnancy.M.R.wav
Exposure,Critical,1,12,Shifted,Democracy,Materials B,S,Male,Right,Beneficial,Materials B,Sh,Female,Left,1,FALSE,Critical_Ash.Beneficial.F.L_As.Democracy.M.R.wav
Exposure,Critical,1,13,Shifted,Embassy,Materials B,S,Male,Right,Negotiate,Materials B,Sh,Female,Left,1,FALSE,Critical_Ash.Negotiate.F.L_As.Embassy.M.R.wav
Exposure,Critical,1,14,Shifted,Legacy,Materials B,S,Male,Right,Commercial,Materials B,Sh,Female,Left,1,FALSE,Critical_Ash.Commercial.F.L_As.Legacy.M.R.wav
Exposure,Critical,1,15,Shifted,Reconcile,Materials B,S,Male,Right,Parachute,Materials B,Sh,Female,Left,1,FALSE,Critical_Ash.Parachute.F.L_As.Reconcile.M.R.wav
Exposure,Critical,1,16,Shifted,Personal,Materials B,S,Male,Right,Efficient,Materials B,Sh,Female,Left,1,FALSE,Critical_Ash.Efficient.F.L_As.Personal.M.R.wav
Exposure,Critical,1,17,Shifted,Eraser,Materials B,S,Male,Right,Publisher,Materials B,Sh,Female,Left,1,FALSE,Critical_Ash.Publisher.F.L_As.Eraser.M.R.wav
Exposure,Critical,1,18,Shifted,Episode,Materials B,S,Male,Right,Glacier,Materials B,Sh,Female,Left,1,FALSE,Critical_Ash.Glacier.F.L_As.Episode.M.R.wav
Exposure,Critical,1,19,Shifted,Literacy,Materials B,S,Male,Right,Refreshing,Materials B,Sh,Female,Left,1,FALSE,Critical_Ash.Refreshing.F.L_As.Literacy.M.R.wav
Exposure,Critical,1,20,Shifted,Coliseum,Materials B,S,Male,Right,Impatient,Materials B,Sh,Female,Left,1,FALSE,Critical_Ash.Impatient.F.L_As.Coliseum.M.R.wav
