workerid,proliferate.condition,userDateTimeAtInitialization,error
379,Condition.5_F_L_A_S_01_B_0_0,2023-02-22T18:17:12.839Z,
372,Condition.11_F_L_A_S_05_A_1_0,2023-02-19T21:02:55.789Z,
387,Condition.47_M_L_A_S_05_B_1_0,2023-02-23T15:10:15.668Z,
382,Condition.45_M_L_A_S_05_B_0_0,2023-02-23T08:15:22.519Z,
