workerid,proliferate.condition,exposure4Resp,error
379,Condition.5_F_L_A_S_01_B_0_0,"exposure4,0,0,Critical_As.Medicine.F.L_Ash.Brochure.M.R.wav,77,non-word,1677090194304,1677090196016,1712,,false;exposure4,1,1,Critical_Sh.Negotiate.F.L_S.Embassy.M.R.wav,88,word,1677090197028,1677090198944,1916,,false;exposure4,2,6,Filler_N.Ibirak.F.L_W.Negate.M.R.wav,77,non-word,1677090199959,1677090201666,1707,,false;exposure4,3,2,Filler_N.Tilegkalo.M.L_W.Camera.F.R.wav,77,non-word,1677090202679,1677090204315,1636,,false;exposure4,4,5,Filler_N.Hintarber.M.L_W.Melancholy.F.R.wav,88,word,1677090205328,1677090206776,1448,,false;exposure4,5,7,Filler_W.Nightmare.M.L_N.Gerbualo.F.R.wav,77,non-word,1677090207789,1677090209311,1522,,false;exposure4,6,4,Filler_W.Domineering.M.L_N.Tamical.F.R.wav,77,non-word,1677090210315,1677090211674,1359,,false;exposure4,7,3,Filler_N.Ryligal.F.L_W.Continually.M.R.wav,77,non-word,1677090212684,1677090214047,1363,,false;",
372,Condition.11_F_L_A_S_05_A_1_0,"exposure4,0,2,Filler_N.Logelai.M.L_W.Inhabit.F.R.wav,77,word,1676840852729,1676840854525,1796,,false;exposure4,1,4,Filler_W.Laminate.M.L_N.Kaldemia.F.R.wav,88,non-word,1676840855542,1676840857355,1813,,false;exposure4,2,0,Critical_As.Dinosaur.F.L_Ash.Graduation.M.R.wav,77,word,1676840858377,1676840860040,1663,,false;exposure4,3,3,Filler_N.Meidnow.F.L_W.Knowingly.M.R.wav,88,non-word,1676840861057,1676840862699,1642,,false;exposure4,4,6,Filler_N.Lilgrai.F.L_W.Umbrella.M.R.wav,88,non-word,1676840863709,1676840865235,1526,,false;exposure4,5,5,Filler_N.Ailounam.M.L_W.Tutorial.F.R.wav,77,word,1676840866250,1676840870515,4265,,false;exposure4,6,1,Critical_Sh.Refreshing.F.L_S.Literacy.M.R.wav,77,word,1676840871537,1676840873168,1631,,false;exposure4,7,7,Filler_W.Undermine.M.L_N.Alnadiro.F.R.wav,88,non-word,1676840874187,1676840877614,3427,,false;",
387,Condition.47_M_L_A_S_05_B_1_0,"exposure4,0,1,Critical_Sh.Refreshing.M.L_S.Literacy.F.R.wav,77,word,1677165216821,1677165218911,2090,,false;exposure4,1,3,Filler_N.Meidnow.M.L_W.Knowingly.F.R.wav,88,non-word,1677165219923,1677165221791,1868,,false;exposure4,2,5,Filler_N.Ailounam.F.L_W.Tutorial.M.R.wav,77,word,1677165222796,1677165224501,1705,,false;exposure4,3,0,Critical_As.Dinosaur.M.L_Ash.Graduation.F.R.wav,77,word,1677165225508,1677165227054,1546,,false;exposure4,4,7,Filler_W.Undermine.F.L_N.Alnadiro.M.R.wav,88,non-word,1677165228061,1677165229645,1584,,false;exposure4,5,4,Filler_W.Laminate.F.L_N.Kaldemia.M.R.wav,88,non-word,1677165230653,1677165233682,3029,,false;exposure4,6,6,Filler_N.Lilgrai.M.L_W.Umbrella.F.R.wav,88,non-word,1677165234693,1677165236486,1793,,false;exposure4,7,2,Filler_N.Logelai.F.L_W.Inhabit.M.R.wav,77,word,1677165237492,1677165240210,2718,,false;",
382,Condition.45_M_L_A_S_05_B_0_0,"exposure4,0,1,Critical_Sh.Refreshing.M.L_S.Literacy.F.R.wav,88,word,1677140425227,1677140426883,1656,,false;exposure4,1,6,Filler_N.Lilgrai.M.L_W.Umbrella.F.R.wav,77,non-word,1677140427893,1677140429673,1780,,false;exposure4,2,4,Filler_W.Laminate.F.L_N.Kaldemia.M.R.wav,77,non-word,1677140430682,1677140432523,1841,,false;exposure4,3,5,Filler_N.Ailounam.F.L_W.Tutorial.M.R.wav,88,word,1677140433529,1677140435163,1634,,false;exposure4,4,7,Filler_W.Undermine.F.L_N.Alnadiro.M.R.wav,77,non-word,1677140436172,1677140438013,1841,,false;exposure4,5,2,Filler_N.Logelai.F.L_W.Inhabit.M.R.wav,88,word,1677140439018,1677140441043,2025,,false;exposure4,6,0,Critical_As.Dinosaur.M.L_Ash.Graduation.F.R.wav,88,word,1677140442049,1677140443653,1604,,false;exposure4,7,3,Filler_N.Meidnow.M.L_W.Knowingly.F.R.wav,77,non-word,1677140444656,1677140446893,2237,,false;",
