workerid,proliferate.condition,exposure1Resp,error
408,Condition.23_F_L_A_Sh_01_B_1_0,"exposure1,0,3,Filler_N.Kermimer.F.L_W.Lethal.M.R.wav,88,non-word,1677793579169,1677793582436,3267,,false;exposure1,1,0,Critical_Ash.Vacation.F.L_As.Rehearsal.M.R.wav,77,word,1677793583442,1677793585504,2062,,false;exposure1,2,2,Filler_N.Lenediaw.M.L_W.Keyboard.F.R.wav,77,word,1677793586515,1677793588455,1940,,false;exposure1,3,6,Filler_N.Admunker.F.L_W.Worldly.M.R.wav,88,non-word,1677793589459,1677793592357,2898,,false;exposure1,4,7,Filler_W.Wrinkle.M.L_N.Aigi.F.R.wav,77,word,1677793593361,1677793596295,2934,,false;exposure1,5,1,Critical_S.Coliseum.F.L_Sh.Impatient.M.R.wav,77,word,1677793597299,1677793599580,2281,,false;exposure1,6,5,Filler_N.Acomining.M.L_W.Wealthy.F.R.wav,77,word,1677793600587,1677793602691,2104,,false;exposure1,7,4,Filler_W.Liability.M.L_N.Imdalier.F.R.wav,88,non-word,1677793603698,1677793608067,4369,,false;",
420,Condition.12_F_L_A_S_05_A_1_1,"exposure1,0,3,Filler_N.Omperoge.F.L_W.Grammatical.M.R.wav,88,non-word,1677794355196,1677794358084,2888,,false;exposure1,1,1,Critical_Sh.Efficient.F.L_S.Personal.M.R.wav,77,word,1677794359104,1677794360857,1753,,false;exposure1,2,5,Filler_N.Bikanian.M.L_W.Pineapple.F.R.wav,77,word,1677794361868,1677794363559,1691,,false;exposure1,3,2,Filler_N.Perkum.M.L_W.Gardenia.F.R.wav,77,word,1677794364563,1677794365847,1284,,false;exposure1,4,7,Filler_W.Predict.M.L_N.Dilkuaund.F.R.wav,88,non-word,1677794366863,1677794368685,1822,,false;exposure1,5,0,Critical_As.Hallucinate.F.L_Ash.Pediatrician.M.R.wav,77,word,1677794369704,1677794371593,1889,,false;exposure1,6,4,Filler_W.Honeymoon.M.L_N.Almikquary.F.R.wav,88,non-word,1677794372603,1677794374584,1981,,false;exposure1,7,6,Filler_N.Dadigal.F.L_W.Platonic.M.R.wav,88,non-word,1677794375593,1677794377427,1834,,false;",
405,Condition.41_M_L_A_S_05_A_0_0,"exposure1,0,1,Critical_Sh.Efficient.M.L_S.Personal.F.R.wav,88,word,1677792914883,1677792917736,2853,,false;exposure1,1,2,Filler_N.Perkum.F.L_W.Gardenia.M.R.wav,88,word,1677792918753,1677792921636,2883,,false;exposure1,2,4,Filler_W.Honeymoon.F.L_N.Almikquary.M.R.wav,77,non-word,1677792922646,1677792924587,1941,,false;exposure1,3,0,Critical_As.Hallucinate.M.L_Ash.Pediatrician.F.R.wav,88,word,1677792925591,1677792927981,2390,,false;exposure1,4,6,Filler_N.Dadigal.M.L_W.Platonic.F.R.wav,77,non-word,1677792928992,1677792931038,2046,,false;exposure1,5,5,Filler_N.Bikanian.F.L_W.Pineapple.M.R.wav,88,word,1677792932043,1677792934511,2468,,false;exposure1,6,3,Filler_N.Omperoge.M.L_W.Grammatical.F.R.wav,77,non-word,1677792935521,1677792938040,2519,,false;exposure1,7,7,Filler_W.Predict.F.L_N.Dilkuaund.M.R.wav,77,non-word,1677792939054,1677792941668,2614,,false;",
430,Condition.43_M_L_A_S_05_A_1_0,"exposure1,0,2,Filler_N.Perkum.F.L_W.Gardenia.M.R.wav,77,word,1677795678086,1677795680588,2502,,false;exposure1,1,5,Filler_N.Bikanian.F.L_W.Pineapple.M.R.wav,77,word,1677795681597,1677795683290,1693,,false;exposure1,2,7,Filler_W.Predict.F.L_N.Dilkuaund.M.R.wav,88,non-word,1677795684300,1677795686005,1705,,false;exposure1,3,0,Critical_As.Hallucinate.M.L_Ash.Pediatrician.F.R.wav,88,non-word,1677795687013,1677795689857,2844,,false;exposure1,4,3,Filler_N.Omperoge.M.L_W.Grammatical.F.R.wav,88,non-word,1677795690861,1677795693225,2364,,false;exposure1,5,1,Critical_Sh.Efficient.M.L_S.Personal.F.R.wav,77,word,1677795694229,1677795696059,1830,,false;exposure1,6,6,Filler_N.Dadigal.M.L_W.Platonic.F.R.wav,88,non-word,1677795697069,1677795699225,2156,,false;exposure1,7,4,Filler_W.Honeymoon.F.L_N.Almikquary.M.R.wav,88,non-word,1677795700231,1677795702628,2397,,false;",
419,Condition.24_F_L_A_Sh_01_B_1_1,"exposure1,0,7,Filler_W.Wrinkle.M.L_N.Aigi.F.R.wav,77,word,1677794365657,1677794368642,2985,,false;exposure1,1,3,Filler_N.Kermimer.F.L_W.Lethal.M.R.wav,88,non-word,1677794369657,1677794372456,2799,,false;exposure1,2,0,Critical_Ash.Vacation.F.L_As.Rehearsal.M.R.wav,77,word,1677794373467,1677794375732,2265,,false;exposure1,3,4,Filler_W.Liability.M.L_N.Imdalier.F.R.wav,77,word,1677794376747,1677794379688,2941,,false;exposure1,4,1,Critical_S.Coliseum.F.L_Sh.Impatient.M.R.wav,77,word,1677794380696,1677794383335,2639,,false;exposure1,5,6,Filler_N.Admunker.F.L_W.Worldly.M.R.wav,88,non-word,1677794384346,1677794386858,2512,,false;exposure1,6,2,Filler_N.Lenediaw.M.L_W.Keyboard.F.R.wav,77,word,1677794387876,1677794390424,2548,,false;exposure1,7,5,Filler_N.Acomining.M.L_W.Wealthy.F.R.wav,77,word,1677794391431,1677794393631,2200,,false;",
421,Condition.44_M_L_A_S_05_A_1_1,"exposure1,0,4,Filler_W.Honeymoon.F.L_N.Almikquary.M.R.wav,88,non-word,1677794575421,1677794578663,3242,,false;exposure1,1,3,Filler_N.Omperoge.M.L_W.Grammatical.F.R.wav,77,word,1677794579665,1677794583527,3862,,false;exposure1,2,0,Critical_As.Hallucinate.M.L_Ash.Pediatrician.F.R.wav,77,word,1677794584530,1677794587712,3182,,false;exposure1,3,2,Filler_N.Perkum.F.L_W.Gardenia.M.R.wav,88,non-word,1677794588715,1677794590421,1706,,false;exposure1,4,6,Filler_N.Dadigal.M.L_W.Platonic.F.R.wav,77,word,1677794591423,1677794595154,3731,,false;exposure1,5,5,Filler_N.Bikanian.F.L_W.Pineapple.M.R.wav,77,word,1677794596156,1677794598297,2141,,false;exposure1,6,7,Filler_W.Predict.F.L_N.Dilkuaund.M.R.wav,88,non-word,1677794599300,1677794600981,1681,,false;exposure1,7,1,Critical_Sh.Efficient.M.L_S.Personal.F.R.wav,77,word,1677794601984,1677794603765,1781,,false;",
431,Condition.32_F_L_A_Sh_05_B_1_1,"exposure1,0,1,Critical_S.Personal.F.L_Sh.Efficient.M.R.wav,77,word,1677795634849,1677795638524,3675,,false;exposure1,1,3,Filler_N.Omperoge.F.L_W.Grammatical.M.R.wav,88,non-word,1677795639536,1677795643371,3835,,false;exposure1,2,0,Critical_Ash.Pediatrician.F.L_As.Hallucinate.M.R.wav,77,word,1677795644387,1677795647239,2852,,false;exposure1,3,5,Filler_N.Bikanian.M.L_W.Pineapple.F.R.wav,77,word,1677795648241,1677795650631,2390,,false;exposure1,4,2,Filler_N.Perkum.M.L_W.Gardenia.F.R.wav,77,word,1677795651647,1677795653638,1991,,false;exposure1,5,6,Filler_N.Dadigal.F.L_W.Platonic.M.R.wav,88,non-word,1677795654644,1677795656560,1916,,false;exposure1,6,7,Filler_W.Predict.M.L_N.Dilkuaund.F.R.wav,88,non-word,1677795657566,1677795659630,2064,,false;exposure1,7,4,Filler_W.Honeymoon.M.L_N.Almikquary.F.R.wav,88,non-word,1677795660636,1677795663179,2543,,false;",
423,Condition.30_F_L_A_Sh_05_B_0_1,"exposure1,0,3,Filler_N.Omperoge.F.L_W.Grammatical.M.R.wav,77,non-word,1677794735195,1677794737877,2682,,false;exposure1,1,1,Critical_S.Personal.F.L_Sh.Efficient.M.R.wav,88,word,1677794738880,1677794740532,1652,,false;exposure1,2,6,Filler_N.Dadigal.F.L_W.Platonic.M.R.wav,77,non-word,1677794741548,1677794743920,2372,,false;exposure1,3,2,Filler_N.Perkum.M.L_W.Gardenia.F.R.wav,88,word,1677794744923,1677794746524,1601,,false;exposure1,4,0,Critical_Ash.Pediatrician.F.L_As.Hallucinate.M.R.wav,88,word,1677794747525,1677794749105,1580,,false;exposure1,5,4,Filler_W.Honeymoon.M.L_N.Almikquary.F.R.wav,77,non-word,1677794750119,1677794751938,1819,,false;exposure1,6,7,Filler_W.Predict.M.L_N.Dilkuaund.F.R.wav,77,non-word,1677794752939,1677794754641,1702,,false;exposure1,7,5,Filler_N.Bikanian.M.L_W.Pineapple.F.R.wav,88,word,1677794755654,1677794757222,1568,,false;",
415,Condition.5_F_L_A_S_01_B_0_0,"exposure1,0,0,Critical_As.Rehearsal.F.L_Ash.Vacation.M.R.wav,88,word,1677794358098,1677794360701,2603,,false;exposure1,1,3,Filler_N.Kermimer.F.L_W.Lethal.M.R.wav,77,non-word,1677794361704,1677794363154,1450,,false;exposure1,2,4,Filler_W.Liability.M.L_N.Imdalier.F.R.wav,77,non-word,1677794364173,1677794366668,2495,,false;exposure1,3,5,Filler_N.Acomining.M.L_W.Wealthy.F.R.wav,88,word,1677794367672,1677794369293,1621,,false;exposure1,4,7,Filler_W.Wrinkle.M.L_N.Aigi.F.R.wav,77,non-word,1677794370311,1677794371747,1436,,false;exposure1,5,2,Filler_N.Lenediaw.M.L_W.Keyboard.F.R.wav,88,word,1677794372753,1677794374277,1524,,false;exposure1,6,6,Filler_N.Admunker.F.L_W.Worldly.M.R.wav,77,non-word,1677794375287,1677794377500,2213,,false;exposure1,7,1,Critical_Sh.Impatient.F.L_S.Coliseum.M.R.wav,88,word,1677794378514,1677794380209,1695,,false;",
414,Condition.48_M_L_A_S_05_B_1_1,"exposure1,0,4,Filler_W.Honeymoon.F.L_N.Almikquary.M.R.wav,88,non-word,1677794350448,1677794355387,4939,,false;exposure1,1,3,Filler_N.Omperoge.M.L_W.Grammatical.F.R.wav,88,non-word,1677794356400,1677794360469,4069,,false;exposure1,2,5,Filler_N.Bikanian.F.L_W.Pineapple.M.R.wav,77,word,1677794361477,1677794363651,2174,,false;exposure1,3,2,Filler_N.Perkum.F.L_W.Gardenia.M.R.wav,77,word,1677794364666,1677794366939,2273,,false;exposure1,4,6,Filler_N.Dadigal.M.L_W.Platonic.F.R.wav,88,non-word,1677794367951,1677794371096,3145,,false;exposure1,5,1,Critical_Sh.Efficient.M.L_S.Personal.F.R.wav,77,word,1677794372100,1677794375043,2943,,false;exposure1,6,7,Filler_W.Predict.F.L_N.Dilkuaund.M.R.wav,88,non-word,1677794376053,1677794379046,2993,,false;exposure1,7,0,Critical_As.Hallucinate.M.L_Ash.Pediatrician.F.R.wav,77,word,1677794380052,1677794383066,3014,,false;",
