...1,Phase,Item.Type,Item.Number,Version,Attended.Talker,Attended.Talker_Materials,Attended.Talker_Sound,Attended.Talker_Gender,Attended.Talker_Ear,Unattended.Talker,Unattended.Talker_Materials,Unattended.Talker_Sound,Unattended.Talker_Gender,Unattended.Talker_Ear,Correct.Response,reps,feedback,filename,Block
8,Exposure,Critical,8,Shifted,Compensate,Materials A,S,Male,Right,Reassure,Materials A,Sh,Female,Left,Word,1,FALSE,Critical_Ash.Reassure.F.L_As.Compensate.M.R.wav,3
18,Exposure,Critical,18,Unshifted,Glacier,Materials B,Sh,Male,Right,Episode,Materials B,S,Female,Left,Word,1,FALSE,Critical_S.Episode.F.L_Sh.Glacier.M.R.wav,3
42,Exposure,Filler,8,1,Hurdle,Set A,Word,Male,Left,Namuary,Set A,Nonword,Female,Right,Word,1,FALSE,Filler_W.Hurdle.M.L_N.Namuary.F.R.wav,3
43,Exposure,Filler,8,2,Mibgem,Set B,Nonword,Male,Right,Interior,Set B,Word,Female,Left,Nonword,1,FALSE,Filler_W.Interior.F.L_N.Mibgem.M.R.wav,3
44,Exposure,Filler,8,3,Makid,Set C,Nonword,Male,Left,Ironic,Set C,Word,Female,Right,Nonword,1,FALSE,Filler_N.Makid.M.L_W.Ironic.F.R.wav,3
72,Exposure,Filler,18,1,Therapeutic,Set A,Word,Male,Left,Amalar,Set A,Nonword,Female,Right,Word,1,FALSE,Filler_W.Therapeutic.M.L_N.Amalar.F.R.wav,3
73,Exposure,Filler,18,2,Anemer,Set B,Nonword,Male,Right,Titanium,Set B,Word,Female,Left,Nonword,1,FALSE,Filler_W.Titanium.F.L_N.Anemer.M.R.wav,3
74,Exposure,Filler,18,3,Anolipa,Set C,Nonword,Male,Left,Turbulent,Set C,Word,Female,Right,Nonword,1,FALSE,Filler_N.Anolipa.M.L_W.Turbulent.F.R.wav,3
