...1,Phase,Item.Type,Item.Number,Version,Attended.Talker,Attended.Talker_Materials,Attended.Talker_Sound,Attended.Talker_Gender,Attended.Talker_Ear,Unattended.Talker,Unattended.Talker_Materials,Unattended.Talker_Sound,Unattended.Talker_Gender,Unattended.Talker_Ear,Correct.Response,reps,feedback,filename,Block
9,Exposure,Critical,9,Shifted,Dinosaur,Materials A,S,Male,Right,Graduation,Materials A,Sh,Female,Left,Word,1,FALSE,Critical_Ash.Graduation.F.L_As.Dinosaur.M.R.wav,6
19,Exposure,Critical,19,Unshifted,Refreshing,Materials B,Sh,Male,Right,Literacy,Materials B,S,Female,Left,Word,1,FALSE,Critical_S.Literacy.F.L_Sh.Refreshing.M.R.wav,6
45,Exposure,Filler,9,1,Inhabit,Set A,Word,Male,Left,Logelai,Set A,Nonword,Female,Right,Word,1,FALSE,Filler_W.Inhabit.M.L_N.Logelai.F.R.wav,6
46,Exposure,Filler,9,2,Meidnow,Set B,Nonword,Male,Right,Knowingly,Set B,Word,Female,Left,Nonword,1,FALSE,Filler_W.Knowingly.F.L_N.Meidnow.M.R.wav,6
47,Exposure,Filler,9,3,Kaldemia,Set C,Nonword,Male,Left,Laminate,Set C,Word,Female,Right,Nonword,1,FALSE,Filler_N.Kaldemia.M.L_W.Laminate.F.R.wav,6
75,Exposure,Filler,19,1,Tutorial,Set A,Word,Male,Left,Ailounam,Set A,Nonword,Female,Right,Word,1,FALSE,Filler_W.Tutorial.M.L_N.Ailounam.F.R.wav,6
76,Exposure,Filler,19,2,Lilgrai,Set B,Nonword,Male,Right,Umbrella,Set B,Word,Female,Left,Nonword,1,FALSE,Filler_W.Umbrella.F.L_N.Lilgrai.M.R.wav,6
77,Exposure,Filler,19,3,Alnadiro,Set C,Nonword,Male,Left,Undermine,Set C,Word,Female,Right,Nonword,1,FALSE,Filler_N.Alnadiro.M.L_W.Undermine.F.R.wav,6
