...1,Phase,Item.Type,Item.Number,Version,Attended.Talker,Attended.Talker_Materials,Attended.Talker_Sound,Attended.Talker_Gender,Attended.Talker_Ear,Unattended.Talker,Unattended.Talker_Materials,Unattended.Talker_Sound,Unattended.Talker_Gender,Unattended.Talker_Ear,reps,feedback,filename,Block
4,Exposure,Critical,4,Unshifted,Official,Materials A,Sh,Female,Left,Tennessee,Materials A,S,Male,Right,1,FALSE,Critical_Sh.Official.F.L_S.Tennessee.M.R.wav,7
14,Exposure,Critical,14,Shifted,Legacy,Materials B,S,Female,Left,Commercial,Materials B,Sh,Male,Right,1,FALSE,Critical_As.Legacy.F.L_Ash.Commercial.M.R.wav,7
30,Exposure,Filler,4,3,Directory,Set A,Word,Female,Right,Rimkeluwar,Set A,Nonword,Male,Left,1,FALSE,Filler_N.Rimkeluwar.M.L_W.Directory.F.R.wav,7
31,Exposure,Filler,4,4,Rawamtee,Set B,Nonword,Female,Left,Document,Set B,Word,Male,Right,1,FALSE,Filler_N.Rawamtee.F.L_W.Document.M.R.wav,7
32,Exposure,Filler,4,1,Rengime,Set C,Nonword,Female,Right,Embody,Set C,Word,Male,Left,1,FALSE,Filler_W.Embody.M.L_N.Rengime.F.R.wav,7
60,Exposure,Filler,14,3,Napkin,Set A,Word,Female,Right,Gardimuallay,Set A,Nonword,Male,Left,1,FALSE,Filler_N.Gardimuallay.M.L_W.Napkin.F.R.wav,7
61,Exposure,Filler,14,4,Halken,Set B,Nonword,Female,Left,Outnumber,Set B,Word,Male,Right,1,FALSE,Filler_N.Halken.F.L_W.Outnumber.M.R.wav,7
62,Exposure,Filler,14,1,Galliwinou,Set C,Nonword,Female,Right,Panicking,Set C,Word,Male,Left,1,FALSE,Filler_W.Panicking.M.L_N.Galliwinou.F.R.wav,7
