...1,Phase,Item.Type,Item.Number,Version,Attended.Talker,Attended.Talker_Materials,Attended.Talker_Sound,Attended.Talker_Gender,Attended.Talker_Ear,Unattended.Talker,Unattended.Talker_Materials,Unattended.Talker_Sound,Unattended.Talker_Gender,Unattended.Talker_Ear,Correct.Response,reps,feedback,filename,Block
6,Exposure,Critical,6,Unshifted,Hallucinate,Materials A,S,Female,Right,Pediatrician,Materials A,Sh,Male,Left,word,1,FALSE,Critical_Sh.Pediatrician.M.L_S.Hallucinate.F.R.wav,2
16,Exposure,Critical,16,Shifted,Efficient,Materials B,Sh,Female,Right,Personal,Materials B,S,Male,Left,word,1,FALSE,Critical_As.Personal.M.L_Ash.Efficient.F.R.wav,2
36,Exposure,Filler,6,2,Gardenia,Set A,word,Female,Left,Perkum,Set A,non-word,Male,Right,word,1,FALSE,Filler_W.Gardenia.F.L_N.Perkum.M.R.wav,2
37,Exposure,Filler,6,1,Omperoge,Set B,non-word,Female,Right,Grammatical,Set B,word,Male,Left,non-word,1,FALSE,Filler_W.Grammatical.M.L_N.Omperoge.F.R.wav,2
38,Exposure,Filler,6,4,Almikquary,Set C,non-word,Female,Left,Honeymoon,Set C,word,Male,Right,non-word,1,FALSE,Filler_N.Almikquary.F.L_W.Honeymoon.M.R.wav,2
66,Exposure,Filler,16,2,Pineapple,Set A,word,Female,Left,Bikanian,Set A,non-word,Male,Right,word,1,FALSE,Filler_W.Pineapple.F.L_N.Bikanian.M.R.wav,2
67,Exposure,Filler,16,1,Dadigal,Set B,non-word,Female,Right,Platonic,Set B,word,Male,Left,non-word,1,FALSE,Filler_W.Platonic.M.L_N.Dadigal.F.R.wav,2
68,Exposure,Filler,16,4,Dilkuaund,Set C,non-word,Female,Left,Predict,Set C,word,Male,Right,non-word,1,FALSE,Filler_N.Dilkuaund.F.L_W.Predict.M.R.wav,2
