...1,Phase,Item.Type,Item.Number,Version,Attended.Talker,Attended.Talker_Materials,Attended.Talker_Sound,Attended.Talker_Gender,Attended.Talker_Ear,Unattended.Talker,Unattended.Talker_Materials,Unattended.Talker_Sound,Unattended.Talker_Gender,Unattended.Talker_Ear,reps,feedback,filename,Block
2,Exposure,Critical,2,Unshifted,Machinery,Materials A,Sh,Male,Right,Obscene,Materials A,S,Female,Left,1,FALSE,Critical_S.Obscene.F.L_Sh.Machinery.M.R.wav,5
12,Exposure,Critical,12,Shifted,Democracy,Materials B,S,Male,Right,Beneficial,Materials B,Sh,Female,Left,1,FALSE,Critical_Ash.Beneficial.F.L_As.Democracy.M.R.wav,5
24,Exposure,Filler,2,1,Blueberry,Set A,Word,Male,Left,Ungelnin,Set A,Nonword,Female,Right,1,FALSE,Filler_W.Blueberry.M.L_N.Ungelnin.F.R.wav,5
25,Exposure,Filler,2,2,Tounamplem,Set B,Nonword,Male,Right,Bullying,Set B,Word,Female,Left,1,FALSE,Filler_W.Bullying.F.L_N.Tounamplem.M.R.wav,5
26,Exposure,Filler,2,3,Tymolape,Set C,Nonword,Male,Left,Burglary,Set C,Word,Female,Right,1,FALSE,Filler_N.Tymolape.M.L_W.Burglary.F.R.wav,5
54,Exposure,Filler,12,1,Lingering,Set A,Word,Male,Left,Inpaki,Set A,Nonword,Female,Right,1,FALSE,Filler_W.Lingering.M.L_N.Inpaki.F.R.wav,5
55,Exposure,Filler,12,2,Aknid,Set B,Nonword,Male,Right,Membrane,Set B,Word,Female,Left,1,FALSE,Filler_W.Membrane.F.L_N.Aknid.M.R.wav,5
56,Exposure,Filler,12,3,Halomimoc,Set C,Nonword,Male,Left,Metrical,Set C,Word,Female,Right,1,FALSE,Filler_N.Halomimoc.M.L_W.Metrical.F.R.wav,5
