...1,Phase,Item.Type,Item.Number,Version,Attended.Talker,Attended.Talker_Materials,Attended.Talker_Sound,Attended.Talker_Gender,Attended.Talker_Ear,Unattended.Talker,Unattended.Talker_Materials,Unattended.Talker_Sound,Unattended.Talker_Gender,Unattended.Talker_Ear,Correct.Response,reps,feedback,filename,Block
2,Exposure,Critical,2,Shifted,Machinery,Materials A,Sh,Female,Left,Obscene,Materials A,S,Male,Right,Word,1,FALSE,Critical_Ash.Machinery.F.L_As.Obscene.M.R.wav,7
12,Exposure,Critical,12,Unshifted,Democracy,Materials B,S,Female,Left,Beneficial,Materials B,Sh,Male,Right,Word,1,FALSE,Critical_S.Democracy.F.L_Sh.Beneficial.M.R.wav,7
24,Exposure,Filler,2,3,Blueberry,Set A,Word,Female,Right,Ungelnin,Set A,Nonword,Male,Left,Word,1,FALSE,Filler_N.Ungelnin.M.L_W.Blueberry.F.R.wav,7
25,Exposure,Filler,2,4,Tounamplem,Set B,Nonword,Female,Left,Bullying,Set B,Word,Male,Right,Nonword,1,FALSE,Filler_N.Tounamplem.F.L_W.Bullying.M.R.wav,7
26,Exposure,Filler,2,1,Tymolape,Set C,Nonword,Female,Right,Burglary,Set C,Word,Male,Left,Nonword,1,FALSE,Filler_W.Burglary.M.L_N.Tymolape.F.R.wav,7
54,Exposure,Filler,12,3,Lingering,Set A,Word,Female,Right,Inpaki,Set A,Nonword,Male,Left,Word,1,FALSE,Filler_N.Inpaki.M.L_W.Lingering.F.R.wav,7
55,Exposure,Filler,12,4,Aknid,Set B,Nonword,Female,Left,Membrane,Set B,Word,Male,Right,Nonword,1,FALSE,Filler_N.Aknid.F.L_W.Membrane.M.R.wav,7
56,Exposure,Filler,12,1,Halomimoc,Set C,Nonword,Female,Right,Metrical,Set C,Word,Male,Left,Nonword,1,FALSE,Filler_W.Metrical.M.L_N.Halomimoc.F.R.wav,7
