Phase,Item.Type,Block,Item.Number,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Version,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,reps,feedback,filename
Exposure,Critical,1,1,Ambition,Materials A,Sh,Parasite,Materials B,S,Unshifted,Female,Right,Male,Left,1,FALSE,Critical_S.Parasite.M.L_Sh.Ambition.F.R.wav
Exposure,Critical,1,2,Machinery,Materials A,Sh,Obscene,Materials B,S,Unshifted,Female,Right,Male,Left,1,FALSE,Critical_S.Obscene.M.L_Sh.Machinery.F.R.wav
Exposure,Critical,1,3,Brochure,Materials A,Sh,Medicine,Materials B,S,Unshifted,Female,Right,Male,Left,1,FALSE,Critical_S.Medicine.M.L_Sh.Brochure.F.R.wav
Exposure,Critical,1,4,Official,Materials A,Sh,Tennessee,Materials B,S,Unshifted,Female,Right,Male,Left,1,FALSE,Critical_S.Tennessee.M.L_Sh.Official.F.R.wav
Exposure,Critical,1,5,Crucial,Materials A,Sh,Peninsula,Materials B,S,Unshifted,Female,Right,Male,Left,1,FALSE,Critical_S.Peninsula.M.L_Sh.Crucial.F.R.wav
Exposure,Critical,1,6,Pediatrician,Materials A,Sh,Hallucinate,Materials B,S,Unshifted,Female,Right,Male,Left,1,FALSE,Critical_S.Hallucinate.M.L_Sh.Pediatrician.F.R.wav
Exposure,Critical,1,7,Flourishing,Materials A,Sh,Arkansas,Materials B,S,Unshifted,Female,Right,Male,Left,1,FALSE,Critical_S.Arkansas.M.L_Sh.Flourishing.F.R.wav
Exposure,Critical,1,8,Reassure,Materials A,Sh,Compensate,Materials B,S,Unshifted,Female,Right,Male,Left,1,FALSE,Critical_S.Compensate.M.L_Sh.Reassure.F.R.wav
Exposure,Critical,1,9,Graduation,Materials A,Sh,Dinosaur,Materials B,S,Unshifted,Female,Right,Male,Left,1,FALSE,Critical_S.Dinosaur.M.L_Sh.Graduation.F.R.wav
Exposure,Critical,1,10,Vacation,Materials A,Sh,Rehearsal,Materials B,S,Unshifted,Female,Right,Male,Left,1,FALSE,Critical_S.Rehearsal.M.L_Sh.Vacation.F.R.wav
Exposure,Critical,1,11,Pregnancy,Materials B,S,Initial,Materials A,Sh,Shifted,Female,Right,Male,Left,1,FALSE,Critical_Ash.Initial.M.L_As.Pregnancy.F.R.wav
Exposure,Critical,1,12,Democracy,Materials B,S,Beneficial,Materials A,Sh,Shifted,Female,Right,Male,Left,1,FALSE,Critical_Ash.Beneficial.M.L_As.Democracy.F.R.wav
Exposure,Critical,1,13,Embassy,Materials B,S,Negotiate,Materials A,Sh,Shifted,Female,Right,Male,Left,1,FALSE,Critical_Ash.Negotiate.M.L_As.Embassy.F.R.wav
Exposure,Critical,1,14,Legacy,Materials B,S,Commercial,Materials A,Sh,Shifted,Female,Right,Male,Left,1,FALSE,Critical_Ash.Commercial.M.L_As.Legacy.F.R.wav
Exposure,Critical,1,15,Reconcile,Materials B,S,Parachute,Materials A,Sh,Shifted,Female,Right,Male,Left,1,FALSE,Critical_Ash.Parachute.M.L_As.Reconcile.F.R.wav
Exposure,Critical,1,16,Personal,Materials B,S,Efficient,Materials A,Sh,Shifted,Female,Right,Male,Left,1,FALSE,Critical_Ash.Efficient.M.L_As.Personal.F.R.wav
Exposure,Critical,1,17,Eraser,Materials B,S,Publisher,Materials A,Sh,Shifted,Female,Right,Male,Left,1,FALSE,Critical_Ash.Publisher.M.L_As.Eraser.F.R.wav
Exposure,Critical,1,18,Episode,Materials B,S,Glacier,Materials A,Sh,Shifted,Female,Right,Male,Left,1,FALSE,Critical_Ash.Glacier.M.L_As.Episode.F.R.wav
Exposure,Critical,1,19,Literacy,Materials B,S,Refreshing,Materials A,Sh,Shifted,Female,Right,Male,Left,1,FALSE,Critical_Ash.Refreshing.M.L_As.Literacy.F.R.wav
Exposure,Critical,1,20,Coliseum,Materials B,S,Impatient,Materials A,Sh,Shifted,Female,Right,Male,Left,1,FALSE,Critical_Ash.Impatient.M.L_As.Coliseum.F.R.wav
