Phase,Item.Type,Block,Item.Number,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Version,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,reps,feedback,filename
Exposure,Critical,1,1,Ambition,Materials A,Sh,Parasite,Materials B,S,Unshifted,Male,Right,Female,Left,1,FALSE,Critical_03_A_S.Parasite.F.L_Sh.Ambition.M.R.wav
Exposure,Critical,1,2,Machinery,Materials A,Sh,Obscene,Materials B,S,Unshifted,Male,Right,Female,Left,1,FALSE,Critical_03_A_S.Obscene.F.L_Sh.Machinery.M.R.wav
Exposure,Critical,1,3,Brochure,Materials A,Sh,Medicine,Materials B,S,Unshifted,Male,Right,Female,Left,1,FALSE,Critical_03_A_S.Medicine.F.L_Sh.Brochure.M.R.wav
Exposure,Critical,1,4,Official,Materials A,Sh,Tennessee,Materials B,S,Unshifted,Male,Right,Female,Left,1,FALSE,Critical_03_A_S.Tennessee.F.L_Sh.Official.M.R.wav
Exposure,Critical,1,5,Crucial,Materials A,Sh,Penninsula,Materials B,S,Unshifted,Male,Right,Female,Left,1,FALSE,Critical_03_A_S.Penninsula.F.L_Sh.Crucial.M.R.wav
Exposure,Critical,1,6,Pediatrician,Materials A,Sh,Hallucinate,Materials B,S,Unshifted,Male,Right,Female,Left,1,FALSE,Critical_03_A_S.Hallucinate.F.L_Sh.Pediatrician.M.R.wav
Exposure,Critical,1,7,Flourishing,Materials A,Sh,Arkansas,Materials B,S,Unshifted,Male,Right,Female,Left,1,FALSE,Critical_03_A_S.Arkansas.F.L_Sh.Flourishing.M.R.wav
Exposure,Critical,1,8,Reassure,Materials A,Sh,Compensate,Materials B,S,Unshifted,Male,Right,Female,Left,1,FALSE,Critical_03_A_S.Compensate.F.L_Sh.Reassure.M.R.wav
Exposure,Critical,1,9,Graduation,Materials A,Sh,Dinosaur,Materials B,S,Unshifted,Male,Right,Female,Left,1,FALSE,Critical_03_A_S.Dinosaur.F.L_Sh.Graduation.M.R.wav
Exposure,Critical,1,10,Vacation,Materials A,Sh,Rehearsal,Materials B,S,Unshifted,Male,Right,Female,Left,1,FALSE,Critical_03_A_S.Rehearsal.F.L_Sh.Vacation.M.R.wav
Exposure,Critical,1,11,Pregnancy,Materials B,S,Initial,Materials A,Sh,Shifted,Male,Right,Female,Left,1,FALSE,Critical_03_B_Ash.Initial.F.L_As.Pregnancy.M.R.wav
Exposure,Critical,1,12,Democracy,Materials B,S,Beneficial,Materials A,Sh,Shifted,Male,Right,Female,Left,1,FALSE,Critical_03_B_Ash.Beneficial.F.L_As.Democracy.M.R.wav
Exposure,Critical,1,13,Embassy,Materials B,S,Negotiate,Materials A,Sh,Shifted,Male,Right,Female,Left,1,FALSE,Critical_03_B_Ash.Negotiate.F.L_As.Embassy.M.R.wav
Exposure,Critical,1,14,Legacy,Materials B,S,Commercial,Materials A,Sh,Shifted,Male,Right,Female,Left,1,FALSE,Critical_03_B_Ash.Commercial.F.L_As.Legacy.M.R.wav
Exposure,Critical,1,15,Reconcile,Materials B,S,Parachute,Materials A,Sh,Shifted,Male,Right,Female,Left,1,FALSE,Critical_03_B_Ash.Parachute.F.L_As.Reconcile.M.R.wav
Exposure,Critical,1,16,Personal,Materials B,S,Efficient,Materials A,Sh,Shifted,Male,Right,Female,Left,1,FALSE,Critical_03_B_Ash.Efficient.F.L_As.Personal.M.R.wav
Exposure,Critical,1,17,Eraser,Materials B,S,Publisher,Materials A,Sh,Shifted,Male,Right,Female,Left,1,FALSE,Critical_03_B_Ash.Publisher.F.L_As.Eraser.M.R.wav
Exposure,Critical,1,18,Episode,Materials B,S,Glacier,Materials A,Sh,Shifted,Male,Right,Female,Left,1,FALSE,Critical_03_B_Ash.Glacier.F.L_As.Episode.M.R.wav
Exposure,Critical,1,19,Literacy,Materials B,S,Refreshing,Materials A,Sh,Shifted,Male,Right,Female,Left,1,FALSE,Critical_03_B_Ash.Refreshing.F.L_As.Literacy.M.R.wav
Exposure,Critical,1,20,Coliseum,Materials B,S,Impatient,Materials A,Sh,Shifted,Male,Right,Female,Left,1,FALSE,Critical_03_B_Ash.Impatient.F.L_As.Coliseum.M.R.wav
