Phase,Item.Type,Block,Item.Number,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Version,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,reps,feedback,filename
Exposure,Critical,1,1,Ambition,Materials A,Sh,Parasite,Materials B,S,Shifted,Female,Right,Male,Left,1,FALSE,Critical_06_A_As.Parasite.M.L_Ash.Ambition.F.R.wav
Exposure,Critical,1,2,Machinery,Materials A,Sh,Obscene,Materials B,S,Shifted,Female,Right,Male,Left,1,FALSE,Critical_06_A_As.Obscene.M.L_Ash.Machinery.F.R.wav
Exposure,Critical,1,3,Brochure,Materials A,Sh,Medicine,Materials B,S,Shifted,Female,Right,Male,Left,1,FALSE,Critical_06_A_As.Medicine.M.L_Ash.Brochure.F.R.wav
Exposure,Critical,1,4,Official,Materials A,Sh,Tennessee,Materials B,S,Shifted,Female,Right,Male,Left,1,FALSE,Critical_06_A_As.Tennessee.M.L_Ash.Official.F.R.wav
Exposure,Critical,1,5,Crucial,Materials A,Sh,Penninsula,Materials B,S,Shifted,Female,Right,Male,Left,1,FALSE,Critical_06_A_As.Penninsula.M.L_Ash.Crucial.F.R.wav
Exposure,Critical,1,6,Pediatrician,Materials A,Sh,Hallucinate,Materials B,S,Shifted,Female,Right,Male,Left,1,FALSE,Critical_06_A_As.Hallucinate.M.L_Ash.Pediatrician.F.R.wav
Exposure,Critical,1,7,Flourishing,Materials A,Sh,Arkansas,Materials B,S,Shifted,Female,Right,Male,Left,1,FALSE,Critical_06_A_As.Arkansas.M.L_Ash.Flourishing.F.R.wav
Exposure,Critical,1,8,Reassure,Materials A,Sh,Compensate,Materials B,S,Shifted,Female,Right,Male,Left,1,FALSE,Critical_06_A_As.Compensate.M.L_Ash.Reassure.F.R.wav
Exposure,Critical,1,9,Graduation,Materials A,Sh,Dinosaur,Materials B,S,Shifted,Female,Right,Male,Left,1,FALSE,Critical_06_A_As.Dinosaur.M.L_Ash.Graduation.F.R.wav
Exposure,Critical,1,10,Vacation,Materials A,Sh,Rehearsal,Materials B,S,Shifted,Female,Right,Male,Left,1,FALSE,Critical_06_A_As.Rehearsal.M.L_Ash.Vacation.F.R.wav
Exposure,Critical,1,11,Pregnancy,Materials B,S,Initial,Materials A,Sh,Unshifted,Female,Right,Male,Left,1,FALSE,Critical_06_B_Sh.Initial.M.L_S.Pregnancy.F.R.wav
Exposure,Critical,1,12,Democracy,Materials B,S,Beneficial,Materials A,Sh,Unshifted,Female,Right,Male,Left,1,FALSE,Critical_06_B_Sh.Beneficial.M.L_S.Democracy.F.R.wav
Exposure,Critical,1,13,Embassy,Materials B,S,Negotiate,Materials A,Sh,Unshifted,Female,Right,Male,Left,1,FALSE,Critical_06_B_Sh.Negotiate.M.L_S.Embassy.F.R.wav
Exposure,Critical,1,14,Legacy,Materials B,S,Commercial,Materials A,Sh,Unshifted,Female,Right,Male,Left,1,FALSE,Critical_06_B_Sh.Commercial.M.L_S.Legacy.F.R.wav
Exposure,Critical,1,15,Reconcile,Materials B,S,Parachute,Materials A,Sh,Unshifted,Female,Right,Male,Left,1,FALSE,Critical_06_B_Sh.Parachute.M.L_S.Reconcile.F.R.wav
Exposure,Critical,1,16,Personal,Materials B,S,Efficient,Materials A,Sh,Unshifted,Female,Right,Male,Left,1,FALSE,Critical_06_B_Sh.Efficient.M.L_S.Personal.F.R.wav
Exposure,Critical,1,17,Eraser,Materials B,S,Publisher,Materials A,Sh,Unshifted,Female,Right,Male,Left,1,FALSE,Critical_06_B_Sh.Publisher.M.L_S.Eraser.F.R.wav
Exposure,Critical,1,18,Episode,Materials B,S,Glacier,Materials A,Sh,Unshifted,Female,Right,Male,Left,1,FALSE,Critical_06_B_Sh.Glacier.M.L_S.Episode.F.R.wav
Exposure,Critical,1,19,Literacy,Materials B,S,Refreshing,Materials A,Sh,Unshifted,Female,Right,Male,Left,1,FALSE,Critical_06_B_Sh.Refreshing.M.L_S.Literacy.F.R.wav
Exposure,Critical,1,20,Coliseum,Materials B,S,Impatient,Materials A,Sh,Unshifted,Female,Right,Male,Left,1,FALSE,Critical_06_B_Sh.Impatient.M.L_S.Coliseum.F.R.wav
