Phase,Item.Type,Block,Item.Number,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Version,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,rep,filename
Exposure,Critical,1,1,Ambition,Materials A,Sh,Parasite,Materials B,S,Unshifted,Female,Left,Male,Right,1,Critical_01.A_Sh.Ambition.F.L_NAS.Parasite.M.R.wav
Exposure,Critical,1,2,Machinery,Materials A,Sh,Obscene,Materials B,S,Unshifted,Female,Left,Male,Right,1,Critical_01.A_Sh.Machinery.F.L_NAS.Obscene.M.R.wav
Exposure,Critical,1,3,Brochure,Materials A,Sh,Medicine,Materials B,S,Unshifted,Female,Left,Male,Right,1,Critical_01.A_Sh.Brochure.F.L_NAS.Medicine.M.R.wav
Exposure,Critical,1,4,Official,Materials A,Sh,Tennessee,Materials B,S,Unshifted,Female,Left,Male,Right,1,Critical_01.A_Sh.Official.F.L_NAS.Tennessee.M.R.wav
Exposure,Critical,1,5,Crucial,Materials A,Sh,Penninsula,Materials B,S,Unshifted,Female,Left,Male,Right,1,Critical_01.A_Sh.Crucial.F.L_NAS.Penninsula.M.R.wav
Exposure,Critical,1,6,Pediatrician,Materials A,Sh,Hallucinate,Materials B,S,Unshifted,Female,Left,Male,Right,1,Critical_01.A_Sh.Pediatrician.F.L_NAS.Hallucinate.M.R.wav
Exposure,Critical,1,7,Flourishing,Materials A,Sh,Arkansas,Materials B,S,Unshifted,Female,Left,Male,Right,1,Critical_01.A_Sh.Flourishing.F.L_NAS.Arkansas.M.R.wav
Exposure,Critical,1,8,Reassure,Materials A,Sh,Compensate,Materials B,S,Unshifted,Female,Left,Male,Right,1,Critical_01.A_Sh.Reassure.F.L_NAS.Compensate.M.R.wav
Exposure,Critical,1,9,Graduation,Materials A,Sh,Dinosaur,Materials B,S,Unshifted,Female,Left,Male,Right,1,Critical_01.A_Sh.Graduation.F.L_NAS.Dinosaur.M.R.wav
Exposure,Critical,1,10,Vacation,Materials A,Sh,Rehearsal,Materials B,S,Unshifted,Female,Left,Male,Right,1,Critical_01.A_Sh.Vacation.F.L_NAS.Rehearsal.M.R.wav
Exposure,Critical,1,11,Pregnancy,Materials B,S,Initial,Materials A,Sh,Shifted,Female,Left,Male,Right,1,Critical_01.B_As.Pregnancy.F.L_A_Ash.Initial.M.R.wav
Exposure,Critical,1,12,Democracy,Materials B,S,Beneficial,Materials A,Sh,Shifted,Female,Left,Male,Right,1,Critical_01.B_As.Democracy.F.L_A_Ash.Beneficial.M.R.wav
Exposure,Critical,1,13,Embassy,Materials B,S,Negotiate,Materials A,Sh,Shifted,Female,Left,Male,Right,1,Critical_01.B_As.Embassy.F.L_A_Ash.Negotiate.M.R.wav
Exposure,Critical,1,14,Legacy,Materials B,S,Commercial,Materials A,Sh,Shifted,Female,Left,Male,Right,1,Critical_01.B_As.Legacy.F.L_A_Ash.Commercial.M.R.wav
Exposure,Critical,1,15,Reconcile,Materials B,S,Parachute,Materials A,Sh,Shifted,Female,Left,Male,Right,1,Critical_01.B_As.Reconcile.F.L_A_Ash.Parachute.M.R.wav
Exposure,Critical,1,16,Personal,Materials B,S,Efficient,Materials A,Sh,Shifted,Female,Left,Male,Right,1,Critical_01.B_As.Personal.F.L_A_Ash.Efficient.M.R.wav
Exposure,Critical,1,17,Eraser,Materials B,S,Publisher,Materials A,Sh,Shifted,Female,Left,Male,Right,1,Critical_01.B_As.Eraser.F.L_A_Ash.Publisher.M.R.wav
Exposure,Critical,1,18,Episode,Materials B,S,Glacier,Materials A,Sh,Shifted,Female,Left,Male,Right,1,Critical_01.B_As.Episode.F.L_A_Ash.Glacier.M.R.wav
Exposure,Critical,1,19,Literacy,Materials B,S,Refreshing,Materials A,Sh,Shifted,Female,Left,Male,Right,1,Critical_01.B_As.Literacy.F.L_A_Ash.Refreshing.M.R.wav
Exposure,Critical,1,20,Coliseum,Materials B,S,Impatient,Materials A,Sh,Shifted,Female,Left,Male,Right,1,Critical_01.B_As.Coliseum.F.L_A_Ash.Impatient.M.R.wav
