Phase,Item.Type,Block,Item.Number,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Version,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,rep,filename
Exposure,Critical,1,1,Ambition,Materials A,Sh,Parasite,Materials B,S,Unshifted,Male,Left,Female,Right,1,Critical_07.A_Sh.Ambition.M.L_NAS.Parasite.F.R.wav
Exposure,Critical,1,2,Machinery,Materials A,Sh,Obscene,Materials B,S,Unshifted,Male,Left,Female,Right,1,Critical_07.A_Sh.Machinery.M.L_NAS.Obscene.F.R.wav
Exposure,Critical,1,3,Brochure,Materials A,Sh,Medicine,Materials B,S,Unshifted,Male,Left,Female,Right,1,Critical_07.A_Sh.Brochure.M.L_NAS.Medicine.F.R.wav
Exposure,Critical,1,4,Official,Materials A,Sh,Tennessee,Materials B,S,Unshifted,Male,Left,Female,Right,1,Critical_07.A_Sh.Official.M.L_NAS.Tennessee.F.R.wav
Exposure,Critical,1,5,Crucial,Materials A,Sh,Penninsula,Materials B,S,Unshifted,Male,Left,Female,Right,1,Critical_07.A_Sh.Crucial.M.L_NAS.Penninsula.F.R.wav
Exposure,Critical,1,6,Pediatrician,Materials A,Sh,Hallucinate,Materials B,S,Unshifted,Male,Left,Female,Right,1,Critical_07.A_Sh.Pediatrician.M.L_NAS.Hallucinate.F.R.wav
Exposure,Critical,1,7,Flourishing,Materials A,Sh,Arkansas,Materials B,S,Unshifted,Male,Left,Female,Right,1,Critical_07.A_Sh.Flourishing.M.L_NAS.Arkansas.F.R.wav
Exposure,Critical,1,8,Reassure,Materials A,Sh,Compensate,Materials B,S,Unshifted,Male,Left,Female,Right,1,Critical_07.A_Sh.Reassure.M.L_NAS.Compensate.F.R.wav
Exposure,Critical,1,9,Graduation,Materials A,Sh,Dinosaur,Materials B,S,Unshifted,Male,Left,Female,Right,1,Critical_07.A_Sh.Graduation.M.L_NAS.Dinosaur.F.R.wav
Exposure,Critical,1,10,Vacation,Materials A,Sh,Rehearsal,Materials B,S,Unshifted,Male,Left,Female,Right,1,Critical_07.A_Sh.Vacation.M.L_NAS.Rehearsal.F.R.wav
Exposure,Critical,1,11,Pregnancy,Materials B,S,Initial,Materials A,Sh,Shifted,Male,Left,Female,Right,1,Critical_07.B_As.Pregnancy.M.L_A_Ash.Initial.F.R.wav
Exposure,Critical,1,12,Democracy,Materials B,S,Beneficial,Materials A,Sh,Shifted,Male,Left,Female,Right,1,Critical_07.B_As.Democracy.M.L_A_Ash.Beneficial.F.R.wav
Exposure,Critical,1,13,Embassy,Materials B,S,Negotiate,Materials A,Sh,Shifted,Male,Left,Female,Right,1,Critical_07.B_As.Embassy.M.L_A_Ash.Negotiate.F.R.wav
Exposure,Critical,1,14,Legacy,Materials B,S,Commercial,Materials A,Sh,Shifted,Male,Left,Female,Right,1,Critical_07.B_As.Legacy.M.L_A_Ash.Commercial.F.R.wav
Exposure,Critical,1,15,Reconcile,Materials B,S,Parachute,Materials A,Sh,Shifted,Male,Left,Female,Right,1,Critical_07.B_As.Reconcile.M.L_A_Ash.Parachute.F.R.wav
Exposure,Critical,1,16,Personal,Materials B,S,Efficient,Materials A,Sh,Shifted,Male,Left,Female,Right,1,Critical_07.B_As.Personal.M.L_A_Ash.Efficient.F.R.wav
Exposure,Critical,1,17,Eraser,Materials B,S,Publisher,Materials A,Sh,Shifted,Male,Left,Female,Right,1,Critical_07.B_As.Eraser.M.L_A_Ash.Publisher.F.R.wav
Exposure,Critical,1,18,Episode,Materials B,S,Glacier,Materials A,Sh,Shifted,Male,Left,Female,Right,1,Critical_07.B_As.Episode.M.L_A_Ash.Glacier.F.R.wav
Exposure,Critical,1,19,Literacy,Materials B,S,Refreshing,Materials A,Sh,Shifted,Male,Left,Female,Right,1,Critical_07.B_As.Literacy.M.L_A_Ash.Refreshing.F.R.wav
Exposure,Critical,1,20,Coliseum,Materials B,S,Impatient,Materials A,Sh,Shifted,Male,Left,Female,Right,1,Critical_07.B_As.Coliseum.M.L_A_Ash.Impatient.F.R.wav
