Phase,Item.Type,Block,Item.Number,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Version,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,reps,feedback,filename
Exposure,Critical,1,1,Ambition,Materials A,Sh,Parasite,Materials B,S,Unshifted,Female,Left,Male,Right,1,FALSE,Critical_Sh.Ambition.F.L_S.Parasite.M.R.wav
Exposure,Critical,1,2,Machinery,Materials A,Sh,Obscene,Materials B,S,Unshifted,Female,Left,Male,Right,1,FALSE,Critical_Sh.Machinery.F.L_S.Obscene.M.R.wav
Exposure,Critical,1,3,Brochure,Materials A,Sh,Medicine,Materials B,S,Unshifted,Female,Left,Male,Right,1,FALSE,Critical_Sh.Brochure.F.L_S.Medicine.M.R.wav
Exposure,Critical,1,4,Official,Materials A,Sh,Tennessee,Materials B,S,Unshifted,Female,Left,Male,Right,1,FALSE,Critical_Sh.Official.F.L_S.Tennessee.M.R.wav
Exposure,Critical,1,5,Crucial,Materials A,Sh,Peninsula,Materials B,S,Unshifted,Female,Left,Male,Right,1,FALSE,Critical_Sh.Crucial.F.L_S.Peninsula.M.R.wav
Exposure,Critical,1,6,Pediatrician,Materials A,Sh,Hallucinate,Materials B,S,Unshifted,Female,Left,Male,Right,1,FALSE,Critical_Sh.Pediatrician.F.L_S.Hallucinate.M.R.wav
Exposure,Critical,1,7,Flourishing,Materials A,Sh,Arkansas,Materials B,S,Unshifted,Female,Left,Male,Right,1,FALSE,Critical_Sh.Flourishing.F.L_S.Arkansas.M.R.wav
Exposure,Critical,1,8,Reassure,Materials A,Sh,Compensate,Materials B,S,Unshifted,Female,Left,Male,Right,1,FALSE,Critical_Sh.Reassure.F.L_S.Compensate.M.R.wav
Exposure,Critical,1,9,Graduation,Materials A,Sh,Dinosaur,Materials B,S,Unshifted,Female,Left,Male,Right,1,FALSE,Critical_Sh.Graduation.F.L_S.Dinosaur.M.R.wav
Exposure,Critical,1,10,Vacation,Materials A,Sh,Rehearsal,Materials B,S,Unshifted,Female,Left,Male,Right,1,FALSE,Critical_Sh.Vacation.F.L_S.Rehearsal.M.R.wav
Exposure,Critical,1,11,Pregnancy,Materials B,S,Initial,Materials A,Sh,Shifted,Female,Left,Male,Right,1,FALSE,Critical_As.Pregnancy.F.L_Ash.Initial.M.R.wav
Exposure,Critical,1,12,Democracy,Materials B,S,Beneficial,Materials A,Sh,Shifted,Female,Left,Male,Right,1,FALSE,Critical_As.Democracy.F.L_Ash.Beneficial.M.R.wav
Exposure,Critical,1,13,Embassy,Materials B,S,Negotiate,Materials A,Sh,Shifted,Female,Left,Male,Right,1,FALSE,Critical_As.Embassy.F.L_Ash.Negotiate.M.R.wav
Exposure,Critical,1,14,Legacy,Materials B,S,Commercial,Materials A,Sh,Shifted,Female,Left,Male,Right,1,FALSE,Critical_As.Legacy.F.L_Ash.Commercial.M.R.wav
Exposure,Critical,1,15,Reconcile,Materials B,S,Parachute,Materials A,Sh,Shifted,Female,Left,Male,Right,1,FALSE,Critical_As.Reconcile.F.L_Ash.Parachute.M.R.wav
Exposure,Critical,1,16,Personal,Materials B,S,Efficient,Materials A,Sh,Shifted,Female,Left,Male,Right,1,FALSE,Critical_As.Personal.F.L_Ash.Efficient.M.R.wav
Exposure,Critical,1,17,Eraser,Materials B,S,Publisher,Materials A,Sh,Shifted,Female,Left,Male,Right,1,FALSE,Critical_As.Eraser.F.L_Ash.Publisher.M.R.wav
Exposure,Critical,1,18,Episode,Materials B,S,Glacier,Materials A,Sh,Shifted,Female,Left,Male,Right,1,FALSE,Critical_As.Episode.F.L_Ash.Glacier.M.R.wav
Exposure,Critical,1,19,Literacy,Materials B,S,Refreshing,Materials A,Sh,Shifted,Female,Left,Male,Right,1,FALSE,Critical_As.Literacy.F.L_Ash.Refreshing.M.R.wav
Exposure,Critical,1,20,Coliseum,Materials B,S,Impatient,Materials A,Sh,Shifted,Female,Left,Male,Right,1,FALSE,Critical_As.Coliseum.F.L_Ash.Impatient.M.R.wav
