Phase,Item.Type,Block,Item.Number,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Version,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,rep,filename
Exposure,Critical,1,1,Ambition,Materials A,Sh,Parasite,Materials B,S,Shifted,Female,Right,Male,Left,1,Critical_06.NAAs.Parasite.M.L_A_Ash.Ambition.F.R.wav
Exposure,Critical,1,2,Machinery,Materials A,Sh,Obscene,Materials B,S,Shifted,Female,Right,Male,Left,1,Critical_06.NAAs.Obscene.M.L_A_Ash.Machinery.F.R.wav
Exposure,Critical,1,3,Brochure,Materials A,Sh,Medicine,Materials B,S,Shifted,Female,Right,Male,Left,1,Critical_06.NAAs.Medicine.M.L_A_Ash.Brochure.F.R.wav
Exposure,Critical,1,4,Official,Materials A,Sh,Tennessee,Materials B,S,Shifted,Female,Right,Male,Left,1,Critical_06.NAAs.Tennessee.M.L_A_Ash.Official.F.R.wav
Exposure,Critical,1,5,Crucial,Materials A,Sh,Penninsula,Materials B,S,Shifted,Female,Right,Male,Left,1,Critical_06.NAAs.Penninsula.M.L_A_Ash.Crucial.F.R.wav
Exposure,Critical,1,6,Pediatrician,Materials A,Sh,Hallucinate,Materials B,S,Shifted,Female,Right,Male,Left,1,Critical_06.NAAs.Hallucinate.M.L_A_Ash.Pediatrician.F.R.wav
Exposure,Critical,1,7,Flourishing,Materials A,Sh,Arkansas,Materials B,S,Shifted,Female,Right,Male,Left,1,Critical_06.NAAs.Arkansas.M.L_A_Ash.Flourishing.F.R.wav
Exposure,Critical,1,8,Reassure,Materials A,Sh,Compensate,Materials B,S,Shifted,Female,Right,Male,Left,1,Critical_06.NAAs.Compensate.M.L_A_Ash.Reassure.F.R.wav
Exposure,Critical,1,9,Graduation,Materials A,Sh,Dinosaur,Materials B,S,Shifted,Female,Right,Male,Left,1,Critical_06.NAAs.Dinosaur.M.L_A_Ash.Graduation.F.R.wav
Exposure,Critical,1,10,Vacation,Materials A,Sh,Rehearsal,Materials B,S,Shifted,Female,Right,Male,Left,1,Critical_06.NAAs.Rehearsal.M.L_A_Ash.Vacation.F.R.wav
Exposure,Critical,1,11,Pregnancy,Materials B,S,Initial,Materials A,Sh,Unshifted,Female,Right,Male,Left,1,Critical_06.A_Sh.Initial.M.L_B_S.Pregnancy.F.R.wav
Exposure,Critical,1,12,Democracy,Materials B,S,Beneficial,Materials A,Sh,Unshifted,Female,Right,Male,Left,1,Critical_06.A_Sh.Beneficial.M.L_B_S.Democracy.F.R.wav
Exposure,Critical,1,13,Embassy,Materials B,S,Negotiate,Materials A,Sh,Unshifted,Female,Right,Male,Left,1,Critical_06.A_Sh.Negotiate.M.L_B_S.Embassy.F.R.wav
Exposure,Critical,1,14,Legacy,Materials B,S,Commercial,Materials A,Sh,Unshifted,Female,Right,Male,Left,1,Critical_06.A_Sh.Commercial.M.L_B_S.Legacy.F.R.wav
Exposure,Critical,1,15,Reconcile,Materials B,S,Parachute,Materials A,Sh,Unshifted,Female,Right,Male,Left,1,Critical_06.A_Sh.Parachute.M.L_B_S.Reconcile.F.R.wav
Exposure,Critical,1,16,Personal,Materials B,S,Efficient,Materials A,Sh,Unshifted,Female,Right,Male,Left,1,Critical_06.A_Sh.Efficient.M.L_B_S.Personal.F.R.wav
Exposure,Critical,1,17,Eraser,Materials B,S,Publisher,Materials A,Sh,Unshifted,Female,Right,Male,Left,1,Critical_06.A_Sh.Publisher.M.L_B_S.Eraser.F.R.wav
Exposure,Critical,1,18,Episode,Materials B,S,Glacier,Materials A,Sh,Unshifted,Female,Right,Male,Left,1,Critical_06.A_Sh.Glacier.M.L_B_S.Episode.F.R.wav
Exposure,Critical,1,19,Literacy,Materials B,S,Refreshing,Materials A,Sh,Unshifted,Female,Right,Male,Left,1,Critical_06.A_Sh.Refreshing.M.L_B_S.Literacy.F.R.wav
Exposure,Critical,1,20,Coliseum,Materials B,S,Impatient,Materials A,Sh,Unshifted,Female,Right,Male,Left,1,Critical_06.A_Sh.Impatient.M.L_B_S.Coliseum.F.R.wav
