Phase,Item.Type,Block,Item.Number,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Version,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,rep,filename
Exposure,Critical,1,1,Ambition,Materials A,Sh,Parasite,Materials B,S,Unshifted,Male,Left,Female,Right,1,Critical_07_A_Sh.Ambition.M.L_S.Parasite.F.R.wav
Exposure,Critical,1,2,Machinery,Materials A,Sh,Obscene,Materials B,S,Unshifted,Male,Left,Female,Right,1,Critical_07_A_Sh.Machinery.M.L_S.Obscene.F.R.wav
Exposure,Critical,1,3,Brochure,Materials A,Sh,Medicine,Materials B,S,Unshifted,Male,Left,Female,Right,1,Critical_07_A_Sh.Brochure.M.L_S.Medicine.F.R.wav
Exposure,Critical,1,4,Official,Materials A,Sh,Tennessee,Materials B,S,Unshifted,Male,Left,Female,Right,1,Critical_07_A_Sh.Official.M.L_S.Tennessee.F.R.wav
Exposure,Critical,1,5,Crucial,Materials A,Sh,Penninsula,Materials B,S,Unshifted,Male,Left,Female,Right,1,Critical_07_A_Sh.Crucial.M.L_S.Penninsula.F.R.wav
Exposure,Critical,1,6,Pediatrician,Materials A,Sh,Hallucinate,Materials B,S,Unshifted,Male,Left,Female,Right,1,Critical_07_A_Sh.Pediatrician.M.L_S.Hallucinate.F.R.wav
Exposure,Critical,1,7,Flourishing,Materials A,Sh,Arkansas,Materials B,S,Unshifted,Male,Left,Female,Right,1,Critical_07_A_Sh.Flourishing.M.L_S.Arkansas.F.R.wav
Exposure,Critical,1,8,Reassure,Materials A,Sh,Compensate,Materials B,S,Unshifted,Male,Left,Female,Right,1,Critical_07_A_Sh.Reassure.M.L_S.Compensate.F.R.wav
Exposure,Critical,1,9,Graduation,Materials A,Sh,Dinosaur,Materials B,S,Unshifted,Male,Left,Female,Right,1,Critical_07_A_Sh.Graduation.M.L_S.Dinosaur.F.R.wav
Exposure,Critical,1,10,Vacation,Materials A,Sh,Rehearsal,Materials B,S,Unshifted,Male,Left,Female,Right,1,Critical_07_A_Sh.Vacation.M.L_S.Rehearsal.F.R.wav
Exposure,Critical,1,11,Pregnancy,Materials B,S,Initial,Materials A,Sh,Shifted,Male,Left,Female,Right,1,Critical_07_B_As.Pregnancy.M.L_Ash.Initial.F.R.wav
Exposure,Critical,1,12,Democracy,Materials B,S,Beneficial,Materials A,Sh,Shifted,Male,Left,Female,Right,1,Critical_07_B_As.Democracy.M.L_Ash.Beneficial.F.R.wav
Exposure,Critical,1,13,Embassy,Materials B,S,Negotiate,Materials A,Sh,Shifted,Male,Left,Female,Right,1,Critical_07_B_As.Embassy.M.L_Ash.Negotiate.F.R.wav
Exposure,Critical,1,14,Legacy,Materials B,S,Commercial,Materials A,Sh,Shifted,Male,Left,Female,Right,1,Critical_07_B_As.Legacy.M.L_Ash.Commercial.F.R.wav
Exposure,Critical,1,15,Reconcile,Materials B,S,Parachute,Materials A,Sh,Shifted,Male,Left,Female,Right,1,Critical_07_B_As.Reconcile.M.L_Ash.Parachute.F.R.wav
Exposure,Critical,1,16,Personal,Materials B,S,Efficient,Materials A,Sh,Shifted,Male,Left,Female,Right,1,Critical_07_B_As.Personal.M.L_Ash.Efficient.F.R.wav
Exposure,Critical,1,17,Eraser,Materials B,S,Publisher,Materials A,Sh,Shifted,Male,Left,Female,Right,1,Critical_07_B_As.Eraser.M.L_Ash.Publisher.F.R.wav
Exposure,Critical,1,18,Episode,Materials B,S,Glacier,Materials A,Sh,Shifted,Male,Left,Female,Right,1,Critical_07_B_As.Episode.M.L_Ash.Glacier.F.R.wav
Exposure,Critical,1,19,Literacy,Materials B,S,Refreshing,Materials A,Sh,Shifted,Male,Left,Female,Right,1,Critical_07_B_As.Literacy.M.L_Ash.Refreshing.F.R.wav
Exposure,Critical,1,20,Coliseum,Materials B,S,Impatient,Materials A,Sh,Shifted,Male,Left,Female,Right,1,Critical_07_B_As.Coliseum.M.L_Ash.Impatient.F.R.wav
