"","Phase","Item.Type","Block","Item.Number","Talker.A","Talker.A_Materials","Talker.A_Sound","Talker.B","Talker.B_Materials","Talker.B_Sound","Version","Talker.A_Gender","Talker.A_Ear","Talker.B_Gender","Talker.B_Ear","rep","filename"
"31","Exposure","Filler",1,4,"Document","Set B","Word","Rawamtee","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_B.03_W.Document.F.R_N.Rawamtee.M.L.wav"
"32","Exposure","Filler",1,4,"Embody","Set C","Word","Rengime","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_C.02_W.Embody.F.L_N.Rengime.M.R.wav"
"33","Exposure","Filler",1,5,"Dynamite","Set A","Word","Rakil","Set A","Nonword","4","Male","Left","Female","Right",1,"Filler_A.04_W.Dynamite.M.L_N.Rakil.F.R.wav"
"34","Exposure","Filler",1,5,"Eighty","Set B","Word","Ploupelai","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_B.03_W.Eighty.F.R_N.Ploupelai.M.L.wav"
"35","Exposure","Filler",1,5,"Gullible","Set C","Word","Pourilar","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_C.02_W.Gullible.F.L_N.Pourilar.M.R.wav"
"36","Exposure","Filler",1,6,"Gardenia","Set A","Word","Perkum","Set A","Nonword","4","Male","Left","Female","Right",1,"Filler_A.04_W.Gardenia.M.L_N.Perkum.F.R.wav"
"37","Exposure","Filler",1,6,"Grammatical","Set B","Word","Omperoge","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_B.03_W.Grammatical.F.R_N.Omperoge.M.L.wav"
"38","Exposure","Filler",1,6,"Honeymoon","Set C","Word","Almikquary","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_C.02_W.Honeymoon.F.L_N.Almikquary.M.R.wav"
"39","Exposure","Filler",1,7,"Hamburger","Set A","Word","Nomerae","Set A","Nonword","4","Male","Left","Female","Right",1,"Filler_A.04_W.Hamburger.M.L_N.Nomerae.F.R.wav"
"40","Exposure","Filler",1,7,"Identical","Set B","Word","Nempring","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_B.03_W.Identical.F.R_N.Nempring.M.L.wav"
"41","Exposure","Filler",1,7,"Illuminate","Set C","Word","Niritaly","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_C.02_W.Illuminate.F.L_N.Niritaly.M.R.wav"
"42","Exposure","Filler",1,8,"Hurdle","Set A","Word","Namuary","Set A","Nonword","4","Male","Left","Female","Right",1,"Filler_A.04_W.Hurdle.M.L_N.Namuary.F.R.wav"
"43","Exposure","Filler",1,8,"Interior","Set B","Word","Mibgem","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_B.03_W.Interior.F.R_N.Mibgem.M.L.wav"
"44","Exposure","Filler",1,8,"Ironic","Set C","Word","Makid","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_C.02_W.Ironic.F.L_N.Makid.M.R.wav"
"45","Exposure","Filler",1,9,"Inhabit","Set A","Word","Logelai","Set A","Nonword","4","Male","Left","Female","Right",1,"Filler_A.04_W.Inhabit.M.L_N.Logelai.F.R.wav"
"46","Exposure","Filler",1,9,"Knowingly","Set B","Word","Meidnow","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_B.03_W.Knowingly.F.R_N.Meidnow.M.L.wav"
"47","Exposure","Filler",1,9,"Laminate","Set C","Word","Kaldemia","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_C.02_W.Laminate.F.L_N.Kaldemia.M.R.wav"
