"","Attended.Talker","Expected.Response","Phase","Item.Type","Block","Item.Number","Talker.A","Talker.A_Materials","Talker.A_Sound","Talker.B","Talker.B_Materials","Talker.B_Sound","Version","Talker.A_Gender","Talker.A_Ear","Talker.B_Gender","Talker.B_Ear","reps","feedback","filename"
"1","Male","Word","Exposure","Critical",1,1,"Ambition","Materials A","Sh","Parasite","Materials B","S","Unshifted","Female","Left","Male","Right",1,FALSE,"Critical_01_A_Sh.Ambition.F.L_S.Parasite.M.R.wav"
"2","Male","Word","Exposure","Critical",1,2,"Machinery","Materials A","Sh","Obscene","Materials B","S","Unshifted","Female","Left","Male","Right",1,FALSE,"Critical_01_A_Sh.Machinery.F.L_S.Obscene.M.R.wav"
"3","Male","Word","Exposure","Critical",1,3,"Brochure","Materials A","Sh","Medicine","Materials B","S","Unshifted","Female","Left","Male","Right",1,FALSE,"Critical_01_A_Sh.Brochure.F.L_S.Medicine.M.R.wav"
"4","Male","Word","Exposure","Critical",1,4,"Official","Materials A","Sh","Tennessee","Materials B","S","Unshifted","Female","Left","Male","Right",1,FALSE,"Critical_01_A_Sh.Official.F.L_S.Tennessee.M.R.wav"
"5","Male","Word","Exposure","Critical",1,5,"Crucial","Materials A","Sh","Penninsula","Materials B","S","Unshifted","Female","Left","Male","Right",1,FALSE,"Critical_01_A_Sh.Crucial.F.L_S.Penninsula.M.R.wav"
"6","Male","Word","Exposure","Critical",1,6,"Pediatrician","Materials A","Sh","Hallucinate","Materials B","S","Unshifted","Female","Left","Male","Right",1,FALSE,"Critical_01_A_Sh.Pediatrician.F.L_S.Hallucinate.M.R.wav"
"7","Male","Word","Exposure","Critical",1,7,"Flourishing","Materials A","Sh","Arkansas","Materials B","S","Unshifted","Female","Left","Male","Right",1,FALSE,"Critical_01_A_Sh.Flourishing.F.L_S.Arkansas.M.R.wav"
"8","Male","Word","Exposure","Critical",1,8,"Reassure","Materials A","Sh","Compensate","Materials B","S","Unshifted","Female","Left","Male","Right",1,FALSE,"Critical_01_A_Sh.Reassure.F.L_S.Compensate.M.R.wav"
"9","Male","Word","Exposure","Critical",1,9,"Graduation","Materials A","Sh","Dinosaur","Materials B","S","Unshifted","Female","Left","Male","Right",1,FALSE,"Critical_01_A_Sh.Graduation.F.L_S.Dinosaur.M.R.wav"
"10","Male","Word","Exposure","Critical",1,10,"Vacation","Materials A","Sh","Rehearsal","Materials B","S","Unshifted","Female","Left","Male","Right",1,FALSE,"Critical_01_A_Sh.Vacation.F.L_S.Rehearsal.M.R.wav"
"11","Male","Word","Exposure","Critical",1,11,"Pregnancy","Materials B","S","Initial","Materials A","Sh","Shifted","Female","Left","Male","Right",1,FALSE,"Critical_01_B_As.Pregnancy.F.L_Ash.Initial.M.R.wav"
"12","Male","Word","Exposure","Critical",1,12,"Democracy","Materials B","S","Beneficial","Materials A","Sh","Shifted","Female","Left","Male","Right",1,FALSE,"Critical_01_B_As.Democracy.F.L_Ash.Beneficial.M.R.wav"
"13","Male","Word","Exposure","Critical",1,13,"Embassy","Materials B","S","Negotiate","Materials A","Sh","Shifted","Female","Left","Male","Right",1,FALSE,"Critical_01_B_As.Embassy.F.L_Ash.Negotiate.M.R.wav"
"14","Male","Word","Exposure","Critical",1,14,"Legacy","Materials B","S","Commercial","Materials A","Sh","Shifted","Female","Left","Male","Right",1,FALSE,"Critical_01_B_As.Legacy.F.L_Ash.Commercial.M.R.wav"
"15","Male","Word","Exposure","Critical",1,15,"Reconcile","Materials B","S","Parachute","Materials A","Sh","Shifted","Female","Left","Male","Right",1,FALSE,"Critical_01_B_As.Reconcile.F.L_Ash.Parachute.M.R.wav"
