"","Phase","Item.Type","Block","Item.Number","Talker.A","Talker.A_Materials","Talker.A_Sound","Talker.B","Talker.B_Materials","Talker.B_Sound","Version","Talker.A_Gender","Talker.A_Ear","Talker.B_Gender","Talker.B_Ear","rep","filename"
"31","Exposure","Filler",1,4,"Document","Set B","Word","Rawamtee","Set B","Nonword","4","Male","Right","Female","Left",1,"Filler_B.04_W.Document.M.R_N.Rawamtee.F.L.wav"
"32","Exposure","Filler",1,4,"Embody","Set C","Word","Rengime","Set C","Nonword","1","Male","Left","Female","Right",1,"Filler_C.01_W.Embody.M.L_N.Rengime.F.R.wav"
"33","Exposure","Filler",1,5,"Dynamite","Set A","Word","Rakil","Set A","Nonword","3","Female","Right","Male","Left",1,"Filler_A.03_W.Dynamite.F.R_N.Rakil.M.L.wav"
"34","Exposure","Filler",1,5,"Eighty","Set B","Word","Ploupelai","Set B","Nonword","4","Male","Right","Female","Left",1,"Filler_B.04_W.Eighty.M.R_N.Ploupelai.F.L.wav"
"35","Exposure","Filler",1,5,"Gullible","Set C","Word","Pourilar","Set C","Nonword","1","Male","Left","Female","Right",1,"Filler_C.01_W.Gullible.M.L_N.Pourilar.F.R.wav"
"36","Exposure","Filler",1,6,"Gardenia","Set A","Word","Perkum","Set A","Nonword","3","Female","Right","Male","Left",1,"Filler_A.03_W.Gardenia.F.R_N.Perkum.M.L.wav"
"37","Exposure","Filler",1,6,"Grammatical","Set B","Word","Omperoge","Set B","Nonword","4","Male","Right","Female","Left",1,"Filler_B.04_W.Grammatical.M.R_N.Omperoge.F.L.wav"
"38","Exposure","Filler",1,6,"Honeymoon","Set C","Word","Almikquary","Set C","Nonword","1","Male","Left","Female","Right",1,"Filler_C.01_W.Honeymoon.M.L_N.Almikquary.F.R.wav"
"39","Exposure","Filler",1,7,"Hamburger","Set A","Word","Nomerae","Set A","Nonword","3","Female","Right","Male","Left",1,"Filler_A.03_W.Hamburger.F.R_N.Nomerae.M.L.wav"
"40","Exposure","Filler",1,7,"Identical","Set B","Word","Nempring","Set B","Nonword","4","Male","Right","Female","Left",1,"Filler_B.04_W.Identical.M.R_N.Nempring.F.L.wav"
"41","Exposure","Filler",1,7,"Illuminate","Set C","Word","Niritaly","Set C","Nonword","1","Male","Left","Female","Right",1,"Filler_C.01_W.Illuminate.M.L_N.Niritaly.F.R.wav"
"42","Exposure","Filler",1,8,"Hurdle","Set A","Word","Namuary","Set A","Nonword","3","Female","Right","Male","Left",1,"Filler_A.03_W.Hurdle.F.R_N.Namuary.M.L.wav"
"43","Exposure","Filler",1,8,"Interior","Set B","Word","Mibgem","Set B","Nonword","4","Male","Right","Female","Left",1,"Filler_B.04_W.Interior.M.R_N.Mibgem.F.L.wav"
"44","Exposure","Filler",1,8,"Ironic","Set C","Word","Makid","Set C","Nonword","1","Male","Left","Female","Right",1,"Filler_C.01_W.Ironic.M.L_N.Makid.F.R.wav"
"45","Exposure","Filler",1,9,"Inhabit","Set A","Word","Logelai","Set A","Nonword","3","Female","Right","Male","Left",1,"Filler_A.03_W.Inhabit.F.R_N.Logelai.M.L.wav"
"46","Exposure","Filler",1,9,"Knowingly","Set B","Word","Meidnow","Set B","Nonword","4","Male","Right","Female","Left",1,"Filler_B.04_W.Knowingly.M.R_N.Meidnow.F.L.wav"
"47","Exposure","Filler",1,9,"Laminate","Set C","Word","Kaldemia","Set C","Nonword","1","Male","Left","Female","Right",1,"Filler_C.01_W.Laminate.M.L_N.Kaldemia.F.R.wav"
"48","Exposure","Filler",1,10,"Keyboard","Set A","Word","Lenediaw","Set A","Nonword","3","Female","Right","Male","Left",1,"Filler_A.03_W.Keyboard.F.R_N.Lenediaw.M.L.wav"
"49","Exposure","Filler",1,10,"Lethal","Set B","Word","Kermimer","Set B","Nonword","4","Male","Right","Female","Left",1,"Filler_B.04_W.Lethal.M.R_N.Kermimer.F.L.wav"
"50","Exposure","Filler",1,10,"Liability","Set C","Word","Imdalier","Set C","Nonword","1","Male","Left","Female","Right",1,"Filler_C.01_W.Liability.M.L_N.Imdalier.F.R.wav"
"51","Exposure","Filler",1,11,"Lengthen","Set A","Word","Kelabidel","Set A","Nonword","3","Female","Right","Male","Left",1,"Filler_A.03_W.Lengthen.F.R_N.Kelabidel.M.L.wav"
"52","Exposure","Filler",1,11,"Lobbying","Set B","Word","Itempider","Set B","Nonword","4","Male","Right","Female","Left",1,"Filler_B.04_W.Lobbying.M.R_N.Itempider.F.L.wav"
