"","Phase","Item.Type","Block","Item.Number","Talker.A","Talker.A_Materials","Talker.A_Sound","Talker.B","Talker.B_Materials","Talker.B_Sound","Version","Talker.A_Gender","Talker.A_Ear","Talker.B_Gender","Talker.B_Ear","rep","filename"
"1","Exposure","Critical",1,1,"Ambition","Materials A","Sh","Parasite","Materials B","S","Unshifted","Female","Left","Male","Right",1,"Critical_01_A_Sh.Ambition.F.L_S.Parasite.M.R.wav"
"2","Exposure","Critical",1,2,"Machinery","Materials A","Sh","Obscene","Materials B","S","Unshifted","Female","Left","Male","Right",1,"Critical_01_A_Sh.Machinery.F.L_S.Obscene.M.R.wav"
"3","Exposure","Critical",1,3,"Brochure","Materials A","Sh","Medicine","Materials B","S","Unshifted","Female","Left","Male","Right",1,"Critical_01_A_Sh.Brochure.F.L_S.Medicine.M.R.wav"
"4","Exposure","Critical",1,4,"Official","Materials A","Sh","Tennessee","Materials B","S","Unshifted","Female","Left","Male","Right",1,"Critical_01_A_Sh.Official.F.L_S.Tennessee.M.R.wav"
"5","Exposure","Critical",1,5,"Crucial","Materials A","Sh","Penninsula","Materials B","S","Unshifted","Female","Left","Male","Right",1,"Critical_01_A_Sh.Crucial.F.L_S.Penninsula.M.R.wav"
"6","Exposure","Critical",1,6,"Pediatrician","Materials A","Sh","Hallucinate","Materials B","S","Unshifted","Female","Left","Male","Right",1,"Critical_01_A_Sh.Pediatrician.F.L_S.Hallucinate.M.R.wav"
"7","Exposure","Critical",1,7,"Flourishing","Materials A","Sh","Arkansas","Materials B","S","Unshifted","Female","Left","Male","Right",1,"Critical_01_A_Sh.Flourishing.F.L_S.Arkansas.M.R.wav"
"8","Exposure","Critical",1,8,"Reassure","Materials A","Sh","Compensate","Materials B","S","Unshifted","Female","Left","Male","Right",1,"Critical_01_A_Sh.Reassure.F.L_S.Compensate.M.R.wav"
"9","Exposure","Critical",1,9,"Graduation","Materials A","Sh","Dinosaur","Materials B","S","Unshifted","Female","Left","Male","Right",1,"Critical_01_A_Sh.Graduation.F.L_S.Dinosaur.M.R.wav"
"10","Exposure","Critical",1,10,"Vacation","Materials A","Sh","Rehearsal","Materials B","S","Unshifted","Female","Left","Male","Right",1,"Critical_01_A_Sh.Vacation.F.L_S.Rehearsal.M.R.wav"
