"","Attended.Talker","Expected.Response","Phase","Item.Type","Block","Item.Number","Talker.A","Talker.A_Materials","Talker.A_Sound","Talker.B","Talker.B_Materials","Talker.B_Sound","Version","Talker.A_Gender","Talker.A_Ear","Talker.B_Gender","Talker.B_Ear","reps","feedback","filename"
"1","Female","Word","Exposure","Critical",1,1,"Ambition","Materials A","Sh","Parasite","Materials B","S","Unshifted","Male","Left","Female","Right",1,FALSE,"Critical_07_A_Sh.Ambition.M.L_S.Parasite.F.R.wav"
"2","Female","Word","Exposure","Critical",1,2,"Machinery","Materials A","Sh","Obscene","Materials B","S","Unshifted","Male","Left","Female","Right",1,FALSE,"Critical_07_A_Sh.Machinery.M.L_S.Obscene.F.R.wav"
"3","Female","Word","Exposure","Critical",1,3,"Brochure","Materials A","Sh","Medicine","Materials B","S","Unshifted","Male","Left","Female","Right",1,FALSE,"Critical_07_A_Sh.Brochure.M.L_S.Medicine.F.R.wav"
"4","Female","Word","Exposure","Critical",1,4,"Official","Materials A","Sh","Tennessee","Materials B","S","Unshifted","Male","Left","Female","Right",1,FALSE,"Critical_07_A_Sh.Official.M.L_S.Tennessee.F.R.wav"
"5","Female","Word","Exposure","Critical",1,5,"Crucial","Materials A","Sh","Penninsula","Materials B","S","Unshifted","Male","Left","Female","Right",1,FALSE,"Critical_07_A_Sh.Crucial.M.L_S.Penninsula.F.R.wav"
"6","Female","Word","Exposure","Critical",1,6,"Pediatrician","Materials A","Sh","Hallucinate","Materials B","S","Unshifted","Male","Left","Female","Right",1,FALSE,"Critical_07_A_Sh.Pediatrician.M.L_S.Hallucinate.F.R.wav"
"7","Female","Word","Exposure","Critical",1,7,"Flourishing","Materials A","Sh","Arkansas","Materials B","S","Unshifted","Male","Left","Female","Right",1,FALSE,"Critical_07_A_Sh.Flourishing.M.L_S.Arkansas.F.R.wav"
"8","Female","Word","Exposure","Critical",1,8,"Reassure","Materials A","Sh","Compensate","Materials B","S","Unshifted","Male","Left","Female","Right",1,FALSE,"Critical_07_A_Sh.Reassure.M.L_S.Compensate.F.R.wav"
"9","Female","Word","Exposure","Critical",1,9,"Graduation","Materials A","Sh","Dinosaur","Materials B","S","Unshifted","Male","Left","Female","Right",1,FALSE,"Critical_07_A_Sh.Graduation.M.L_S.Dinosaur.F.R.wav"
"10","Female","Word","Exposure","Critical",1,10,"Vacation","Materials A","Sh","Rehearsal","Materials B","S","Unshifted","Male","Left","Female","Right",1,FALSE,"Critical_07_A_Sh.Vacation.M.L_S.Rehearsal.F.R.wav"
"11","Female","Word","Exposure","Critical",1,11,"Pregnancy","Materials B","S","Initial","Materials A","Sh","Shifted","Male","Left","Female","Right",1,FALSE,"Critical_07_B_As.Pregnancy.M.L_Ash.Initial.F.R.wav"
"12","Female","Word","Exposure","Critical",1,12,"Democracy","Materials B","S","Beneficial","Materials A","Sh","Shifted","Male","Left","Female","Right",1,FALSE,"Critical_07_B_As.Democracy.M.L_Ash.Beneficial.F.R.wav"
"13","Female","Word","Exposure","Critical",1,13,"Embassy","Materials B","S","Negotiate","Materials A","Sh","Shifted","Male","Left","Female","Right",1,FALSE,"Critical_07_B_As.Embassy.M.L_Ash.Negotiate.F.R.wav"
"14","Female","Word","Exposure","Critical",1,14,"Legacy","Materials B","S","Commercial","Materials A","Sh","Shifted","Male","Left","Female","Right",1,FALSE,"Critical_07_B_As.Legacy.M.L_Ash.Commercial.F.R.wav"
"15","Female","Word","Exposure","Critical",1,15,"Reconcile","Materials B","S","Parachute","Materials A","Sh","Shifted","Male","Left","Female","Right",1,FALSE,"Critical_07_B_As.Reconcile.M.L_Ash.Parachute.F.R.wav"
"16","Female","Word","Exposure","Critical",1,16,"Personal","Materials B","S","Efficient","Materials A","Sh","Shifted","Male","Left","Female","Right",1,FALSE,"Critical_07_B_As.Personal.M.L_Ash.Efficient.F.R.wav"
"17","Female","Word","Exposure","Critical",1,17,"Eraser","Materials B","S","Publisher","Materials A","Sh","Shifted","Male","Left","Female","Right",1,FALSE,"Critical_07_B_As.Eraser.M.L_Ash.Publisher.F.R.wav"
"18","Female","Word","Exposure","Critical",1,18,"Episode","Materials B","S","Glacier","Materials A","Sh","Shifted","Male","Left","Female","Right",1,FALSE,"Critical_07_B_As.Episode.M.L_Ash.Glacier.F.R.wav"
"19","Female","Word","Exposure","Critical",1,19,"Literacy","Materials B","S","Refreshing","Materials A","Sh","Shifted","Male","Left","Female","Right",1,FALSE,"Critical_07_B_As.Literacy.M.L_Ash.Refreshing.F.R.wav"
"20","Female","Word","Exposure","Critical",1,20,"Coliseum","Materials B","S","Impatient","Materials A","Sh","Shifted","Male","Left","Female","Right",1,FALSE,"Critical_07_B_As.Coliseum.M.L_Ash.Impatient.F.R.wav"
"21","Female","Word","Exposure","Filler",1,1,"America","Set A","Word","Wominid","Set A","Nonword","2","Female","Left","Male","Right",1,FALSE,"Filler_03_A.2_W.America.F.L_N.Wominid.M.R.wav"
"22","Female","Nonword","Exposure","Filler",1,1,"Bakery","Set B","Word","Wojalto","Set B","Nonword","1","Male","Left","Female","Right",1,FALSE,"Filler_03_B.1_W.Bakery.M.L_N.Wojalto.F.R.wav"
"23","Female","Nonword","Exposure","Filler",1,1,"Ballerina","Set C","Word","Youmgel","Set C","Nonword","4","Male","Right","Female","Left",1,FALSE,"Filler_03_C.4_W.Ballerina.M.R_N.Youmgel.F.L.wav"
"24","Female","Word","Exposure","Filler",1,2,"Blueberry","Set A","Word","Ungelnin","Set A","Nonword","2","Female","Left","Male","Right",1,FALSE,"Filler_03_A.2_W.Blueberry.F.L_N.Ungelnin.M.R.wav"
"25","Female","Nonword","Exposure","Filler",1,2,"Bullying","Set B","Word","Tounamplem","Set B","Nonword","1","Male","Left","Female","Right",1,FALSE,"Filler_03_B.1_W.Bullying.M.L_N.Tounamplem.F.R.wav"
"26","Female","Nonword","Exposure","Filler",1,2,"Burglary","Set C","Word","Tymolape","Set C","Nonword","4","Male","Right","Female","Left",1,FALSE,"Filler_03_C.4_W.Burglary.M.R_N.Tymolape.F.L.wav"
"27","Female","Word","Exposure","Filler",1,3,"Camera","Set A","Word","Tilegkalo","Set A","Nonword","2","Female","Left","Male","Right",1,FALSE,"Filler_03_A.2_W.Camera.F.L_N.Tilegkalo.M.R.wav"
"28","Female","Nonword","Exposure","Filler",1,3,"Continually","Set B","Word","Ryligal","Set B","Nonword","1","Male","Left","Female","Right",1,FALSE,"Filler_03_B.1_W.Continually.M.L_N.Ryligal.F.R.wav"
"29","Female","Nonword","Exposure","Filler",1,3,"Domineering","Set C","Word","Tamical","Set C","Nonword","4","Male","Right","Female","Left",1,FALSE,"Filler_03_C.4_W.Domineering.M.R_N.Tamical.F.L.wav"
"30","Female","Word","Exposure","Filler",1,4,"Directory","Set A","Word","Rimkeluwar","Set A","Nonword","2","Female","Left","Male","Right",1,FALSE,"Filler_03_A.2_W.Directory.F.L_N.Rimkeluwar.M.R.wav"
"31","Female","Nonword","Exposure","Filler",1,4,"Document","Set B","Word","Rawamtee","Set B","Nonword","1","Male","Left","Female","Right",1,FALSE,"Filler_03_B.1_W.Document.M.L_N.Rawamtee.F.R.wav"
"32","Female","Nonword","Exposure","Filler",1,4,"Embody","Set C","Word","Rengime","Set C","Nonword","4","Male","Right","Female","Left",1,FALSE,"Filler_03_C.4_W.Embody.M.R_N.Rengime.F.L.wav"
"33","Female","Word","Exposure","Filler",1,5,"Dynamite","Set A","Word","Rakil","Set A","Nonword","2","Female","Left","Male","Right",1,FALSE,"Filler_03_A.2_W.Dynamite.F.L_N.Rakil.M.R.wav"
"34","Female","Nonword","Exposure","Filler",1,5,"Eighty","Set B","Word","Ploupelai","Set B","Nonword","1","Male","Left","Female","Right",1,FALSE,"Filler_03_B.1_W.Eighty.M.L_N.Ploupelai.F.R.wav"
"35","Female","Nonword","Exposure","Filler",1,5,"Gullible","Set C","Word","Pourilar","Set C","Nonword","4","Male","Right","Female","Left",1,FALSE,"Filler_03_C.4_W.Gullible.M.R_N.Pourilar.F.L.wav"
"36","Female","Word","Exposure","Filler",1,6,"Gardenia","Set A","Word","Perkum","Set A","Nonword","2","Female","Left","Male","Right",1,FALSE,"Filler_03_A.2_W.Gardenia.F.L_N.Perkum.M.R.wav"
"37","Female","Nonword","Exposure","Filler",1,6,"Grammatical","Set B","Word","Omperoge","Set B","Nonword","1","Male","Left","Female","Right",1,FALSE,"Filler_03_B.1_W.Grammatical.M.L_N.Omperoge.F.R.wav"
"38","Female","Nonword","Exposure","Filler",1,6,"Honeymoon","Set C","Word","Almikquary","Set C","Nonword","4","Male","Right","Female","Left",1,FALSE,"Filler_03_C.4_W.Honeymoon.M.R_N.Almikquary.F.L.wav"
"39","Female","Word","Exposure","Filler",1,7,"Hamburger","Set A","Word","Nomerae","Set A","Nonword","2","Female","Left","Male","Right",1,FALSE,"Filler_03_A.2_W.Hamburger.F.L_N.Nomerae.M.R.wav"
