"","Attended.Talker","Expected.Response","Phase","Item.Type","Block","Item.Number","Talker.A","Talker.A_Materials","Talker.A_Sound","Talker.B","Talker.B_Materials","Talker.B_Sound","Version","Talker.A_Gender","Talker.A_Ear","Talker.B_Gender","Talker.B_Ear","reps","feedback","filename"
"1","Female","Word","Exposure","Critical",1,1,"Ambition","Materials A","Sh","Parasite","Materials B","S","Unshifted","Male","Right","Female","Left",1,FALSE,"Critical_03_A_S.Parasite.F.L_Sh.Ambition.M.R.wav"
"2","Female","Word","Exposure","Critical",1,2,"Machinery","Materials A","Sh","Obscene","Materials B","S","Unshifted","Male","Right","Female","Left",1,FALSE,"Critical_03_A_S.Obscene.F.L_Sh.Machinery.M.R.wav"
"3","Female","Word","Exposure","Critical",1,3,"Brochure","Materials A","Sh","Medicine","Materials B","S","Unshifted","Male","Right","Female","Left",1,FALSE,"Critical_03_A_S.Medicine.F.L_Sh.Brochure.M.R.wav"
"4","Female","Word","Exposure","Critical",1,4,"Official","Materials A","Sh","Tennessee","Materials B","S","Unshifted","Male","Right","Female","Left",1,FALSE,"Critical_03_A_S.Tennessee.F.L_Sh.Official.M.R.wav"
"5","Female","Word","Exposure","Critical",1,5,"Crucial","Materials A","Sh","Penninsula","Materials B","S","Unshifted","Male","Right","Female","Left",1,FALSE,"Critical_03_A_S.Penninsula.F.L_Sh.Crucial.M.R.wav"
"6","Female","Word","Exposure","Critical",1,6,"Pediatrician","Materials A","Sh","Hallucinate","Materials B","S","Unshifted","Male","Right","Female","Left",1,FALSE,"Critical_03_A_S.Hallucinate.F.L_Sh.Pediatrician.M.R.wav"
"7","Female","Word","Exposure","Critical",1,7,"Flourishing","Materials A","Sh","Arkansas","Materials B","S","Unshifted","Male","Right","Female","Left",1,FALSE,"Critical_03_A_S.Arkansas.F.L_Sh.Flourishing.M.R.wav"
"8","Female","Word","Exposure","Critical",1,8,"Reassure","Materials A","Sh","Compensate","Materials B","S","Unshifted","Male","Right","Female","Left",1,FALSE,"Critical_03_A_S.Compensate.F.L_Sh.Reassure.M.R.wav"
"9","Female","Word","Exposure","Critical",1,9,"Graduation","Materials A","Sh","Dinosaur","Materials B","S","Unshifted","Male","Right","Female","Left",1,FALSE,"Critical_03_A_S.Dinosaur.F.L_Sh.Graduation.M.R.wav"
"10","Female","Word","Exposure","Critical",1,10,"Vacation","Materials A","Sh","Rehearsal","Materials B","S","Unshifted","Male","Right","Female","Left",1,FALSE,"Critical_03_A_S.Rehearsal.F.L_Sh.Vacation.M.R.wav"
