"","Attended.Talker","Expected.Response","Phase","Item.Type","Block","Item.Number","Talker.A","Talker.A_Materials","Talker.A_Sound","Talker.B","Talker.B_Materials","Talker.B_Sound","Version","Talker.A_Gender","Talker.A_Ear","Talker.B_Gender","Talker.B_Ear","reps","feedback","filename"
"28","Male","Nonword","Exposure","Filler",1,3,"Continually","Set B","Word","Ryligal","Set B","Nonword","3","Female","Right","Male","Left",1,FALSE,"Filler_04_B.3_W.Continually.F.R_N.Ryligal.M.L.wav"
"29","Male","Nonword","Exposure","Filler",1,3,"Domineering","Set C","Word","Tamical","Set C","Nonword","2","Female","Left","Male","Right",1,FALSE,"Filler_04_C.2_W.Domineering.F.L_N.Tamical.M.R.wav"
"30","Male","Word","Exposure","Filler",1,4,"Directory","Set A","Word","Rimkeluwar","Set A","Nonword","4","Male","Right","Female","Left",1,FALSE,"Filler_04_A.4_W.Directory.M.R_N.Rimkeluwar.F.L.wav"
"31","Male","Nonword","Exposure","Filler",1,4,"Document","Set B","Word","Rawamtee","Set B","Nonword","3","Female","Right","Male","Left",1,FALSE,"Filler_04_B.3_W.Document.F.R_N.Rawamtee.M.L.wav"
"32","Male","Nonword","Exposure","Filler",1,4,"Embody","Set C","Word","Rengime","Set C","Nonword","2","Female","Left","Male","Right",1,FALSE,"Filler_04_C.2_W.Embody.F.L_N.Rengime.M.R.wav"
"33","Male","Word","Exposure","Filler",1,5,"Dynamite","Set A","Word","Rakil","Set A","Nonword","4","Male","Right","Female","Left",1,FALSE,"Filler_04_A.4_W.Dynamite.M.R_N.Rakil.F.L.wav"
"34","Male","Nonword","Exposure","Filler",1,5,"Eighty","Set B","Word","Ploupelai","Set B","Nonword","3","Female","Right","Male","Left",1,FALSE,"Filler_04_B.3_W.Eighty.F.R_N.Ploupelai.M.L.wav"
"35","Male","Nonword","Exposure","Filler",1,5,"Gullible","Set C","Word","Pourilar","Set C","Nonword","2","Female","Left","Male","Right",1,FALSE,"Filler_04_C.2_W.Gullible.F.L_N.Pourilar.M.R.wav"
"36","Male","Word","Exposure","Filler",1,6,"Gardenia","Set A","Word","Perkum","Set A","Nonword","4","Male","Right","Female","Left",1,FALSE,"Filler_04_A.4_W.Gardenia.M.R_N.Perkum.F.L.wav"
"37","Male","Nonword","Exposure","Filler",1,6,"Grammatical","Set B","Word","Omperoge","Set B","Nonword","3","Female","Right","Male","Left",1,FALSE,"Filler_04_B.3_W.Grammatical.F.R_N.Omperoge.M.L.wav"
"38","Male","Nonword","Exposure","Filler",1,6,"Honeymoon","Set C","Word","Almikquary","Set C","Nonword","2","Female","Left","Male","Right",1,FALSE,"Filler_04_C.2_W.Honeymoon.F.L_N.Almikquary.M.R.wav"
"39","Male","Word","Exposure","Filler",1,7,"Hamburger","Set A","Word","Nomerae","Set A","Nonword","4","Male","Right","Female","Left",1,FALSE,"Filler_04_A.4_W.Hamburger.M.R_N.Nomerae.F.L.wav"
"40","Male","Nonword","Exposure","Filler",1,7,"Identical","Set B","Word","Nempring","Set B","Nonword","3","Female","Right","Male","Left",1,FALSE,"Filler_04_B.3_W.Identical.F.R_N.Nempring.M.L.wav"
"41","Male","Nonword","Exposure","Filler",1,7,"Illuminate","Set C","Word","Niritaly","Set C","Nonword","2","Female","Left","Male","Right",1,FALSE,"Filler_04_C.2_W.Illuminate.F.L_N.Niritaly.M.R.wav"
"42","Male","Word","Exposure","Filler",1,8,"Hurdle","Set A","Word","Namuary","Set A","Nonword","4","Male","Right","Female","Left",1,FALSE,"Filler_04_A.4_W.Hurdle.M.R_N.Namuary.F.L.wav"
"43","Male","Nonword","Exposure","Filler",1,8,"Interior","Set B","Word","Mibgem","Set B","Nonword","3","Female","Right","Male","Left",1,FALSE,"Filler_04_B.3_W.Interior.F.R_N.Mibgem.M.L.wav"
"44","Male","Nonword","Exposure","Filler",1,8,"Ironic","Set C","Word","Makid","Set C","Nonword","2","Female","Left","Male","Right",1,FALSE,"Filler_04_C.2_W.Ironic.F.L_N.Makid.M.R.wav"
"45","Male","Word","Exposure","Filler",1,9,"Inhabit","Set A","Word","Logelai","Set A","Nonword","4","Male","Right","Female","Left",1,FALSE,"Filler_04_A.4_W.Inhabit.M.R_N.Logelai.F.L.wav"
"46","Male","Nonword","Exposure","Filler",1,9,"Knowingly","Set B","Word","Meidnow","Set B","Nonword","3","Female","Right","Male","Left",1,FALSE,"Filler_04_B.3_W.Knowingly.F.R_N.Meidnow.M.L.wav"
"47","Male","Nonword","Exposure","Filler",1,9,"Laminate","Set C","Word","Kaldemia","Set C","Nonword","2","Female","Left","Male","Right",1,FALSE,"Filler_04_C.2_W.Laminate.F.L_N.Kaldemia.M.R.wav"
"48","Male","Word","Exposure","Filler",1,10,"Keyboard","Set A","Word","Lenediaw","Set A","Nonword","4","Male","Right","Female","Left",1,FALSE,"Filler_04_A.4_W.Keyboard.M.R_N.Lenediaw.F.L.wav"
"49","Male","Nonword","Exposure","Filler",1,10,"Lethal","Set B","Word","Kermimer","Set B","Nonword","3","Female","Right","Male","Left",1,FALSE,"Filler_04_B.3_W.Lethal.F.R_N.Kermimer.M.L.wav"
"50","Male","Nonword","Exposure","Filler",1,10,"Liability","Set C","Word","Imdalier","Set C","Nonword","2","Female","Left","Male","Right",1,FALSE,"Filler_04_C.2_W.Liability.F.L_N.Imdalier.M.R.wav"
"51","Male","Word","Exposure","Filler",1,11,"Lengthen","Set A","Word","Kelabidel","Set A","Nonword","4","Male","Right","Female","Left",1,FALSE,"Filler_04_A.4_W.Lengthen.M.R_N.Kelabidel.F.L.wav"
