"","Phase","Item.Type","Block","Item.Number","Talker.A","Talker.A_Materials","Talker.A_Sound","Talker.B","Talker.B_Materials","Talker.B_Sound","Version","Talker.A_Gender","Talker.A_Ear","Talker.B_Gender","Talker.B_Ear","rep","filename"
"37","Exposure","Filler",1,6,"Grammatical","Set B","Word","Omperoge","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_04_B.3_W.Grammatical.F.R_N.Omperoge.M.L.wav"
"38","Exposure","Filler",1,6,"Honeymoon","Set C","Word","Almikquary","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_04_C.2_W.Honeymoon.F.L_N.Almikquary.M.R.wav"
"39","Exposure","Filler",1,7,"Hamburger","Set A","Word","Nomerae","Set A","Nonword","4","Male","Right","Female","Left",1,"Filler_04_A.4_W.Hamburger.M.R_N.Nomerae.F.L.wav"
"40","Exposure","Filler",1,7,"Identical","Set B","Word","Nempring","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_04_B.3_W.Identical.F.R_N.Nempring.M.L.wav"
"41","Exposure","Filler",1,7,"Illuminate","Set C","Word","Niritaly","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_04_C.2_W.Illuminate.F.L_N.Niritaly.M.R.wav"
"42","Exposure","Filler",1,8,"Hurdle","Set A","Word","Namuary","Set A","Nonword","4","Male","Right","Female","Left",1,"Filler_04_A.4_W.Hurdle.M.R_N.Namuary.F.L.wav"
"43","Exposure","Filler",1,8,"Interior","Set B","Word","Mibgem","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_04_B.3_W.Interior.F.R_N.Mibgem.M.L.wav"
"44","Exposure","Filler",1,8,"Ironic","Set C","Word","Makid","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_04_C.2_W.Ironic.F.L_N.Makid.M.R.wav"
"45","Exposure","Filler",1,9,"Inhabit","Set A","Word","Logelai","Set A","Nonword","4","Male","Right","Female","Left",1,"Filler_04_A.4_W.Inhabit.M.R_N.Logelai.F.L.wav"
"46","Exposure","Filler",1,9,"Knowingly","Set B","Word","Meidnow","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_04_B.3_W.Knowingly.F.R_N.Meidnow.M.L.wav"
"47","Exposure","Filler",1,9,"Laminate","Set C","Word","Kaldemia","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_04_C.2_W.Laminate.F.L_N.Kaldemia.M.R.wav"
"48","Exposure","Filler",1,10,"Keyboard","Set A","Word","Lenediaw","Set A","Nonword","4","Male","Right","Female","Left",1,"Filler_04_A.4_W.Keyboard.M.R_N.Lenediaw.F.L.wav"
"49","Exposure","Filler",1,10,"Lethal","Set B","Word","Kermimer","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_04_B.3_W.Lethal.F.R_N.Kermimer.M.L.wav"
"50","Exposure","Filler",1,10,"Liability","Set C","Word","Imdalier","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_04_C.2_W.Liability.F.L_N.Imdalier.M.R.wav"
"51","Exposure","Filler",1,11,"Lengthen","Set A","Word","Kelabidel","Set A","Nonword","4","Male","Right","Female","Left",1,"Filler_04_A.4_W.Lengthen.M.R_N.Kelabidel.F.L.wav"
"52","Exposure","Filler",1,11,"Lobbying","Set B","Word","Itempider","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_04_B.3_W.Lobbying.F.R_N.Itempider.M.L.wav"
"53","Exposure","Filler",1,11,"Marina","Set C","Word","Kloumidiger","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_04_C.2_W.Marina.F.L_N.Kloumidiger.M.R.wav"
"54","Exposure","Filler",1,12,"Lingering","Set A","Word","Inpaki","Set A","Nonword","4","Male","Right","Female","Left",1,"Filler_04_A.4_W.Lingering.M.R_N.Inpaki.F.L.wav"
"55","Exposure","Filler",1,12,"Membrane","Set B","Word","Aknid","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_04_B.3_W.Membrane.F.R_N.Aknid.M.L.wav"
"56","Exposure","Filler",1,12,"Metrical","Set C","Word","Halomimoc","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_04_C.2_W.Metrical.F.L_N.Halomimoc.M.R.wav"
"57","Exposure","Filler",1,13,"Melancholy","Set A","Word","Hintarber","Set A","Nonword","4","Male","Right","Female","Left",1,"Filler_04_A.4_W.Melancholy.M.R_N.Hintarber.F.L.wav"
"58","Exposure","Filler",1,13,"Negate","Set B","Word","Ibirak","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_04_B.3_W.Negate.F.R_N.Ibirak.M.L.wav"
"59","Exposure","Filler",1,13,"Nightmare","Set C","Word","Gerbualo","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_04_C.2_W.Nightmare.F.L_N.Gerbualo.M.R.wav"
"60","Exposure","Filler",1,14,"Napkin","Set A","Word","Gardimuallay","Set A","Nonword","4","Male","Right","Female","Left",1,"Filler_04_A.4_W.Napkin.M.R_N.Gardimuallay.F.L.wav"
"61","Exposure","Filler",1,14,"Outnumber","Set B","Word","Halken","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_04_B.3_W.Outnumber.F.R_N.Halken.M.L.wav"
"62","Exposure","Filler",1,14,"Panicking","Set C","Word","Galliwinou","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_04_C.2_W.Panicking.F.L_N.Galliwinou.M.R.wav"
"63","Exposure","Filler",1,15,"Ornament","Set A","Word","Gairelom","Set A","Nonword","4","Male","Right","Female","Left",1,"Filler_04_A.4_W.Ornament.M.R_N.Gairelom.F.L.wav"
"64","Exposure","Filler",1,15,"Parakeet","Set B","Word","Ganla","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_04_B.3_W.Parakeet.F.R_N.Ganla.M.L.wav"
"65","Exposure","Filler",1,15,"Pilgrim","Set C","Word","Emhoutic","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_04_C.2_W.Pilgrim.F.L_N.Emhoutic.M.R.wav"
"66","Exposure","Filler",1,16,"Pineapple","Set A","Word","Bikanian","Set A","Nonword","4","Male","Right","Female","Left",1,"Filler_04_A.4_W.Pineapple.M.R_N.Bikanian.F.L.wav"
