"","Phase","Item.Type","Block","Item.Number","Talker.A","Talker.A_Materials","Talker.A_Sound","Talker.B","Talker.B_Materials","Talker.B_Sound","Version","Talker.A_Gender","Talker.A_Ear","Talker.B_Gender","Talker.B_Ear","rep","filename"
"1","Exposure","Critical",1,1,"Ambition","Materials A","Sh","Parasite","Materials B","S","Unshifted","Female","Left","Male","Right",1,"Critical_01.A_Sh.Ambition.F.L_NAS.Parasite.M.R.wav"
"2","Exposure","Critical",1,2,"Machinery","Materials A","Sh","Obscene","Materials B","S","Unshifted","Female","Left","Male","Right",1,"Critical_01.A_Sh.Machinery.F.L_NAS.Obscene.M.R.wav"
"3","Exposure","Critical",1,3,"Brochure","Materials A","Sh","Medicine","Materials B","S","Unshifted","Female","Left","Male","Right",1,"Critical_01.A_Sh.Brochure.F.L_NAS.Medicine.M.R.wav"
"4","Exposure","Critical",1,4,"Official","Materials A","Sh","Tennessee","Materials B","S","Unshifted","Female","Left","Male","Right",1,"Critical_01.A_Sh.Official.F.L_NAS.Tennessee.M.R.wav"
"5","Exposure","Critical",1,5,"Crucial","Materials A","Sh","Penninsula","Materials B","S","Unshifted","Female","Left","Male","Right",1,"Critical_01.A_Sh.Crucial.F.L_NAS.Penninsula.M.R.wav"
"6","Exposure","Critical",1,6,"Pediatrician","Materials A","Sh","Hallucinate","Materials B","S","Unshifted","Female","Left","Male","Right",1,"Critical_01.A_Sh.Pediatrician.F.L_NAS.Hallucinate.M.R.wav"
"7","Exposure","Critical",1,7,"Flourishing","Materials A","Sh","Arkansas","Materials B","S","Unshifted","Female","Left","Male","Right",1,"Critical_01.A_Sh.Flourishing.F.L_NAS.Arkansas.M.R.wav"
"8","Exposure","Critical",1,8,"Reassure","Materials A","Sh","Compensate","Materials B","S","Unshifted","Female","Left","Male","Right",1,"Critical_01.A_Sh.Reassure.F.L_NAS.Compensate.M.R.wav"
"9","Exposure","Critical",1,9,"Graduation","Materials A","Sh","Dinosaur","Materials B","S","Unshifted","Female","Left","Male","Right",1,"Critical_01.A_Sh.Graduation.F.L_NAS.Dinosaur.M.R.wav"
"10","Exposure","Critical",1,10,"Vacation","Materials A","Sh","Rehearsal","Materials B","S","Unshifted","Female","Left","Male","Right",1,"Critical_01.A_Sh.Vacation.F.L_NAS.Rehearsal.M.R.wav"
"11","Exposure","Critical",1,11,"Pregnancy","Materials B","S","Initial","Materials A","Sh","Shifted","Female","Left","Male","Right",1,"Critical_01.B_As.Pregnancy.F.L_A_Ash.Initial.M.R.wav"
"12","Exposure","Critical",1,12,"Democracy","Materials B","S","Beneficial","Materials A","Sh","Shifted","Female","Left","Male","Right",1,"Critical_01.B_As.Democracy.F.L_A_Ash.Beneficial.M.R.wav"
"13","Exposure","Critical",1,13,"Embassy","Materials B","S","Negotiate","Materials A","Sh","Shifted","Female","Left","Male","Right",1,"Critical_01.B_As.Embassy.F.L_A_Ash.Negotiate.M.R.wav"
"14","Exposure","Critical",1,14,"Legacy","Materials B","S","Commercial","Materials A","Sh","Shifted","Female","Left","Male","Right",1,"Critical_01.B_As.Legacy.F.L_A_Ash.Commercial.M.R.wav"
"15","Exposure","Critical",1,15,"Reconcile","Materials B","S","Parachute","Materials A","Sh","Shifted","Female","Left","Male","Right",1,"Critical_01.B_As.Reconcile.F.L_A_Ash.Parachute.M.R.wav"
"16","Exposure","Critical",1,16,"Personal","Materials B","S","Efficient","Materials A","Sh","Shifted","Female","Left","Male","Right",1,"Critical_01.B_As.Personal.F.L_A_Ash.Efficient.M.R.wav"
"17","Exposure","Critical",1,17,"Eraser","Materials B","S","Publisher","Materials A","Sh","Shifted","Female","Left","Male","Right",1,"Critical_01.B_As.Eraser.F.L_A_Ash.Publisher.M.R.wav"
"18","Exposure","Critical",1,18,"Episode","Materials B","S","Glacier","Materials A","Sh","Shifted","Female","Left","Male","Right",1,"Critical_01.B_As.Episode.F.L_A_Ash.Glacier.M.R.wav"
"19","Exposure","Critical",1,19,"Literacy","Materials B","S","Refreshing","Materials A","Sh","Shifted","Female","Left","Male","Right",1,"Critical_01.B_As.Literacy.F.L_A_Ash.Refreshing.M.R.wav"
"20","Exposure","Critical",1,20,"Coliseum","Materials B","S","Impatient","Materials A","Sh","Shifted","Female","Left","Male","Right",1,"Critical_01.B_As.Coliseum.F.L_A_Ash.Impatient.M.R.wav"
"21","Exposure","Filler",1,1,"America","Set A","Word","Wominid","Set A","Nonword","2","Female","Left","Male","Right",1,"Filler_A.02_W.America.F.L_N.Wominid.M.R.wav"
"22","Exposure","Filler",1,1,"Bakery","Set B","Word","Wojalto","Set B","Nonword","1","Male","Right","Female","Left",1,"Filler_B.01_W.Bakery.M.R_N.Wojalto.F.L.wav"
"23","Exposure","Filler",1,1,"Ballerina","Set C","Word","Youmgel","Set C","Nonword","4","Male","Left","Female","Right",1,"Filler_C.04_W.Ballerina.M.L_N.Youmgel.F.R.wav"
"24","Exposure","Filler",1,2,"Blueberry","Set A","Word","Ungelnin","Set A","Nonword","2","Female","Left","Male","Right",1,"Filler_A.02_W.Blueberry.F.L_N.Ungelnin.M.R.wav"
"25","Exposure","Filler",1,2,"Bullying","Set B","Word","Tounamplem","Set B","Nonword","1","Male","Right","Female","Left",1,"Filler_B.01_W.Bullying.M.R_N.Tounamplem.F.L.wav"
"26","Exposure","Filler",1,2,"Burglary","Set C","Word","Tymolape","Set C","Nonword","4","Male","Left","Female","Right",1,"Filler_C.04_W.Burglary.M.L_N.Tymolape.F.R.wav"
"27","Exposure","Filler",1,3,"Camera","Set A","Word","Tilegkalo","Set A","Nonword","2","Female","Left","Male","Right",1,"Filler_A.02_W.Camera.F.L_N.Tilegkalo.M.R.wav"
"28","Exposure","Filler",1,3,"Continually","Set B","Word","Ryligal","Set B","Nonword","1","Male","Right","Female","Left",1,"Filler_B.01_W.Continually.M.R_N.Ryligal.F.L.wav"
"29","Exposure","Filler",1,3,"Domineering","Set C","Word","Tamical","Set C","Nonword","4","Male","Left","Female","Right",1,"Filler_C.04_W.Domineering.M.L_N.Tamical.F.R.wav"
"30","Exposure","Filler",1,4,"Directory","Set A","Word","Rimkeluwar","Set A","Nonword","2","Female","Left","Male","Right",1,"Filler_A.02_W.Directory.F.L_N.Rimkeluwar.M.R.wav"
"31","Exposure","Filler",1,4,"Document","Set B","Word","Rawamtee","Set B","Nonword","1","Male","Right","Female","Left",1,"Filler_B.01_W.Document.M.R_N.Rawamtee.F.L.wav"
"32","Exposure","Filler",1,4,"Embody","Set C","Word","Rengime","Set C","Nonword","4","Male","Left","Female","Right",1,"Filler_C.04_W.Embody.M.L_N.Rengime.F.R.wav"
"33","Exposure","Filler",1,5,"Dynamite","Set A","Word","Rakil","Set A","Nonword","2","Female","Left","Male","Right",1,"Filler_A.02_W.Dynamite.F.L_N.Rakil.M.R.wav"
"34","Exposure","Filler",1,5,"Eighty","Set B","Word","Ploupelai","Set B","Nonword","1","Male","Right","Female","Left",1,"Filler_B.01_W.Eighty.M.R_N.Ploupelai.F.L.wav"
"35","Exposure","Filler",1,5,"Gullible","Set C","Word","Pourilar","Set C","Nonword","4","Male","Left","Female","Right",1,"Filler_C.04_W.Gullible.M.L_N.Pourilar.F.R.wav"
"36","Exposure","Filler",1,6,"Gardenia","Set A","Word","Perkum","Set A","Nonword","2","Female","Left","Male","Right",1,"Filler_A.02_W.Gardenia.F.L_N.Perkum.M.R.wav"
"37","Exposure","Filler",1,6,"Grammatical","Set B","Word","Omperoge","Set B","Nonword","1","Male","Right","Female","Left",1,"Filler_B.01_W.Grammatical.M.R_N.Omperoge.F.L.wav"
"38","Exposure","Filler",1,6,"Honeymoon","Set C","Word","Almikquary","Set C","Nonword","4","Male","Left","Female","Right",1,"Filler_C.04_W.Honeymoon.M.L_N.Almikquary.F.R.wav"
"39","Exposure","Filler",1,7,"Hamburger","Set A","Word","Nomerae","Set A","Nonword","2","Female","Left","Male","Right",1,"Filler_A.02_W.Hamburger.F.L_N.Nomerae.M.R.wav"
"40","Exposure","Filler",1,7,"Identical","Set B","Word","Nempring","Set B","Nonword","1","Male","Right","Female","Left",1,"Filler_B.01_W.Identical.M.R_N.Nempring.F.L.wav"
"41","Exposure","Filler",1,7,"Illuminate","Set C","Word","Niritaly","Set C","Nonword","4","Male","Left","Female","Right",1,"Filler_C.04_W.Illuminate.M.L_N.Niritaly.F.R.wav"
"42","Exposure","Filler",1,8,"Hurdle","Set A","Word","Namuary","Set A","Nonword","2","Female","Left","Male","Right",1,"Filler_A.02_W.Hurdle.F.L_N.Namuary.M.R.wav"
"43","Exposure","Filler",1,8,"Interior","Set B","Word","Mibgem","Set B","Nonword","1","Male","Right","Female","Left",1,"Filler_B.01_W.Interior.M.R_N.Mibgem.F.L.wav"
"44","Exposure","Filler",1,8,"Ironic","Set C","Word","Makid","Set C","Nonword","4","Male","Left","Female","Right",1,"Filler_C.04_W.Ironic.M.L_N.Makid.F.R.wav"
"45","Exposure","Filler",1,9,"Inhabit","Set A","Word","Logelai","Set A","Nonword","2","Female","Left","Male","Right",1,"Filler_A.02_W.Inhabit.F.L_N.Logelai.M.R.wav"
"46","Exposure","Filler",1,9,"Knowingly","Set B","Word","Meidnow","Set B","Nonword","1","Male","Right","Female","Left",1,"Filler_B.01_W.Knowingly.M.R_N.Meidnow.F.L.wav"
"47","Exposure","Filler",1,9,"Laminate","Set C","Word","Kaldemia","Set C","Nonword","4","Male","Left","Female","Right",1,"Filler_C.04_W.Laminate.M.L_N.Kaldemia.F.R.wav"
"48","Exposure","Filler",1,10,"Keyboard","Set A","Word","Lenediaw","Set A","Nonword","2","Female","Left","Male","Right",1,"Filler_A.02_W.Keyboard.F.L_N.Lenediaw.M.R.wav"
"49","Exposure","Filler",1,10,"Lethal","Set B","Word","Kermimer","Set B","Nonword","1","Male","Right","Female","Left",1,"Filler_B.01_W.Lethal.M.R_N.Kermimer.F.L.wav"
"50","Exposure","Filler",1,10,"Liability","Set C","Word","Imdalier","Set C","Nonword","4","Male","Left","Female","Right",1,"Filler_C.04_W.Liability.M.L_N.Imdalier.F.R.wav"
"51","Exposure","Filler",1,11,"Lengthen","Set A","Word","Kelabidel","Set A","Nonword","2","Female","Left","Male","Right",1,"Filler_A.02_W.Lengthen.F.L_N.Kelabidel.M.R.wav"
"52","Exposure","Filler",1,11,"Lobbying","Set B","Word","Itempider","Set B","Nonword","1","Male","Right","Female","Left",1,"Filler_B.01_W.Lobbying.M.R_N.Itempider.F.L.wav"
"53","Exposure","Filler",1,11,"Marina","Set C","Word","Kloumidiger","Set C","Nonword","4","Male","Left","Female","Right",1,"Filler_C.04_W.Marina.M.L_N.Kloumidiger.F.R.wav"
"54","Exposure","Filler",1,12,"Lingering","Set A","Word","Inpaki","Set A","Nonword","2","Female","Left","Male","Right",1,"Filler_A.02_W.Lingering.F.L_N.Inpaki.M.R.wav"
"55","Exposure","Filler",1,12,"Membrane","Set B","Word","Aknid","Set B","Nonword","1","Male","Right","Female","Left",1,"Filler_B.01_W.Membrane.M.R_N.Aknid.F.L.wav"
"56","Exposure","Filler",1,12,"Metrical","Set C","Word","Halomimoc","Set C","Nonword","4","Male","Left","Female","Right",1,"Filler_C.04_W.Metrical.M.L_N.Halomimoc.F.R.wav"
"57","Exposure","Filler",1,13,"Melancholy","Set A","Word","Hintarber","Set A","Nonword","2","Female","Left","Male","Right",1,"Filler_A.02_W.Melancholy.F.L_N.Hintarber.M.R.wav"
"58","Exposure","Filler",1,13,"Negate","Set B","Word","Ibirak","Set B","Nonword","1","Male","Right","Female","Left",1,"Filler_B.01_W.Negate.M.R_N.Ibirak.F.L.wav"
"59","Exposure","Filler",1,13,"Nightmare","Set C","Word","Gerbualo","Set C","Nonword","4","Male","Left","Female","Right",1,"Filler_C.04_W.Nightmare.M.L_N.Gerbualo.F.R.wav"
"60","Exposure","Filler",1,14,"Napkin","Set A","Word","Gardimuallay","Set A","Nonword","2","Female","Left","Male","Right",1,"Filler_A.02_W.Napkin.F.L_N.Gardimuallay.M.R.wav"
