"","Phase","Item.Type","Block","Item.Number","Talker.A","Talker.A_Materials","Talker.A_Sound","Talker.B","Talker.B_Materials","Talker.B_Sound","Version","Talker.A_Gender","Talker.A_Ear","Talker.B_Gender","Talker.B_Ear","rep","filename"
"31","Exposure","Filler",1,4,"Document","Set B","Word","Rawamtee","Set B","Nonword","2","Female","Left","Male","Right",1,"Filler_B.02_W.Document.F.L_N.Rawamtee.M.R.wav"
"32","Exposure","Filler",1,4,"Embody","Set C","Word","Rengime","Set C","Nonword","3","Female","Right","Male","Left",1,"Filler_C.03_W.Embody.F.R_N.Rengime.M.L.wav"
"33","Exposure","Filler",1,5,"Dynamite","Set A","Word","Rakil","Set A","Nonword","1","Male","Left","Female","Right",1,"Filler_A.01_W.Dynamite.M.L_N.Rakil.F.R.wav"
"34","Exposure","Filler",1,5,"Eighty","Set B","Word","Ploupelai","Set B","Nonword","2","Female","Left","Male","Right",1,"Filler_B.02_W.Eighty.F.L_N.Ploupelai.M.R.wav"
"35","Exposure","Filler",1,5,"Gullible","Set C","Word","Pourilar","Set C","Nonword","3","Female","Right","Male","Left",1,"Filler_C.03_W.Gullible.F.R_N.Pourilar.M.L.wav"
"36","Exposure","Filler",1,6,"Gardenia","Set A","Word","Perkum","Set A","Nonword","1","Male","Left","Female","Right",1,"Filler_A.01_W.Gardenia.M.L_N.Perkum.F.R.wav"
"37","Exposure","Filler",1,6,"Grammatical","Set B","Word","Omperoge","Set B","Nonword","2","Female","Left","Male","Right",1,"Filler_B.02_W.Grammatical.F.L_N.Omperoge.M.R.wav"
"38","Exposure","Filler",1,6,"Honeymoon","Set C","Word","Almikquary","Set C","Nonword","3","Female","Right","Male","Left",1,"Filler_C.03_W.Honeymoon.F.R_N.Almikquary.M.L.wav"
"39","Exposure","Filler",1,7,"Hamburger","Set A","Word","Nomerae","Set A","Nonword","1","Male","Left","Female","Right",1,"Filler_A.01_W.Hamburger.M.L_N.Nomerae.F.R.wav"
"40","Exposure","Filler",1,7,"Identical","Set B","Word","Nempring","Set B","Nonword","2","Female","Left","Male","Right",1,"Filler_B.02_W.Identical.F.L_N.Nempring.M.R.wav"
"41","Exposure","Filler",1,7,"Illuminate","Set C","Word","Niritaly","Set C","Nonword","3","Female","Right","Male","Left",1,"Filler_C.03_W.Illuminate.F.R_N.Niritaly.M.L.wav"
"42","Exposure","Filler",1,8,"Hurdle","Set A","Word","Namuary","Set A","Nonword","1","Male","Left","Female","Right",1,"Filler_A.01_W.Hurdle.M.L_N.Namuary.F.R.wav"
