"","Phase","Item.Type","Block","Item.Number","Talker.A","Talker.A_Materials","Talker.A_Sound","Talker.B","Talker.B_Materials","Talker.B_Sound","Version","Talker.A_Gender","Talker.A_Ear","Talker.B_Gender","Talker.B_Ear","rep","filename"
"31","Exposure","Filler",1,4,"Document","Set B","Word","Rawamtee","Set B","Nonword","1","Male","Left","Female","Right",1,"Filler_03_B.1_W.Document.M.L_N.Rawamtee.F.R.wav"
"32","Exposure","Filler",1,4,"Embody","Set C","Word","Rengime","Set C","Nonword","4","Male","Right","Female","Left",1,"Filler_03_C.4_W.Embody.M.R_N.Rengime.F.L.wav"
"33","Exposure","Filler",1,5,"Dynamite","Set A","Word","Rakil","Set A","Nonword","2","Female","Left","Male","Right",1,"Filler_03_A.2_W.Dynamite.F.L_N.Rakil.M.R.wav"
"34","Exposure","Filler",1,5,"Eighty","Set B","Word","Ploupelai","Set B","Nonword","1","Male","Left","Female","Right",1,"Filler_03_B.1_W.Eighty.M.L_N.Ploupelai.F.R.wav"
"35","Exposure","Filler",1,5,"Gullible","Set C","Word","Pourilar","Set C","Nonword","4","Male","Right","Female","Left",1,"Filler_03_C.4_W.Gullible.M.R_N.Pourilar.F.L.wav"
"36","Exposure","Filler",1,6,"Gardenia","Set A","Word","Perkum","Set A","Nonword","2","Female","Left","Male","Right",1,"Filler_03_A.2_W.Gardenia.F.L_N.Perkum.M.R.wav"
"37","Exposure","Filler",1,6,"Grammatical","Set B","Word","Omperoge","Set B","Nonword","1","Male","Left","Female","Right",1,"Filler_03_B.1_W.Grammatical.M.L_N.Omperoge.F.R.wav"
"38","Exposure","Filler",1,6,"Honeymoon","Set C","Word","Almikquary","Set C","Nonword","4","Male","Right","Female","Left",1,"Filler_03_C.4_W.Honeymoon.M.R_N.Almikquary.F.L.wav"
"39","Exposure","Filler",1,7,"Hamburger","Set A","Word","Nomerae","Set A","Nonword","2","Female","Left","Male","Right",1,"Filler_03_A.2_W.Hamburger.F.L_N.Nomerae.M.R.wav"
"40","Exposure","Filler",1,7,"Identical","Set B","Word","Nempring","Set B","Nonword","1","Male","Left","Female","Right",1,"Filler_03_B.1_W.Identical.M.L_N.Nempring.F.R.wav"
"41","Exposure","Filler",1,7,"Illuminate","Set C","Word","Niritaly","Set C","Nonword","4","Male","Right","Female","Left",1,"Filler_03_C.4_W.Illuminate.M.R_N.Niritaly.F.L.wav"
"42","Exposure","Filler",1,8,"Hurdle","Set A","Word","Namuary","Set A","Nonword","2","Female","Left","Male","Right",1,"Filler_03_A.2_W.Hurdle.F.L_N.Namuary.M.R.wav"
"43","Exposure","Filler",1,8,"Interior","Set B","Word","Mibgem","Set B","Nonword","1","Male","Left","Female","Right",1,"Filler_03_B.1_W.Interior.M.L_N.Mibgem.F.R.wav"
"44","Exposure","Filler",1,8,"Ironic","Set C","Word","Makid","Set C","Nonword","4","Male","Right","Female","Left",1,"Filler_03_C.4_W.Ironic.M.R_N.Makid.F.L.wav"
"45","Exposure","Filler",1,9,"Inhabit","Set A","Word","Logelai","Set A","Nonword","2","Female","Left","Male","Right",1,"Filler_03_A.2_W.Inhabit.F.L_N.Logelai.M.R.wav"
"46","Exposure","Filler",1,9,"Knowingly","Set B","Word","Meidnow","Set B","Nonword","1","Male","Left","Female","Right",1,"Filler_03_B.1_W.Knowingly.M.L_N.Meidnow.F.R.wav"
"47","Exposure","Filler",1,9,"Laminate","Set C","Word","Kaldemia","Set C","Nonword","4","Male","Right","Female","Left",1,"Filler_03_C.4_W.Laminate.M.R_N.Kaldemia.F.L.wav"
"48","Exposure","Filler",1,10,"Keyboard","Set A","Word","Lenediaw","Set A","Nonword","2","Female","Left","Male","Right",1,"Filler_03_A.2_W.Keyboard.F.L_N.Lenediaw.M.R.wav"
"49","Exposure","Filler",1,10,"Lethal","Set B","Word","Kermimer","Set B","Nonword","1","Male","Left","Female","Right",1,"Filler_03_B.1_W.Lethal.M.L_N.Kermimer.F.R.wav"
"50","Exposure","Filler",1,10,"Liability","Set C","Word","Imdalier","Set C","Nonword","4","Male","Right","Female","Left",1,"Filler_03_C.4_W.Liability.M.R_N.Imdalier.F.L.wav"
"51","Exposure","Filler",1,11,"Lengthen","Set A","Word","Kelabidel","Set A","Nonword","2","Female","Left","Male","Right",1,"Filler_03_A.2_W.Lengthen.F.L_N.Kelabidel.M.R.wav"
"52","Exposure","Filler",1,11,"Lobbying","Set B","Word","Itempider","Set B","Nonword","1","Male","Left","Female","Right",1,"Filler_03_B.1_W.Lobbying.M.L_N.Itempider.F.R.wav"
"53","Exposure","Filler",1,11,"Marina","Set C","Word","Kloumidiger","Set C","Nonword","4","Male","Right","Female","Left",1,"Filler_03_C.4_W.Marina.M.R_N.Kloumidiger.F.L.wav"
"54","Exposure","Filler",1,12,"Lingering","Set A","Word","Inpaki","Set A","Nonword","2","Female","Left","Male","Right",1,"Filler_03_A.2_W.Lingering.F.L_N.Inpaki.M.R.wav"
