...1,Phase,Item.Type,Item.Number,Version,Attended.Talker,Attended.Talker_Materials,Attended.Talker_Sound,Attended.Talker_Gender,Attended.Talker_Ear,Unattended.Talker,Unattended.Talker_Materials,Unattended.Talker_Sound,Unattended.Talker_Gender,Unattended.Talker_Ear,Correct.Response,reps,feedback,filename,Block
1,Exposure,Critical,1,Unshifted,Parasite,Materials A,S,Female,Left,Ambition,Materials A,Sh,Male,Right,Word,1,FALSE,Critical_S.Parasite.F.L_Sh.Ambition.M.R.wav,10
11,Exposure,Critical,11,Shifted,Initial,Materials B,Sh,Female,Left,Pregnancy,Materials B,S,Male,Right,Word,1,FALSE,Critical_Ash.Initial.F.L_As.Pregnancy.M.R.wav,10
21,Exposure,Filler,1,3,America,Set A,Word,Female,Right,Wominid,Set A,Nonword,Male,Left,Word,1,FALSE,Filler_N.Wominid.M.L_W.America.F.R.wav,10
22,Exposure,Filler,1,4,Wojalto,Set B,Nonword,Female,Left,Bakery,Set B,Word,Male,Right,Nonword,1,FALSE,Filler_N.Wojalto.F.L_W.Bakery.M.R.wav,10
23,Exposure,Filler,1,1,Youmgel,Set C,Nonword,Female,Right,Ballerina,Set C,Word,Male,Left,Nonword,1,FALSE,Filler_W.Ballerina.M.L_N.Youmgel.F.R.wav,10
51,Exposure,Filler,11,3,Lengthen,Set A,Word,Female,Right,Kelabidel,Set A,Nonword,Male,Left,Word,1,FALSE,Filler_N.Kelabidel.M.L_W.Lengthen.F.R.wav,10
52,Exposure,Filler,11,4,Itempider,Set B,Nonword,Female,Left,Lobbying,Set B,Word,Male,Right,Nonword,1,FALSE,Filler_N.Itempider.F.L_W.Lobbying.M.R.wav,10
53,Exposure,Filler,11,1,Kloumidiger,Set C,Nonword,Female,Right,Marina,Set C,Word,Male,Left,Nonword,1,FALSE,Filler_W.Marina.M.L_N.Kloumidiger.F.R.wav,10
