Phase,Item.Type,Block,Item.Number,Version,Attended.Talker,Attended.Talker_Materials,Attended.Talker_Sound,Attended.Talker_Gender,Attended.Talker_Ear,Unattended.Talker,Unattended.Talker_Materials,Unattended.Talker_Sound,Unattended.Talker_Gender,Unattended.Talker_Ear,Correct.Response,reps,feedback,filename
Exposure,Critical,1,1,Unshifted,Parasite,Materials A,S,Female,Left,Ambition,Materials A,Sh,Male,Right,word,1,FALSE,Critical_S.Parasite.F.L_Sh.Ambition.M.R.wav
Exposure,Critical,1,2,Unshifted,Obscene,Materials A,S,Female,Left,Machinery,Materials A,Sh,Male,Right,word,1,FALSE,Critical_S.Obscene.F.L_Sh.Machinery.M.R.wav
Exposure,Critical,1,3,Unshifted,Medicine,Materials A,S,Female,Left,Brochure,Materials A,Sh,Male,Right,word,1,FALSE,Critical_S.Medicine.F.L_Sh.Brochure.M.R.wav
Exposure,Critical,1,4,Unshifted,Tennessee,Materials A,S,Female,Left,Official,Materials A,Sh,Male,Right,word,1,FALSE,Critical_S.Tennessee.F.L_Sh.Official.M.R.wav
Exposure,Critical,1,5,Unshifted,Peninsula,Materials A,S,Female,Left,Crucial,Materials A,Sh,Male,Right,word,1,FALSE,Critical_S.Peninsula.F.L_Sh.Crucial.M.R.wav
Exposure,Critical,1,6,Unshifted,Hallucinate,Materials A,S,Female,Left,Pediatrician,Materials A,Sh,Male,Right,word,1,FALSE,Critical_S.Hallucinate.F.L_Sh.Pediatrician.M.R.wav
Exposure,Critical,1,7,Unshifted,Arkansas,Materials A,S,Female,Left,Flourishing,Materials A,Sh,Male,Right,word,1,FALSE,Critical_S.Arkansas.F.L_Sh.Flourishing.M.R.wav
Exposure,Critical,1,8,Unshifted,Compensate,Materials A,S,Female,Left,Reassure,Materials A,Sh,Male,Right,word,1,FALSE,Critical_S.Compensate.F.L_Sh.Reassure.M.R.wav
Exposure,Critical,1,9,Unshifted,Dinosaur,Materials A,S,Female,Left,Graduation,Materials A,Sh,Male,Right,word,1,FALSE,Critical_S.Dinosaur.F.L_Sh.Graduation.M.R.wav
Exposure,Critical,1,10,Unshifted,Rehearsal,Materials A,S,Female,Left,Vacation,Materials A,Sh,Male,Right,word,1,FALSE,Critical_S.Rehearsal.F.L_Sh.Vacation.M.R.wav
Exposure,Critical,1,11,Shifted,Initial,Materials B,Sh,Female,Left,Pregnancy,Materials B,S,Male,Right,word,1,FALSE,Critical_Ash.Initial.F.L_As.Pregnancy.M.R.wav
Exposure,Critical,1,12,Shifted,Beneficial,Materials B,Sh,Female,Left,Democracy,Materials B,S,Male,Right,word,1,FALSE,Critical_Ash.Beneficial.F.L_As.Democracy.M.R.wav
Exposure,Critical,1,13,Shifted,Negotiate,Materials B,Sh,Female,Left,Embassy,Materials B,S,Male,Right,word,1,FALSE,Critical_Ash.Negotiate.F.L_As.Embassy.M.R.wav
Exposure,Critical,1,14,Shifted,Commercial,Materials B,Sh,Female,Left,Legacy,Materials B,S,Male,Right,word,1,FALSE,Critical_Ash.Commercial.F.L_As.Legacy.M.R.wav
Exposure,Critical,1,15,Shifted,Parachute,Materials B,Sh,Female,Left,Reconcile,Materials B,S,Male,Right,word,1,FALSE,Critical_Ash.Parachute.F.L_As.Reconcile.M.R.wav
Exposure,Critical,1,16,Shifted,Efficient,Materials B,Sh,Female,Left,Personal,Materials B,S,Male,Right,word,1,FALSE,Critical_Ash.Efficient.F.L_As.Personal.M.R.wav
Exposure,Critical,1,17,Shifted,Publisher,Materials B,Sh,Female,Left,Eraser,Materials B,S,Male,Right,word,1,FALSE,Critical_Ash.Publisher.F.L_As.Eraser.M.R.wav
Exposure,Critical,1,18,Shifted,Glacier,Materials B,Sh,Female,Left,Episode,Materials B,S,Male,Right,word,1,FALSE,Critical_Ash.Glacier.F.L_As.Episode.M.R.wav
Exposure,Critical,1,19,Shifted,Refreshing,Materials B,Sh,Female,Left,Literacy,Materials B,S,Male,Right,word,1,FALSE,Critical_Ash.Refreshing.F.L_As.Literacy.M.R.wav
Exposure,Critical,1,20,Shifted,Impatient,Materials B,Sh,Female,Left,Coliseum,Materials B,S,Male,Right,word,1,FALSE,Critical_Ash.Impatient.F.L_As.Coliseum.M.R.wav
