Critical.Item_Num,Talker.A,Talker.B,Talker.A_Sound,Talker.B_Sound,Materials,Shift,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,filename,rep
1,Ambition,Parasite,Sh,S,A,Shifted,Female,Left,Male,Right,Critical_04.A_Ash.Ambition.F.L_As.Parasite.M.R.wav,1
1,Ambition,Parasite,Sh,S,A,Shifted,Female,Right,Male,Left,Critical_04.A_As.Parasite.M.L_Ash.Ambition.F.R.wav,1
2,Machinery,Obscene,Sh,S,A,Shifted,Female,Left,Male,Right,Critical_04.A_Ash.Machinery.F.L_As.Obscene.M.R.wav,1
2,Machinery,Obscene,Sh,S,A,Shifted,Female,Right,Male,Left,Critical_04.A_As.Obscene.M.L_Ash.Machinery.F.R.wav,1
3,Brochure,Medicine,Sh,S,A,Shifted,Female,Left,Male,Right,Critical_04.A_Ash.Brochure.F.L_As.Medicine.M.R.wav,1
3,Brochure,Medicine,Sh,S,A,Shifted,Female,Right,Male,Left,Critical_04.A_As.Medicine.M.L_Ash.Brochure.F.R.wav,1
4,Official,Tennessee,Sh,S,A,Shifted,Female,Left,Male,Right,Critical_04.A_Ash.Official.F.L_As.Tennessee.M.R.wav,1
4,Official,Tennessee,Sh,S,A,Shifted,Female,Right,Male,Left,Critical_04.A_As.Tennessee.M.L_Ash.Official.F.R.wav,1
5,Crucial,Penninsula,Sh,S,A,Shifted,Female,Left,Male,Right,Critical_04.A_Ash.Crucial.F.L_As.Penninsula.M.R.wav,1
5,Crucial,Penninsula,Sh,S,A,Shifted,Female,Right,Male,Left,Critical_04.A_As.Penninsula.M.L_Ash.Crucial.F.R.wav,1
6,Pediatrician,Hallucinate,Sh,S,B,Unshifted,Female,Left,Male,Right,Critical_04.B_Sh.Pediatrician.F.L_S.Hallucinate.M.R.wav,1
6,Pediatrician,Hallucinate,Sh,S,B,Unshifted,Female,Right,Male,Left,Critical_04.B_S.Hallucinate.M.L_Sh.Pediatrician.F.R.wav,1
7,Flourishing,Arkansas,Sh,S,B,Unshifted,Female,Left,Male,Right,Critical_04.B_Sh.Flourishing.F.L_S.Arkansas.M.R.wav,1
7,Flourishing,Arkansas,Sh,S,B,Unshifted,Female,Right,Male,Left,Critical_04.B_S.Arkansas.M.L_Sh.Flourishing.F.R.wav,1
8,Reassure,Compensate,Sh,S,B,Unshifted,Female,Left,Male,Right,Critical_04.B_Sh.Reassure.F.L_S.Compensate.M.R.wav,1
8,Reassure,Compensate,Sh,S,B,Unshifted,Female,Right,Male,Left,Critical_04.B_S.Compensate.M.L_Sh.Reassure.F.R.wav,1
9,Graduation,Dinosaur,Sh,S,B,Unshifted,Female,Left,Male,Right,Critical_04.B_Sh.Graduation.F.L_S.Dinosaur.M.R.wav,1
9,Graduation,Dinosaur,Sh,S,B,Unshifted,Female,Right,Male,Left,Critical_04.B_S.Dinosaur.M.L_Sh.Graduation.F.R.wav,1
10,Vacation,Rehearsal,Sh,S,B,Unshifted,Female,Left,Male,Right,Critical_04.B_Sh.Vacation.F.L_S.Rehearsal.M.R.wav,1
10,Vacation,Rehearsal,Sh,S,B,Unshifted,Female,Right,Male,Left,Critical_04.B_S.Rehearsal.M.L_Sh.Vacation.F.R.wav,1
