Critical.Item_Num,Talker.A,Talker.B,Talker.A_Sound,Talker.B_Sound,Materials,Shift,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,filename,rep
1,Ambition,Parasite,Sh,S,A,Unshifted,Male,Left,Female,Right,Critical_07.A_Sh.Ambition.M.L_S.Parasite.F.R.wav,1
1,Ambition,Parasite,Sh,S,A,Unshifted,Male,Right,Female,Left,Critical_07.A_S.Parasite.F.L_Sh.Ambition.M.R.wav,1
2,Machinery,Obscene,Sh,S,A,Unshifted,Male,Left,Female,Right,Critical_07.A_Sh.Machinery.M.L_S.Obscene.F.R.wav,1
2,Machinery,Obscene,Sh,S,A,Unshifted,Male,Right,Female,Left,Critical_07.A_S.Obscene.F.L_Sh.Machinery.M.R.wav,1
3,Brochure,Medicine,Sh,S,A,Unshifted,Male,Left,Female,Right,Critical_07.A_Sh.Brochure.M.L_S.Medicine.F.R.wav,1
3,Brochure,Medicine,Sh,S,A,Unshifted,Male,Right,Female,Left,Critical_07.A_S.Medicine.F.L_Sh.Brochure.M.R.wav,1
4,Official,Tennessee,Sh,S,A,Unshifted,Male,Left,Female,Right,Critical_07.A_Sh.Official.M.L_S.Tennessee.F.R.wav,1
4,Official,Tennessee,Sh,S,A,Unshifted,Male,Right,Female,Left,Critical_07.A_S.Tennessee.F.L_Sh.Official.M.R.wav,1
5,Crucial,Penninsula,Sh,S,A,Unshifted,Male,Left,Female,Right,Critical_07.A_Sh.Crucial.M.L_S.Penninsula.F.R.wav,1
5,Crucial,Penninsula,Sh,S,A,Unshifted,Male,Right,Female,Left,Critical_07.A_S.Penninsula.F.L_Sh.Crucial.M.R.wav,1
6,Pediatrician,Hallucinate,Sh,S,B,Shifted,Male,Left,Female,Right,Critical_07.B_Ash.Pediatrician.M.L_As.Hallucinate.F.R.wav,1
6,Pediatrician,Hallucinate,Sh,S,B,Shifted,Male,Right,Female,Left,Critical_07.B_As.Hallucinate.F.L_Ash.Pediatrician.M.R.wav,1
7,Flourishing,Arkansas,Sh,S,B,Shifted,Male,Left,Female,Right,Critical_07.B_Ash.Flourishing.M.L_As.Arkansas.F.R.wav,1
7,Flourishing,Arkansas,Sh,S,B,Shifted,Male,Right,Female,Left,Critical_07.B_As.Arkansas.F.L_Ash.Flourishing.M.R.wav,1
8,Reassure,Compensate,Sh,S,B,Shifted,Male,Left,Female,Right,Critical_07.B_Ash.Reassure.M.L_As.Compensate.F.R.wav,1
8,Reassure,Compensate,Sh,S,B,Shifted,Male,Right,Female,Left,Critical_07.B_As.Compensate.F.L_Ash.Reassure.M.R.wav,1
9,Graduation,Dinosaur,Sh,S,B,Shifted,Male,Left,Female,Right,Critical_07.B_Ash.Graduation.M.L_As.Dinosaur.F.R.wav,1
9,Graduation,Dinosaur,Sh,S,B,Shifted,Male,Right,Female,Left,Critical_07.B_As.Dinosaur.F.L_Ash.Graduation.M.R.wav,1
10,Vacation,Rehearsal,Sh,S,B,Shifted,Male,Left,Female,Right,Critical_07.B_Ash.Vacation.M.L_As.Rehearsal.F.R.wav,1
10,Vacation,Rehearsal,Sh,S,B,Shifted,Male,Right,Female,Left,Critical_07.B_As.Rehearsal.F.L_Ash.Vacation.M.R.wav,1
