Critical.Item_Num,Talker.A,Talker.B,Talker.A_Sound,Talker.B_Sound,Materials,Shift,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,filename,rep
11,Pregnancy,Initial,S,Sh,A,Shifted,Female,Left,Male,Right,Critical_02.A_As.Pregnancy.F.L_Ash.Initial.M.R.wav,1
11,Pregnancy,Initial,S,Sh,A,Shifted,Female,Right,Male,Left,Critical_02.A_Ash.Initial.M.L_As.Pregnancy.F.R.wav,1
12,Democracy,Beneficial,S,Sh,A,Shifted,Female,Left,Male,Right,Critical_02.A_As.Democracy.F.L_Ash.Beneficial.M.R.wav,1
12,Democracy,Beneficial,S,Sh,A,Shifted,Female,Right,Male,Left,Critical_02.A_Ash.Beneficial.M.L_As.Democracy.F.R.wav,1
13,Embassy,Negotiate,S,Sh,A,Shifted,Female,Left,Male,Right,Critical_02.A_As.Embassy.F.L_Ash.Negotiate.M.R.wav,1
13,Embassy,Negotiate,S,Sh,A,Shifted,Female,Right,Male,Left,Critical_02.A_Ash.Negotiate.M.L_As.Embassy.F.R.wav,1
14,Legacy,Commercial,S,Sh,A,Shifted,Female,Left,Male,Right,Critical_02.A_As.Legacy.F.L_Ash.Commercial.M.R.wav,1
14,Legacy,Commercial,S,Sh,A,Shifted,Female,Right,Male,Left,Critical_02.A_Ash.Commercial.M.L_As.Legacy.F.R.wav,1
15,Reconcile,Parachute,S,Sh,A,Shifted,Female,Left,Male,Right,Critical_02.A_As.Reconcile.F.L_Ash.Parachute.M.R.wav,1
15,Reconcile,Parachute,S,Sh,A,Shifted,Female,Right,Male,Left,Critical_02.A_Ash.Parachute.M.L_As.Reconcile.F.R.wav,1
16,Personal,Efficient,S,Sh,B,Unshifted,Female,Left,Male,Right,Critical_02.B_S.Personal.F.L_Sh.Efficient.M.R.wav,1
16,Personal,Efficient,S,Sh,B,Unshifted,Female,Right,Male,Left,Critical_02.B_Sh.Efficient.M.L_S.Personal.F.R.wav,1
17,Eraser,Publisher,S,Sh,B,Unshifted,Female,Left,Male,Right,Critical_02.B_S.Eraser.F.L_Sh.Publisher.M.R.wav,1
17,Eraser,Publisher,S,Sh,B,Unshifted,Female,Right,Male,Left,Critical_02.B_Sh.Publisher.M.L_S.Eraser.F.R.wav,1
18,Episode,Glacier,S,Sh,B,Unshifted,Female,Left,Male,Right,Critical_02.B_S.Episode.F.L_Sh.Glacier.M.R.wav,1
18,Episode,Glacier,S,Sh,B,Unshifted,Female,Right,Male,Left,Critical_02.B_Sh.Glacier.M.L_S.Episode.F.R.wav,1
19,Literacy,Refreshing,S,Sh,B,Unshifted,Female,Left,Male,Right,Critical_02.B_S.Literacy.F.L_Sh.Refreshing.M.R.wav,1
19,Literacy,Refreshing,S,Sh,B,Unshifted,Female,Right,Male,Left,Critical_02.B_Sh.Refreshing.M.L_S.Literacy.F.R.wav,1
20,Coliseum,Impatient,S,Sh,B,Unshifted,Female,Left,Male,Right,Critical_02.B_S.Coliseum.F.L_Sh.Impatient.M.R.wav,1
20,Coliseum,Impatient,S,Sh,B,Unshifted,Female,Right,Male,Left,Critical_02.B_Sh.Impatient.M.L_S.Coliseum.F.R.wav,1
