Critical.Item_Num,Talker.A,Talker.B,Talker.A_Sound,Talker.B_Sound,Materials,Shift,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,filename,rep
11,Pregnancy,Initial,S,Sh,A,Unshifted,Female,Left,Male,Right,Critical_01.A_S.Pregnancy.F.L_Sh.Initial.M.R.wav,1
11,Pregnancy,Initial,S,Sh,A,Unshifted,Female,Right,Male,Left,Critical_01.A_Sh.Initial.M.L_S.Pregnancy.F.R.wav,1
12,Democracy,Beneficial,S,Sh,A,Unshifted,Female,Left,Male,Right,Critical_01.A_S.Democracy.F.L_Sh.Beneficial.M.R.wav,1
12,Democracy,Beneficial,S,Sh,A,Unshifted,Female,Right,Male,Left,Critical_01.A_Sh.Beneficial.M.L_S.Democracy.F.R.wav,1
13,Embassy,Negotiate,S,Sh,A,Unshifted,Female,Left,Male,Right,Critical_01.A_S.Embassy.F.L_Sh.Negotiate.M.R.wav,1
13,Embassy,Negotiate,S,Sh,A,Unshifted,Female,Right,Male,Left,Critical_01.A_Sh.Negotiate.M.L_S.Embassy.F.R.wav,1
14,Legacy,Commercial,S,Sh,A,Unshifted,Female,Left,Male,Right,Critical_01.A_S.Legacy.F.L_Sh.Commercial.M.R.wav,1
14,Legacy,Commercial,S,Sh,A,Unshifted,Female,Right,Male,Left,Critical_01.A_Sh.Commercial.M.L_S.Legacy.F.R.wav,1
15,Reconcile,Parachute,S,Sh,A,Unshifted,Female,Left,Male,Right,Critical_01.A_S.Reconcile.F.L_Sh.Parachute.M.R.wav,1
15,Reconcile,Parachute,S,Sh,A,Unshifted,Female,Right,Male,Left,Critical_01.A_Sh.Parachute.M.L_S.Reconcile.F.R.wav,1
16,Personal,Efficient,S,Sh,B,Shifted,Female,Left,Male,Right,Critical_01.B_As.Personal.F.L_Ash.Efficient.M.R.wav,1
16,Personal,Efficient,S,Sh,B,Shifted,Female,Right,Male,Left,Critical_01.B_Ash.Efficient.M.L_As.Personal.F.R.wav,1
17,Eraser,Publisher,S,Sh,B,Shifted,Female,Left,Male,Right,Critical_01.B_As.Eraser.F.L_Ash.Publisher.M.R.wav,1
17,Eraser,Publisher,S,Sh,B,Shifted,Female,Right,Male,Left,Critical_01.B_Ash.Publisher.M.L_As.Eraser.F.R.wav,1
18,Episode,Glacier,S,Sh,B,Shifted,Female,Left,Male,Right,Critical_01.B_As.Episode.F.L_Ash.Glacier.M.R.wav,1
18,Episode,Glacier,S,Sh,B,Shifted,Female,Right,Male,Left,Critical_01.B_Ash.Glacier.M.L_As.Episode.F.R.wav,1
19,Literacy,Refreshing,S,Sh,B,Shifted,Female,Left,Male,Right,Critical_01.B_As.Literacy.F.L_Ash.Refreshing.M.R.wav,1
19,Literacy,Refreshing,S,Sh,B,Shifted,Female,Right,Male,Left,Critical_01.B_Ash.Refreshing.M.L_As.Literacy.F.R.wav,1
20,Coliseum,Impatient,S,Sh,B,Shifted,Female,Left,Male,Right,Critical_01.B_As.Coliseum.F.L_Ash.Impatient.M.R.wav,1
20,Coliseum,Impatient,S,Sh,B,Shifted,Female,Right,Male,Left,Critical_01.B_Ash.Impatient.M.L_As.Coliseum.F.R.wav,1
