Critical.Item_Num,Talker.A,Talker.B,Talker.A_Sound,Talker.B_Sound,Materials,Shift,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,filename,rep
11,Pregnancy,Initial,S,Sh,A,Shifted,Male,Left,Female,Right,Critical_06.A_As.Pregnancy.M.L_Ash.Initial.F.R.wav,1
11,Pregnancy,Initial,S,Sh,A,Shifted,Male,Right,Female,Left,Critical_06.A_Ash.Initial.F.L_As.Pregnancy.M.R.wav,1
12,Democracy,Beneficial,S,Sh,A,Shifted,Male,Left,Female,Right,Critical_06.A_As.Democracy.M.L_Ash.Beneficial.F.R.wav,1
12,Democracy,Beneficial,S,Sh,A,Shifted,Male,Right,Female,Left,Critical_06.A_Ash.Beneficial.F.L_As.Democracy.M.R.wav,1
13,Embassy,Negotiate,S,Sh,A,Shifted,Male,Left,Female,Right,Critical_06.A_As.Embassy.M.L_Ash.Negotiate.F.R.wav,1
13,Embassy,Negotiate,S,Sh,A,Shifted,Male,Right,Female,Left,Critical_06.A_Ash.Negotiate.F.L_As.Embassy.M.R.wav,1
14,Legacy,Commercial,S,Sh,A,Shifted,Male,Left,Female,Right,Critical_06.A_As.Legacy.M.L_Ash.Commercial.F.R.wav,1
14,Legacy,Commercial,S,Sh,A,Shifted,Male,Right,Female,Left,Critical_06.A_Ash.Commercial.F.L_As.Legacy.M.R.wav,1
15,Reconcile,Parachute,S,Sh,A,Shifted,Male,Left,Female,Right,Critical_06.A_As.Reconcile.M.L_Ash.Parachute.F.R.wav,1
15,Reconcile,Parachute,S,Sh,A,Shifted,Male,Right,Female,Left,Critical_06.A_Ash.Parachute.F.L_As.Reconcile.M.R.wav,1
16,Personal,Efficient,S,Sh,B,Unshifted,Male,Left,Female,Right,Critical_06.B_S.Personal.M.L_Sh.Efficient.F.R.wav,1
16,Personal,Efficient,S,Sh,B,Unshifted,Male,Right,Female,Left,Critical_06.B_Sh.Efficient.F.L_S.Personal.M.R.wav,1
17,Eraser,Publisher,S,Sh,B,Unshifted,Male,Left,Female,Right,Critical_06.B_S.Eraser.M.L_Sh.Publisher.F.R.wav,1
17,Eraser,Publisher,S,Sh,B,Unshifted,Male,Right,Female,Left,Critical_06.B_Sh.Publisher.F.L_S.Eraser.M.R.wav,1
18,Episode,Glacier,S,Sh,B,Unshifted,Male,Left,Female,Right,Critical_06.B_S.Episode.M.L_Sh.Glacier.F.R.wav,1
18,Episode,Glacier,S,Sh,B,Unshifted,Male,Right,Female,Left,Critical_06.B_Sh.Glacier.F.L_S.Episode.M.R.wav,1
19,Literacy,Refreshing,S,Sh,B,Unshifted,Male,Left,Female,Right,Critical_06.B_S.Literacy.M.L_Sh.Refreshing.F.R.wav,1
19,Literacy,Refreshing,S,Sh,B,Unshifted,Male,Right,Female,Left,Critical_06.B_Sh.Refreshing.F.L_S.Literacy.M.R.wav,1
20,Coliseum,Impatient,S,Sh,B,Unshifted,Male,Left,Female,Right,Critical_06.B_S.Coliseum.M.L_Sh.Impatient.F.R.wav,1
20,Coliseum,Impatient,S,Sh,B,Unshifted,Male,Right,Female,Left,Critical_06.B_Sh.Impatient.F.L_S.Coliseum.M.R.wav,1
