Critical.Item_Num,Talker.A,Talker.B,Talker.A_Sound,Talker.B_Sound,Materials,Shift,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,filename,rep
11,Pregnancy,Initial,S,Sh,A,Unshifted,Male,Left,Female,Right,Critical_05.A_S.Pregnancy.M.L_Sh.Initial.F.R.wav,1
11,Pregnancy,Initial,S,Sh,A,Unshifted,Male,Right,Female,Left,Critical_05.A_Sh.Initial.F.L_S.Pregnancy.M.R.wav,1
12,Democracy,Beneficial,S,Sh,A,Unshifted,Male,Left,Female,Right,Critical_05.A_S.Democracy.M.L_Sh.Beneficial.F.R.wav,1
12,Democracy,Beneficial,S,Sh,A,Unshifted,Male,Right,Female,Left,Critical_05.A_Sh.Beneficial.F.L_S.Democracy.M.R.wav,1
13,Embassy,Negotiate,S,Sh,A,Unshifted,Male,Left,Female,Right,Critical_05.A_S.Embassy.M.L_Sh.Negotiate.F.R.wav,1
13,Embassy,Negotiate,S,Sh,A,Unshifted,Male,Right,Female,Left,Critical_05.A_Sh.Negotiate.F.L_S.Embassy.M.R.wav,1
14,Legacy,Commercial,S,Sh,A,Unshifted,Male,Left,Female,Right,Critical_05.A_S.Legacy.M.L_Sh.Commercial.F.R.wav,1
14,Legacy,Commercial,S,Sh,A,Unshifted,Male,Right,Female,Left,Critical_05.A_Sh.Commercial.F.L_S.Legacy.M.R.wav,1
15,Reconcile,Parachute,S,Sh,A,Unshifted,Male,Left,Female,Right,Critical_05.A_S.Reconcile.M.L_Sh.Parachute.F.R.wav,1
15,Reconcile,Parachute,S,Sh,A,Unshifted,Male,Right,Female,Left,Critical_05.A_Sh.Parachute.F.L_S.Reconcile.M.R.wav,1
16,Personal,Efficient,S,Sh,B,Shifted,Male,Left,Female,Right,Critical_05.B_As.Personal.M.L_Ash.Efficient.F.R.wav,1
16,Personal,Efficient,S,Sh,B,Shifted,Male,Right,Female,Left,Critical_05.B_Ash.Efficient.F.L_As.Personal.M.R.wav,1
17,Eraser,Publisher,S,Sh,B,Shifted,Male,Left,Female,Right,Critical_05.B_As.Eraser.M.L_Ash.Publisher.F.R.wav,1
17,Eraser,Publisher,S,Sh,B,Shifted,Male,Right,Female,Left,Critical_05.B_Ash.Publisher.F.L_As.Eraser.M.R.wav,1
18,Episode,Glacier,S,Sh,B,Shifted,Male,Left,Female,Right,Critical_05.B_As.Episode.M.L_Ash.Glacier.F.R.wav,1
18,Episode,Glacier,S,Sh,B,Shifted,Male,Right,Female,Left,Critical_05.B_Ash.Glacier.F.L_As.Episode.M.R.wav,1
19,Literacy,Refreshing,S,Sh,B,Shifted,Male,Left,Female,Right,Critical_05.B_As.Literacy.M.L_Ash.Refreshing.F.R.wav,1
19,Literacy,Refreshing,S,Sh,B,Shifted,Male,Right,Female,Left,Critical_05.B_Ash.Refreshing.F.L_As.Literacy.M.R.wav,1
20,Coliseum,Impatient,S,Sh,B,Shifted,Male,Left,Female,Right,Critical_05.B_As.Coliseum.M.L_Ash.Impatient.F.R.wav,1
20,Coliseum,Impatient,S,Sh,B,Shifted,Male,Right,Female,Left,Critical_05.B_Ash.Impatient.F.L_As.Coliseum.M.R.wav,1
