Critical.Item_Num,Talker.A,Talker.B,Talker.A_Sound,Talker.B_Sound,Materials,Shift,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,filename,rep
1,Ambition,Parasite,Sh,S,A,Shifted,Male,Left,Female,Right,Critical_08.A_Ash.Ambition.M.L_As.Parasite.F.R.wav,1
1,Ambition,Parasite,Sh,S,A,Shifted,Male,Right,Female,Left,Critical_08.A_As.Parasite.F.L_Ash.Ambition.M.R.wav,1
2,Machinery,Obscene,Sh,S,A,Shifted,Male,Left,Female,Right,Critical_08.A_Ash.Machinery.M.L_As.Obscene.F.R.wav,1
2,Machinery,Obscene,Sh,S,A,Shifted,Male,Right,Female,Left,Critical_08.A_As.Obscene.F.L_Ash.Machinery.M.R.wav,1
3,Brochure,Medicine,Sh,S,A,Shifted,Male,Left,Female,Right,Critical_08.A_Ash.Brochure.M.L_As.Medicine.F.R.wav,1
3,Brochure,Medicine,Sh,S,A,Shifted,Male,Right,Female,Left,Critical_08.A_As.Medicine.F.L_Ash.Brochure.M.R.wav,1
4,Official,Tennessee,Sh,S,A,Shifted,Male,Left,Female,Right,Critical_08.A_Ash.Official.M.L_As.Tennessee.F.R.wav,1
4,Official,Tennessee,Sh,S,A,Shifted,Male,Right,Female,Left,Critical_08.A_As.Tennessee.F.L_Ash.Official.M.R.wav,1
5,Crucial,Penninsula,Sh,S,A,Shifted,Male,Left,Female,Right,Critical_08.A_Ash.Crucial.M.L_As.Penninsula.F.R.wav,1
5,Crucial,Penninsula,Sh,S,A,Shifted,Male,Right,Female,Left,Critical_08.A_As.Penninsula.F.L_Ash.Crucial.M.R.wav,1
6,Pediatrician,Hallucinate,Sh,S,B,Unshifted,Male,Left,Female,Right,Critical_08.B_Sh.Pediatrician.M.L_S.Hallucinate.F.R.wav,1
6,Pediatrician,Hallucinate,Sh,S,B,Unshifted,Male,Right,Female,Left,Critical_08.B_S.Hallucinate.F.L_Sh.Pediatrician.M.R.wav,1
7,Flourishing,Arkansas,Sh,S,B,Unshifted,Male,Left,Female,Right,Critical_08.B_Sh.Flourishing.M.L_S.Arkansas.F.R.wav,1
7,Flourishing,Arkansas,Sh,S,B,Unshifted,Male,Right,Female,Left,Critical_08.B_S.Arkansas.F.L_Sh.Flourishing.M.R.wav,1
8,Reassure,Compensate,Sh,S,B,Unshifted,Male,Left,Female,Right,Critical_08.B_Sh.Reassure.M.L_S.Compensate.F.R.wav,1
8,Reassure,Compensate,Sh,S,B,Unshifted,Male,Right,Female,Left,Critical_08.B_S.Compensate.F.L_Sh.Reassure.M.R.wav,1
9,Graduation,Dinosaur,Sh,S,B,Unshifted,Male,Left,Female,Right,Critical_08.B_Sh.Graduation.M.L_S.Dinosaur.F.R.wav,1
9,Graduation,Dinosaur,Sh,S,B,Unshifted,Male,Right,Female,Left,Critical_08.B_S.Dinosaur.F.L_Sh.Graduation.M.R.wav,1
10,Vacation,Rehearsal,Sh,S,B,Unshifted,Male,Left,Female,Right,Critical_08.B_Sh.Vacation.M.L_S.Rehearsal.F.R.wav,1
10,Vacation,Rehearsal,Sh,S,B,Unshifted,Male,Right,Female,Left,Critical_08.B_S.Rehearsal.F.L_Sh.Vacation.M.R.wav,1
