workerid,proliferate.condition,exposure5Resp,error
379,Condition.5_F_L_A_S_01_B_0_0,"exposure5,0,2,Filler_N.Rimkeluwar.M.L_W.Directory.F.R.wav,88,word,1677090215063,1677090216595,1532,,false;exposure5,1,4,Filler_W.Embody.M.L_N.Rengime.F.R.wav,77,non-word,1677090217607,1677090219206,1599,,false;exposure5,2,6,Filler_N.Halken.F.L_W.Outnumber.M.R.wav,77,non-word,1677090220211,1677090221556,1345,,false;exposure5,3,3,Filler_N.Rawamtee.F.L_W.Document.M.R.wav,77,non-word,1677090222567,1677090224115,1548,,false;exposure5,4,5,Filler_N.Gardimuallay.M.L_W.Napkin.F.R.wav,88,word,1677090225127,1677090226763,1636,,false;exposure5,5,1,Critical_Sh.Commercial.F.L_S.Legacy.M.R.wav,88,word,1677090227771,1677090229285,1514,,false;exposure5,6,0,Critical_As.Tennessee.F.L_Ash.Official.M.R.wav,77,non-word,1677090230291,1677090231943,1652,,false;exposure5,7,7,Filler_W.Panicking.M.L_N.Galliwinou.F.R.wav,77,non-word,1677090232955,1677090234447,1492,,false;",
390,Condition.38_M_L_A_S_01_B_0_1,"exposure5,0,3,Filler_N.Rawamtee.M.L_W.Document.F.R.wav,77,non-word,1677292523136,1677292525552,2416,,false;exposure5,1,2,Filler_N.Rimkeluwar.F.L_W.Directory.M.R.wav,88,word,1677292526564,1677292528577,2013,,false;exposure5,2,4,Filler_W.Embody.F.L_N.Rengime.M.R.wav,77,non-word,1677292529587,1677292531716,2129,,false;exposure5,3,0,Critical_As.Tennessee.M.L_Ash.Official.F.R.wav,88,word,1677292532723,1677292534845,2122,,false;exposure5,4,1,Critical_Sh.Commercial.M.L_S.Legacy.F.R.wav,88,word,1677292535866,1677292537947,2081,,false;exposure5,5,7,Filler_W.Panicking.F.L_N.Galliwinou.M.R.wav,77,non-word,1677292538961,1677292541052,2091,,false;exposure5,6,5,Filler_N.Gardimuallay.F.L_W.Napkin.M.R.wav,88,word,1677292542069,1677292545197,3128,,false;exposure5,7,6,Filler_N.Halken.M.L_W.Outnumber.F.R.wav,77,non-word,1677292546206,1677292549051,2845,,false;",
372,Condition.11_F_L_A_S_05_A_1_0,"exposure5,0,6,Filler_N.Admunker.F.L_W.Worldly.M.R.wav,88,non-word,1676840878624,1676840880298,1674,,false;exposure5,1,3,Filler_N.Kermimer.F.L_W.Lethal.M.R.wav,88,non-word,1676840881320,1676840882729,1409,,false;exposure5,2,0,Critical_As.Rehearsal.F.L_Ash.Vacation.M.R.wav,77,word,1676840883733,1676840885203,1470,,false;exposure5,3,7,Filler_W.Wrinkle.M.L_N.Aigi.F.R.wav,88,non-word,1676840886217,1676840887776,1559,,false;exposure5,4,5,Filler_N.Acomining.M.L_W.Wealthy.F.R.wav,77,word,1676840888797,1676840890714,1917,,false;exposure5,5,2,Filler_N.Lenediaw.M.L_W.Keyboard.F.R.wav,77,word,1676840891726,1676840893294,1568,,false;exposure5,6,1,Critical_Sh.Impatient.F.L_S.Coliseum.M.R.wav,77,word,1676840894311,1676840895808,1497,,false;exposure5,7,4,Filler_W.Liability.M.L_N.Imdalier.F.R.wav,88,non-word,1676840896822,1676840899746,2924,,false;",
387,Condition.47_M_L_A_S_05_B_1_0,"exposure5,0,7,Filler_W.Wrinkle.F.L_N.Aigi.M.R.wav,88,non-word,1677165241221,1677165242669,1448,,false;exposure5,1,0,Critical_As.Rehearsal.M.L_Ash.Vacation.F.R.wav,77,word,1677165243677,1677165245506,1829,,false;exposure5,2,3,Filler_N.Kermimer.M.L_W.Lethal.F.R.wav,88,non-word,1677165246517,1677165248426,1909,,false;exposure5,3,4,Filler_W.Liability.F.L_N.Imdalier.M.R.wav,88,non-word,1677165249436,1677165251539,2103,,false;exposure5,4,2,Filler_N.Lenediaw.F.L_W.Keyboard.M.R.wav,77,word,1677165252550,1677165254650,2100,,false;exposure5,5,1,Critical_Sh.Impatient.M.L_S.Coliseum.F.R.wav,77,word,1677165255662,1677165257518,1856,,false;exposure5,6,6,Filler_N.Admunker.M.L_W.Worldly.F.R.wav,88,non-word,1677165258524,1677165260188,1664,,false;exposure5,7,5,Filler_N.Acomining.F.L_W.Wealthy.M.R.wav,77,word,1677165261197,1677165263038,1841,,false;",
382,Condition.45_M_L_A_S_05_B_0_0,"exposure5,0,3,Filler_N.Kermimer.M.L_W.Lethal.F.R.wav,77,non-word,1677140447901,1677140449864,1963,,false;exposure5,1,2,Filler_N.Lenediaw.F.L_W.Keyboard.M.R.wav,88,word,1677140450875,1677140452323,1448,,false;exposure5,2,0,Critical_As.Rehearsal.M.L_Ash.Vacation.F.R.wav,88,word,1677140453328,1677140454904,1576,,false;exposure5,3,1,Critical_Sh.Impatient.M.L_S.Coliseum.F.R.wav,88,word,1677140455917,1677140457423,1506,,false;exposure5,4,7,Filler_W.Wrinkle.F.L_N.Aigi.M.R.wav,77,non-word,1677140458434,1677140460393,1959,,false;exposure5,5,4,Filler_W.Liability.F.L_N.Imdalier.M.R.wav,88,word,1677140461400,1677140463153,1753,,false;exposure5,6,6,Filler_N.Admunker.M.L_W.Worldly.F.R.wav,77,non-word,1677140464164,1677140465808,1644,,false;exposure5,7,5,Filler_N.Acomining.F.L_W.Wealthy.M.R.wav,88,word,1677140466821,1677140468343,1522,,false;",
