workerid,proliferate.condition,exposure1Resp,error
379,Condition.5_F_L_A_S_01_B_0_0,"exposure1,0,7,Filler_W.Wrinkle.M.L_N.Aigi.F.R.wav,77,non-word,1677090126346,1677090128776,2430,,false;exposure1,1,4,Filler_W.Liability.M.L_N.Imdalier.F.R.wav,77,non-word,1677090129782,1677090132260,2478,,false;exposure1,2,5,Filler_N.Acomining.M.L_W.Wealthy.F.R.wav,88,word,1677090133275,1677090135196,1921,,false;exposure1,3,0,Critical_As.Rehearsal.F.L_Ash.Vacation.M.R.wav,88,word,1677090136206,1677090137861,1655,,false;exposure1,4,3,Filler_N.Kermimer.F.L_W.Lethal.M.R.wav,77,non-word,1677090138870,1677090140264,1394,,false;exposure1,5,1,Critical_Sh.Impatient.F.L_S.Coliseum.M.R.wav,88,word,1677090141271,1677090145324,4053,,false;exposure1,6,2,Filler_N.Lenediaw.M.L_W.Keyboard.F.R.wav,88,word,1677090146338,1677090149212,2874,,false;exposure1,7,6,Filler_N.Admunker.F.L_W.Worldly.M.R.wav,77,non-word,1677090150224,1677090151809,1585,,false;",
390,Condition.38_M_L_A_S_01_B_0_1,"exposure1,0,0,Critical_As.Rehearsal.M.L_Ash.Vacation.F.R.wav,77,non-word,1677292404254,1677292407346,3092,,false;exposure1,1,5,Filler_N.Acomining.F.L_W.Wealthy.M.R.wav,88,word,1677292408366,1677292411220,2854,,false;exposure1,2,7,Filler_W.Wrinkle.F.L_N.Aigi.M.R.wav,77,non-word,1677292412236,1677292415179,2943,,false;exposure1,3,3,Filler_N.Kermimer.M.L_W.Lethal.F.R.wav,77,non-word,1677292416186,1677292418853,2667,,false;exposure1,4,6,Filler_N.Admunker.M.L_W.Worldly.F.R.wav,88,word,1677292419867,1677292422744,2877,,false;exposure1,5,2,Filler_N.Lenediaw.F.L_W.Keyboard.M.R.wav,88,word,1677292423755,1677292426363,2608,,false;exposure1,6,1,Critical_Sh.Impatient.M.L_S.Coliseum.F.R.wav,88,word,1677292427374,1677292433380,6006,,false;exposure1,7,4,Filler_W.Liability.F.L_N.Imdalier.M.R.wav,77,non-word,1677292434397,1677292437200,2803,,false;",
372,Condition.11_F_L_A_S_05_A_1_0,"exposure1,0,4,Filler_W.Honeymoon.M.L_N.Almikquary.F.R.wav,88,non-word,1676840786219,1676840788731,2512,,false;exposure1,1,5,Filler_N.Bikanian.M.L_W.Pineapple.F.R.wav,77,word,1676840789740,1676840791552,1812,,false;exposure1,2,0,Critical_As.Hallucinate.F.L_Ash.Pediatrician.M.R.wav,77,word,1676840792566,1676840795583,3017,,false;exposure1,3,6,Filler_N.Dadigal.F.L_W.Platonic.M.R.wav,88,non-word,1676840796590,1676840798241,1651,,false;exposure1,4,7,Filler_W.Predict.M.L_N.Dilkuaund.F.R.wav,88,non-word,1676840799254,1676840801126,1872,,false;exposure1,5,2,Filler_N.Perkum.M.L_W.Gardenia.F.R.wav,88,non-word,1676840802145,1676840803720,1575,,false;exposure1,6,3,Filler_N.Omperoge.F.L_W.Grammatical.M.R.wav,88,non-word,1676840804742,1676840806617,1875,,false;exposure1,7,1,Critical_Sh.Efficient.F.L_S.Personal.M.R.wav,77,word,1676840807631,1676840809470,1839,,false;",
387,Condition.47_M_L_A_S_05_B_1_0,"exposure1,0,5,Filler_N.Bikanian.F.L_W.Pineapple.M.R.wav,77,word,1677165141949,1677165144340,2391,,false;exposure1,1,1,Critical_Sh.Efficient.M.L_S.Personal.F.R.wav,77,word,1677165145349,1677165147151,1802,,false;exposure1,2,7,Filler_W.Predict.F.L_N.Dilkuaund.M.R.wav,88,non-word,1677165148156,1677165149799,1643,,false;exposure1,3,2,Filler_N.Perkum.F.L_W.Gardenia.M.R.wav,77,word,1677165150804,1677165152238,1434,,false;exposure1,4,4,Filler_W.Honeymoon.F.L_N.Almikquary.M.R.wav,88,non-word,1677165153244,1677165154919,1675,,false;exposure1,5,3,Filler_N.Omperoge.M.L_W.Grammatical.F.R.wav,88,non-word,1677165155925,1677165157842,1917,,false;exposure1,6,0,Critical_As.Hallucinate.M.L_Ash.Pediatrician.F.R.wav,77,word,1677165158853,1677165160613,1760,,false;exposure1,7,6,Filler_N.Dadigal.M.L_W.Platonic.F.R.wav,88,non-word,1677165161620,1677165163290,1670,,false;",
382,Condition.45_M_L_A_S_05_B_0_0,"exposure1,0,6,Filler_N.Dadigal.M.L_W.Platonic.F.R.wav,77,non-word,1677140341876,1677140346664,4788,,false;exposure1,1,0,Critical_As.Hallucinate.M.L_Ash.Pediatrician.F.R.wav,88,word,1677140347673,1677140350398,2725,,false;exposure1,2,5,Filler_N.Bikanian.F.L_W.Pineapple.M.R.wav,88,word,1677140351413,1677140353758,2345,,false;exposure1,3,7,Filler_W.Predict.F.L_N.Dilkuaund.M.R.wav,77,non-word,1677140354765,1677140356656,1891,,false;exposure1,4,4,Filler_W.Honeymoon.F.L_N.Almikquary.M.R.wav,77,non-word,1677140357668,1677140359686,2018,,false;exposure1,5,1,Critical_Sh.Efficient.M.L_S.Personal.F.R.wav,88,word,1677140360691,1677140362953,2262,,false;exposure1,6,3,Filler_N.Omperoge.M.L_W.Grammatical.F.R.wav,77,non-word,1677140363965,1677140366344,2379,,false;exposure1,7,2,Filler_N.Perkum.F.L_W.Gardenia.M.R.wav,88,word,1677140367357,1677140369584,2227,,false;",
