workerid,proliferate.condition,userDateTimeAtInitialization,error
394,Condition.56_M_L_A_Sh_01_B_1_1,2023-02-27T00:14:36.488Z,
391,Condition.62_M_L_A_Sh_05_B_0_1,2023-02-26T18:15:34.769Z,
