workerid,proliferate.condition,userDateTimeAtSubmit,error
394,Condition.56_M_L_A_Sh_01_B_1_1,2023-02-27T00:26:39.104Z,
391,Condition.62_M_L_A_Sh_05_B_0_1,2023-02-26T18:26:24.336Z,
